
Execution at 2020-03-10 19:12:50.523537
---------------------------------------
read_csv                       | 7.712e-04 s | Records: 3
read_csv                       | 8.274e-04 s | Records: 3
read_csv                       | 3.783e-04 s | Records: 3
read_csv                       | 4.396e-04 s | Records: 4
read_csv                       | 4.480e-04 s | Records: 5
read_csv                       | 3.643e-04 s | Records: 4
read_csv                       | 4.590e-04 s | Records: 3
read_csv                       | 2.903e-04 s | Records: 5
import_data                    | 6.223e-02 s | Records: 2
read_csv                       | 3.806e-04 s | Records: 3
read_csv                       | 3.783e-04 s | Records: 4
read_csv                       | 3.280e-04 s | Records: 5
show_available_products        | 7.124e-03 s | Records: 0
read_csv                       | 3.054e-04 s | Records: 4
read_csv                       | 2.380e-04 s | Records: 3
read_csv                       | 2.577e-04 s | Records: 5
import_data                    | 5.063e-02 s | Records: 2
show_available_products        | 2.156e-02 s | Records: 3
read_csv                       | 3.914e-04 s | Records: 3
read_csv                       | 4.251e-04 s | Records: 4
read_csv                       | 3.348e-04 s | Records: 5
read_csv                       | 4.462e-04 s | Records: 4
read_csv                       | 3.474e-04 s | Records: 3
read_csv                       | 4.420e-04 s | Records: 5
import_data                    | 7.093e-02 s | Records: 2
show_available_products        | 2.229e-02 s | Records: 3
show_products_for_customer     | 2.319e-02 s | Records: 3
read_csv                       | 3.913e-04 s | Records: 3
read_csv                       | 3.806e-04 s | Records: 4
read_csv                       | 3.464e-04 s | Records: 5
read_csv                       | 3.542e-04 s | Records: 4
read_csv                       | 3.657e-04 s | Records: 3
read_csv                       | 3.503e-04 s | Records: 5
import_data                    | 6.990e-02 s | Records: 2
show_rentals                   | 1.758e-02 s | Records: 0
show_rentals                   | 1.951e-02 s | Records: 2
show_rentals                   | 1.931e-02 s | Records: 1
show_rentals                   | 1.870e-02 s | Records: 1
show_rentals                   | 1.884e-02 s | Records: 1

Execution at 2020-03-10 19:12:55.329251
---------------------------------------
read_csv                       | 4.926e-04 s | Records: 3
read_csv                       | 5.608e-04 s | Records: 3
read_csv                       | 4.036e-04 s | Records: 18
read_csv                       | 4.807e-04 s | Records: 24
read_csv                       | 2.268e-04 s | Records: 10
read_csv                       | 3.596e-04 s | Records: 24
read_csv                       | 4.216e-04 s | Records: 18
read_csv                       | 4.147e-04 s | Records: 10
import_data                    | 4.933e-02 s | Records: 2
read_csv                       | 6.266e-04 s | Records: 18
read_csv                       | 6.304e-04 s | Records: 24
read_csv                       | 3.875e-04 s | Records: 10
show_available_products        | 6.910e-03 s | Records: 0
read_csv                       | 6.177e-04 s | Records: 24
read_csv                       | 6.306e-04 s | Records: 18
read_csv                       | 4.140e-04 s | Records: 10
import_data                    | 5.379e-02 s | Records: 2
show_available_products        | 3.745e-02 s | Records: 21
read_csv                       | 6.384e-04 s | Records: 18
read_csv                       | 6.095e-04 s | Records: 24
read_csv                       | 3.865e-04 s | Records: 10
read_csv                       | 5.675e-04 s | Records: 24
read_csv                       | 5.837e-04 s | Records: 18
read_csv                       | 4.131e-04 s | Records: 10
import_data                    | 6.388e-02 s | Records: 2
show_available_products        | 2.630e-02 s | Records: 21
show_products_for_customer     | 2.718e-02 s | Records: 21
read_csv                       | 6.678e-04 s | Records: 18
read_csv                       | 6.009e-04 s | Records: 24
read_csv                       | 3.953e-04 s | Records: 10
read_csv                       | 5.787e-04 s | Records: 24
read_csv                       | 5.967e-04 s | Records: 18
read_csv                       | 3.900e-04 s | Records: 10
import_data                    | 7.544e-02 s | Records: 2
show_rentals                   | 6.775e-03 s | Records: 0
show_rentals                   | 1.981e-02 s | Records: 2
show_rentals                   | 1.989e-02 s | Records: 2
show_rentals                   | 7.728e-03 s | Records: 1
show_rentals                   | 6.813e-03 s | Records: 1
show_rentals                   | 1.681e-02 s | Records: 0
show_rentals                   | 8.187e-03 s | Records: 1
show_rentals                   | 6.650e-03 s | Records: 0
show_rentals                   | 6.965e-03 s | Records: 1
show_rentals                   | 5.560e-03 s | Records: 0
show_rentals                   | 5.945e-03 s | Records: 0
show_rentals                   | 6.493e-03 s | Records: 1
show_rentals                   | 1.741e-02 s | Records: 1
show_rentals                   | 6.828e-03 s | Records: 0
show_rentals                   | 7.426e-03 s | Records: 0
show_rentals                   | 7.045e-03 s | Records: 0
show_rentals                   | 6.957e-03 s | Records: 0
show_rentals                   | 1.823e-02 s | Records: 0
show_rentals                   | 6.661e-03 s | Records: 0
show_rentals                   | 6.877e-03 s | Records: 0
show_rentals                   | 1.764e-02 s | Records: 0
show_rentals                   | 1.612e-02 s | Records: 0
show_rentals                   | 1.693e-02 s | Records: 0
show_rentals                   | 6.641e-03 s | Records: 0
show_rentals                   | 1.777e-02 s | Records: 0

Execution at 2020-03-10 19:13:00.316317
---------------------------------------
read_csv                       | 7.818e-04 s | Records: 3
read_csv                       | 7.550e-04 s | Records: 3
read_csv                       | 8.651e-04 s | Records: 33
read_csv                       | 8.282e-04 s | Records: 44
read_csv                       | 5.973e-04 s | Records: 15
read_csv                       | 1.013e-03 s | Records: 44
read_csv                       | 1.032e-03 s | Records: 33
read_csv                       | 4.438e-04 s | Records: 15
import_data                    | 6.598e-02 s | Records: 2
read_csv                       | 1.497e-03 s | Records: 33
