rental_id,product_id,customer_id,amount,time,price,total
rnt0000,prd2793,user0000,6,216,233,301968
rnt0001,prd6112,user0001,49,348,228,3887856
rnt0002,prd1276,user0002,14,160,348,779520
rnt0003,prd3625,user0003,94,44,246,1017456
rnt0004,prd1178,user0004,14,251,150,527100
rnt0005,prd4393,user0005,61,143,177,1543971
rnt0006,prd7813,user0006,2,263,11,5786
rnt0007,prd1294,user0007,25,355,312,2769000
rnt0008,prd4222,user0008,4,63,264,66528
rnt0009,prd1041,user0009,30,148,104,461760
rnt0010,prd5184,user0010,42,355,354,5278140
rnt0011,prd3366,user0011,49,192,210,1975680
rnt0012,prd5690,user0012,48,220,45,475200
rnt0013,prd9044,user0013,72,215,265,4102200
rnt0014,prd4453,user0014,26,288,243,1819584
rnt0015,prd8707,user0015,98,118,29,335356
rnt0016,prd6663,user0016,83,4,11,3652
rnt0017,prd8549,user0017,61,233,299,4249687
rnt0018,prd9811,user0018,66,185,160,1953600
rnt0019,prd476,user0019,7,330,455,1051050
rnt0020,prd291,user0020,85,171,29,421515
rnt0021,prd805,user0021,0,57,191,0
rnt0022,prd7260,user0022,5,149,123,91635
rnt0023,prd9992,user0023,13,358,263,1224002
rnt0024,prd5711,user0024,69,314,480,10399680
rnt0025,prd863,user0025,52,247,84,1078896
rnt0026,prd5364,user0026,58,208,263,3172832
rnt0027,prd9492,user0027,7,209,299,437437
rnt0028,prd1317,user0028,11,61,66,44286
rnt0029,prd829,user0029,39,13,245,124215
rnt0030,prd7742,user0030,27,76,174,357048
rnt0031,prd3474,user0031,71,30,270,575100
rnt0032,prd3304,user0032,1,290,396,114840
rnt0033,prd5303,user0033,71,335,488,11607080
rnt0034,prd8399,user0034,58,155,171,1537290
rnt0035,prd46,user0035,92,82,83,626152
rnt0036,prd5711,user0036,48,31,494,735072
rnt0037,prd5893,user0037,11,31,120,40920
rnt0038,prd3962,user0038,73,195,467,6647745
rnt0039,prd7259,user0039,100,339,44,1491600
rnt0040,prd6664,user0040,31,142,407,1791614
rnt0041,prd2506,user0041,70,21,390,573300
rnt0042,prd5705,user0042,63,229,161,2322747
rnt0043,prd7700,user0043,50,322,98,1577800
rnt0044,prd6371,user0044,54,178,141,1355292
rnt0045,prd7833,user0045,76,36,244,667584
rnt0046,prd2012,user0046,18,148,366,975024
rnt0047,prd6662,user0047,37,91,151,508417
rnt0048,prd2719,user0048,84,345,349,10114020
rnt0049,prd6834,user0049,30,333,269,2687310
rnt0050,prd929,user0050,62,317,481,9453574
rnt0051,prd829,user0051,34,131,232,1033328
rnt0052,prd8345,user0052,54,361,149,2904606
rnt0053,prd1031,user0053,84,13,221,241332
rnt0054,prd8275,user0054,98,134,42,551544
rnt0055,prd5725,user0055,5,123,106,65190
rnt0056,prd5750,user0056,32,191,199,1216288
rnt0057,prd5715,user0057,15,174,48,125280
rnt0058,prd6034,user0058,32,7,263,58912
rnt0059,prd6613,user0059,39,280,195,2129400
rnt0060,prd3257,user0060,37,170,141,886890
rnt0061,prd5459,user0061,5,310,296,458800
rnt0062,prd1659,user0062,30,138,174,720360
rnt0063,prd4175,user0063,82,192,364,5730816
rnt0064,prd2634,user0064,77,188,102,1476552
rnt0065,prd4478,user0065,65,135,443,3887325
rnt0066,prd4134,user0066,28,201,323,1817844
rnt0067,prd5890,user0067,49,287,95,1335985
rnt0068,prd8629,user0068,49,125,440,2695000
rnt0069,prd3522,user0069,67,142,321,3053994
rnt0070,prd5967,user0070,90,15,261,352350
rnt0071,prd1846,user0071,26,330,16,137280
rnt0072,prd1072,user0072,28,153,404,1730736
rnt0073,prd6446,user0073,24,0,176,0
rnt0074,prd1582,user0074,68,172,103,1204688
rnt0075,prd3530,user0075,92,188,469,8111824
rnt0076,prd3024,user0076,26,95,385,950950
rnt0077,prd6811,user0077,97,351,369,12563343
rnt0078,prd7284,user0078,65,203,445,5871775
rnt0079,prd3825,user0079,80,285,151,3442800
rnt0080,prd3577,user0080,59,129,334,2542074
rnt0081,prd4935,user0081,9,291,430,1126170
rnt0082,prd4161,user0082,55,29,428,682660
rnt0083,prd9759,user0083,83,27,452,1012932
rnt0084,prd9273,user0084,90,52,292,1366560
rnt0085,prd8807,user0085,63,136,107,916776
rnt0086,prd5193,user0086,12,105,252,317520
rnt0087,prd5495,user0087,1,341,236,80476
rnt0088,prd3135,user0088,35,178,274,1707020
rnt0089,prd8758,user0089,82,80,71,465760
rnt0090,prd4603,user0090,68,308,280,5864320
rnt0091,prd5626,user0091,7,121,285,241395
rnt0092,prd5828,user0092,56,225,465,5859000
rnt0093,prd8049,user0093,75,349,393,10286775
rnt0094,prd3336,user0094,55,32,198,348480
rnt0095,prd7125,user0095,10,173,313,541490
rnt0096,prd7074,user0096,48,38,77,140448
rnt0097,prd5245,user0097,7,87,477,290493
rnt0098,prd7545,user0098,63,301,256,4854528
rnt0099,prd7143,user0099,94,322,486,14710248
rnt0100,prd2031,user0100,60,236,353,4998480
rnt0101,prd4339,user0101,29,62,379,681442
rnt0102,prd2097,user0102,16,154,156,384384
rnt0103,prd4551,user0103,71,160,389,4419040
rnt0104,prd9860,user0104,22,190,300,1254000
rnt0105,prd7263,user0105,34,253,400,3440800
rnt0106,prd8226,user0106,21,118,353,874734
rnt0107,prd6846,user0107,89,334,352,10463552
rnt0108,prd3500,user0108,95,26,152,375440
rnt0109,prd1265,user0109,17,231,52,204204
rnt0110,prd9936,user0110,29,309,292,2616612
rnt0111,prd5157,user0111,55,322,81,1434510
rnt0112,prd9182,user0112,89,166,289,4269686
rnt0113,prd5566,user0113,89,289,38,977398
rnt0114,prd2726,user0114,69,147,91,923013
rnt0115,prd7897,user0115,6,17,135,13770
rnt0116,prd953,user0116,90,8,448,322560
rnt0117,prd8998,user0117,98,169,193,3196466
rnt0118,prd4505,user0118,14,352,298,1468544
rnt0119,prd3351,user0119,22,62,303,413292
rnt0120,prd9415,user0120,66,48,18,57024
rnt0121,prd5399,user0121,33,107,75,264825
rnt0122,prd510,user0122,8,247,196,387296
rnt0123,prd4494,user0123,11,254,165,461010
rnt0124,prd6793,user0124,16,290,387,1795680
rnt0125,prd9583,user0125,91,293,359,9572017
rnt0126,prd5513,user0126,23,92,77,162932
rnt0127,prd8926,user0127,40,126,237,1194480
rnt0128,prd3378,user0128,5,22,450,49500
rnt0129,prd5902,user0129,70,259,114,2066820
rnt0130,prd3520,user0130,100,338,319,10782200
