rnt0000,prd0131,cust0025
rnt0001,prd0080,cust0395
rnt0002,prd0314,cust0072
rnt0003,prd0046,cust0420
rnt0004,prd0232,cust0367
rnt0005,prd0495,cust0082
rnt0006,prd0123,cust0228
rnt0007,prd0297,cust0326
rnt0008,prd0321,cust0109
rnt0009,prd0482,cust0364
rnt0010,prd0346,cust0332
rnt0011,prd0287,cust0354
rnt0012,prd0416,cust0407
rnt0013,prd0349,cust0057
rnt0014,prd0339,cust0134
rnt0015,prd0383,cust0052
rnt0016,prd0300,cust0188
rnt0017,prd0313,cust0103
rnt0018,prd0151,cust0148
rnt0019,prd0449,cust0414
rnt0020,prd0384,cust0158
rnt0021,prd0262,cust0059
rnt0022,prd0069,cust0366
rnt0023,prd0193,cust0056
rnt0024,prd0316,cust0032
rnt0025,prd0059,cust0418
rnt0026,prd0246,cust0253
rnt0027,prd0481,cust0024
rnt0028,prd0188,cust0083
rnt0029,prd0390,cust0062
rnt0030,prd0169,cust0444
rnt0031,prd0020,cust0144
rnt0032,prd0239,cust0267
rnt0033,prd0178,cust0119
rnt0034,prd0317,cust0050
rnt0035,prd0252,cust0456
rnt0036,prd0249,cust0370
rnt0037,prd0150,cust0465
rnt0038,prd0366,cust0310
rnt0039,prd0286,cust0120
rnt0040,prd0495,cust0284
rnt0041,prd0319,cust0334
rnt0042,prd0457,cust0230
rnt0043,prd0105,cust0150
rnt0044,prd0027,cust0335
rnt0045,prd0322,cust0411
rnt0046,prd0127,cust0108
rnt0047,prd0438,cust0027
rnt0048,prd0173,cust0461
rnt0049,prd0447,cust0298
rnt0050,prd0108,cust0276
rnt0051,prd0110,cust0070
rnt0052,prd0367,cust0085
rnt0053,prd0457,cust0265
rnt0054,prd0166,cust0068
rnt0055,prd0499,cust0349
rnt0056,prd0034,cust0331
rnt0057,prd0185,cust0145
rnt0058,prd0019,cust0228
rnt0059,prd0171,cust0492
rnt0060,prd0127,cust0320
rnt0061,prd0135,cust0249
rnt0062,prd0369,cust0203
rnt0063,prd0261,cust0169
rnt0064,prd0321,cust0268
rnt0065,prd0115,cust0188
rnt0066,prd0249,cust0166
rnt0067,prd0164,cust0149
rnt0068,prd0302,cust0049
rnt0069,prd0220,cust0399
rnt0070,prd0228,cust0089
rnt0071,prd0019,cust0264
rnt0072,prd0433,cust0439
rnt0073,prd0138,cust0291
rnt0074,prd0463,cust0097
rnt0075,prd0029,cust0192
rnt0076,prd0226,cust0120
rnt0077,prd0118,cust0403
rnt0078,prd0146,cust0459
rnt0079,prd0375,cust0287
rnt0080,prd0268,cust0268
rnt0081,prd0136,cust0034
rnt0082,prd0282,cust0408
rnt0083,prd0082,cust0333
rnt0084,prd0200,cust0229
rnt0085,prd0330,cust0429
rnt0086,prd0033,cust0436
rnt0087,prd0148,cust0212
rnt0088,prd0203,cust0462
rnt0089,prd0414,cust0406
rnt0090,prd0373,cust0042
rnt0091,prd0458,cust0150
rnt0092,prd0123,cust0425
rnt0093,prd0075,cust0180
rnt0094,prd0421,cust0295
rnt0095,prd0287,cust0017
rnt0096,prd0243,cust0283
rnt0097,prd0141,cust0134
rnt0098,prd0372,cust0268
rnt0099,prd0403,cust0258
rnt0100,prd0040,cust0433
rnt0101,prd0267,cust0020
rnt0102,prd0293,cust0370
rnt0103,prd0011,cust0129
rnt0104,prd0011,cust0390
rnt0105,prd0479,cust0267
rnt0106,prd0338,cust0341
rnt0107,prd0263,cust0435
rnt0108,prd0346,cust0164
rnt0109,prd0222,cust0453
rnt0110,prd0251,cust0336
rnt0111,prd0013,cust0334
rnt0112,prd0114,cust0136
rnt0113,prd0383,cust0049
rnt0114,prd0455,cust0265
rnt0115,prd0042,cust0083
rnt0116,prd0207,cust0118
rnt0117,prd0088,cust0400
rnt0118,prd0236,cust0445
rnt0119,prd0269,cust0451
rnt0120,prd0091,cust0298
rnt0121,prd0141,cust0183
rnt0122,prd0142,cust0097
rnt0123,prd0251,cust0039
rnt0124,prd0122,cust0268
rnt0125,prd0453,cust0307
rnt0126,prd0069,cust0498
rnt0127,prd0403,cust0381
rnt0128,prd0163,cust0420
rnt0129,prd0196,cust0129
rnt0130,prd0291,cust0381
rnt0131,prd0492,cust0055
rnt0132,prd0388,cust0361
rnt0133,prd0290,cust0320
rnt0134,prd0127,cust0423
rnt0135,prd0167,cust0415
rnt0136,prd0464,cust0192
rnt0137,prd0089,cust0090
rnt0138,prd0381,cust0460
rnt0139,prd0182,cust0119
rnt0140,prd0181,cust0069
rnt0141,prd0023,cust0244
rnt0142,prd0453,cust0164
rnt0143,prd0474,cust0296
rnt0144,prd0251,cust0222
rnt0145,prd0013,cust0294
rnt0146,prd0082,cust0208
rnt0147,prd0061,cust0074
