user_id,product_id
user89,prd74
user91,prd24
user453,prd33
user267,prd179
user303,prd199
user350,prd240
user163,prd48
user349,prd116
user284,prd294
user369,prd447
user342,prd10
user235,prd305
user7,prd1
user93,prd415
user262,prd466
user2,prd382
user484,prd46
user320,prd121
user32,prd61
user111,prd303
user316,prd241
user150,prd134
user489,prd24
user463,prd330
user258,prd418
user452,prd212
user157,prd366
user237,prd213
user103,prd230
user473,prd458
user335,prd171
user264,prd228
user371,prd45
user440,prd251
user52,prd404
user392,prd416
user172,prd184
user42,prd76
user349,prd76
user223,prd306
user230,prd182
user185,prd261
user376,prd450
user360,prd221
user203,prd411
user330,prd118
user464,prd496
user195,prd98
user149,prd397
user129,prd238
user202,prd487
user139,prd326
user406,prd453
user188,prd267
user426,prd438
user354,prd47
user171,prd370
user354,prd270
user154,prd405
user323,prd164
user190,prd29
user328,prd84
user215,prd261
user435,prd215
user426,prd405
user272,prd438
user241,prd152
user235,prd179
user499,prd466
user426,prd80
user497,prd247
user394,prd309
user179,prd243
user391,prd106
user213,prd299
user497,prd253
user368,prd46
user138,prd423
user154,prd112
user499,prd208
user215,prd255
user361,prd416
user258,prd138
user5,prd46
user208,prd287
user140,prd197
user284,prd323
user229,prd52
user201,prd279
user190,prd111
user351,prd294
user22,prd488
user37,prd214
user352,prd459
user275,prd74
user315,prd400
user405,prd107
user22,prd354
user459,prd202
user210,prd186
user335,prd123
user322,prd56
user330,prd167
user53,prd164
user254,prd440
user423,prd28
user216,prd74
user127,prd323
user119,prd103
user213,prd335
user225,prd18
user64,prd461
user476,prd468
user17,prd446
user250,prd212
user4,prd461
user174,prd215
user454,prd15
user463,prd491
user81,prd405
user253,prd425
user341,prd327
user319,prd438
user335,prd495
user63,prd134
user334,prd218
user142,prd12
user289,prd407
user431,prd102
user239,prd450
user317,prd369
user243,prd152
user323,prd474
user322,prd168
user288,prd452
user53,prd157
user289,prd460
user14,prd374
user269,prd400
user194,prd205
user240,prd413
user35,prd443
user440,prd274
user216,prd305
user240,prd145
user35,prd418
user160,prd481
user52,prd116
user75,prd39
user67,prd460
user339,prd206
user290,prd410
user316,prd398
user151,prd294
user194,prd474
user382,prd33
user400,prd3
user56,prd192
user459,prd113
user335,prd110
user362,prd227
user48,prd206
user48,prd143
user117,prd202
user45,prd418
user474,prd7
user200,prd406
user83,prd395
user403,prd309
user74,prd289
user124,prd49
user270,prd74
user81,prd405
user247,prd25
user320,prd376
user285,prd2
user84,prd494
user20,prd99
user336,prd265
user156,prd79
user240,prd257
user436,prd415
user330,prd221
user458,prd91
user126,prd374
user73,prd318
user326,prd485
user280,prd99
user116,prd103
user459,prd360
user468,prd304
user421,prd319
user418,prd49
user153,prd125
user113,prd46
user185,prd455
user433,prd57
user396,prd463
user286,prd271
user475,prd101
user416,prd444
user422,prd453
user325,prd167
user45,prd47
user300,prd444
user280,prd331
user186,prd181
user93,prd483
user343,prd102
user65,prd238
user245,prd119
user386,prd257
user43,prd250
user412,prd313
user484,prd211
user144,prd52
user209,prd403
user49,prd301
user473,prd40
user275,prd320
user359,prd73
user452,prd69
user127,prd38
user424,prd472
user259,prd413
user4,prd107
user38,prd3
user200,prd211
user143,prd188
user169,prd234
user203,prd130
user97,prd319
user218,prd295
user123,prd474
user321,prd33
user258,prd39
user322,prd381
user40,prd492
user380,prd331
user210,prd264
user46,prd269
user403,prd58
user420,prd487
user46,prd444
user210,prd248
user399,prd349
user110,prd71
user107,prd317
user476,prd236
user398,prd244
user101,prd194
user368,prd236
user500,prd181
user19,prd367
user238,prd6
user315,prd9
user295,prd22
user209,prd286
user479,prd84
user202,prd360
user225,prd164
user290,prd268
user227,prd337
user1,prd306
user219,prd152
user360,prd328
user195,prd479
user225,prd88
user242,prd399
user466,prd171
user447,prd262
user484,prd11
user420,prd323
user202,prd159
user314,prd94
user444,prd14
user419,prd359
user184,prd360
user317,prd154
user204,prd462
user289,prd70
user274,prd242
user80,prd476
user30,prd285
user333,prd444
user197,prd353
user367,prd9
user385,prd415
