rental_id,product_id,customer_id
rental_id0,product_id0,customer_id0
rental_id1,product_id1,customer_id1
rental_id2,product_id2,customer_id2
rental_id3,product_id3,customer_id3
rental_id4,product_id4,customer_id4
rental_id5,product_id5,customer_id5
rental_id6,product_id6,customer_id6
rental_id7,product_id7,customer_id7
rental_id8,product_id8,customer_id8
rental_id9,product_id9,customer_id9
rental_id10,product_id10,customer_id10
rental_id11,product_id11,customer_id11
rental_id12,product_id12,customer_id12
rental_id13,product_id13,customer_id13
rental_id14,product_id14,customer_id14
rental_id15,product_id15,customer_id15
rental_id16,product_id16,customer_id16
rental_id17,product_id17,customer_id17
rental_id18,product_id18,customer_id18
rental_id19,product_id19,customer_id19
rental_id20,product_id20,customer_id20
rental_id21,product_id21,customer_id21
rental_id22,product_id22,customer_id22
rental_id23,product_id23,customer_id23
rental_id24,product_id24,customer_id24
rental_id25,product_id25,customer_id25
rental_id26,product_id26,customer_id26
rental_id27,product_id27,customer_id27
rental_id28,product_id28,customer_id28
rental_id29,product_id29,customer_id29
rental_id30,product_id30,customer_id30
rental_id31,product_id31,customer_id31
rental_id32,product_id32,customer_id32
rental_id33,product_id33,customer_id33
rental_id34,product_id34,customer_id34
rental_id35,product_id35,customer_id35
rental_id36,product_id36,customer_id36
rental_id37,product_id37,customer_id37
rental_id38,product_id38,customer_id38
rental_id39,product_id39,customer_id39
rental_id40,product_id40,customer_id40
rental_id41,product_id41,customer_id41
rental_id42,product_id42,customer_id42
rental_id43,product_id43,customer_id43
rental_id44,product_id44,customer_id44
rental_id45,product_id45,customer_id45
rental_id46,product_id46,customer_id46
rental_id47,product_id47,customer_id47
rental_id48,product_id48,customer_id48
rental_id49,product_id49,customer_id49
rental_id50,product_id50,customer_id50
rental_id51,product_id51,customer_id51
rental_id52,product_id52,customer_id52
rental_id53,product_id53,customer_id53
rental_id54,product_id54,customer_id54
rental_id55,product_id55,customer_id55
rental_id56,product_id56,customer_id56
rental_id57,product_id57,customer_id57
rental_id58,product_id58,customer_id58
rental_id59,product_id59,customer_id59
rental_id60,product_id60,customer_id60
rental_id61,product_id61,customer_id61
rental_id62,product_id62,customer_id62
rental_id63,product_id63,customer_id63
rental_id64,product_id64,customer_id64
rental_id65,product_id65,customer_id65
rental_id66,product_id66,customer_id66
rental_id67,product_id67,customer_id67
rental_id68,product_id68,customer_id68
rental_id69,product_id69,customer_id69
rental_id70,product_id70,customer_id70
rental_id71,product_id71,customer_id71
rental_id72,product_id72,customer_id72
rental_id73,product_id73,customer_id73
rental_id74,product_id74,customer_id74
rental_id75,product_id75,customer_id75
rental_id76,product_id76,customer_id76
rental_id77,product_id77,customer_id77
rental_id78,product_id78,customer_id78
rental_id79,product_id79,customer_id79
rental_id80,product_id80,customer_id80
rental_id81,product_id81,customer_id81
rental_id82,product_id82,customer_id82
rental_id83,product_id83,customer_id83
rental_id84,product_id84,customer_id84
rental_id85,product_id85,customer_id85
rental_id86,product_id86,customer_id86
rental_id87,product_id87,customer_id87
rental_id88,product_id88,customer_id88
rental_id89,product_id89,customer_id89
