_id,description,product_type,quantity_available
prod0001,rug,living_room,97
prod0002,painting,living_room,92
prod0003,ladder,yard,16
prod0004,ladder,yard,88
prod0005,table,dining_room,3
prod0006,chair,dining_room,74
prod0007,painting,living_room,4
prod0008,lamp,living_room,52
prod0009,painting,living_room,33
prod0010,shed,yard,38
prod0011,table,dining_room,83
prod0012,ladder,yard,28
prod0013,desk,office,33
prod0014,desk,office,25
prod0015,chair,dining_room,26
prod0016,shears,yard,56
prod0017,painting,living_room,19
prod0018,shears,yard,33
prod0019,sofa,living_room,18
prod0020,shed,yard,77
prod0021,lamp,living_room,97
prod0022,chair,dining_room,3
prod0023,desk,office,24
prod0024,desk,office,73
prod0025,painting,living_room,32
prod0026,painting,living_room,4
prod0027,table,dining_room,36
prod0028,lamp,living_room,45
prod0029,shears,yard,66
prod0030,lamp,living_room,61
prod0031,table,dining_room,26
prod0032,rug,living_room,84
prod0033,rug,living_room,92
prod0034,table,dining_room,74
prod0035,shears,yard,99
prod0036,chair,dining_room,64
prod0037,rug,living_room,42
prod0038,sofa,living_room,83
prod0039,shears,yard,85
prod0040,lamp,living_room,67
prod0041,sofa,living_room,91
prod0042,shed,yard,7
prod0043,sofa,living_room,97
prod0044,ladder,yard,50
prod0045,lamp,living_room,88
prod0046,chair,dining_room,43
prod0047,rug,living_room,91
prod0048,chair,dining_room,46
prod0049,ladder,yard,33
prod0050,rug,living_room,18
prod0051,ladder,yard,69
prod0052,shears,yard,38
prod0053,lamp,living_room,19
prod0054,shears,yard,79
prod0055,shed,yard,49
prod0056,desk,office,77
prod0057,table,dining_room,18
prod0058,chair,dining_room,91
prod0059,chair,dining_room,59
prod0060,sofa,living_room,27
prod0061,desk,office,51
prod0062,sofa,living_room,94
prod0063,ladder,yard,34
prod0064,ladder,yard,54
prod0065,sofa,living_room,77
prod0066,sofa,living_room,35
prod0067,chair,dining_room,28
prod0068,sofa,living_room,83
prod0069,sofa,living_room,21
prod0070,table,dining_room,32
prod0071,shed,yard,85
prod0072,shears,yard,34
prod0073,lawnmower,yard,1
prod0074,shed,yard,94
prod0075,rug,living_room,67
prod0076,shovel,yard,32
prod0077,ladder,yard,51
prod0078,table,dining_room,73
prod0079,desk,office,96
prod0080,sofa,living_room,88
prod0081,lamp,living_room,92
prod0082,shears,yard,53
prod0083,painting,living_room,64
prod0084,rug,living_room,63
prod0085,rug,living_room,6
prod0086,shed,yard,39
prod0087,shovel,yard,40
prod0088,chair,dining_room,50
prod0089,shed,yard,77
prod0090,painting,living_room,17
prod0091,ladder,yard,88
prod0092,shed,yard,37
prod0093,lawnmower,yard,82
prod0094,shovel,yard,59
prod0095,sofa,living_room,82
prod0096,shovel,yard,8
prod0097,table,dining_room,92
prod0098,chair,dining_room,98
prod0099,chair,dining_room,34
prod0100,desk,office,14
prod0101,rug,living_room,36
prod0102,chair,dining_room,97
prod0103,lawnmower,yard,53
prod0104,shears,yard,47
prod0105,lawnmower,yard,70
prod0106,lamp,living_room,26
prod0107,shed,yard,8
prod0108,lamp,living_room,71
prod0109,lawnmower,yard,56
prod0110,chair,dining_room,47
prod0111,lawnmower,yard,17
prod0112,painting,living_room,94
prod0113,lawnmower,yard,41
prod0114,table,dining_room,92
prod0115,sofa,living_room,86
prod0116,sofa,living_room,50
prod0117,shears,yard,0
prod0118,rug,living_room,84
prod0119,rug,living_room,12
prod0120,shed,yard,3
prod0121,desk,office,100
prod0122,shed,yard,14
prod0123,sofa,living_room,8
prod0124,ladder,yard,40
prod0125,shears,yard,26
prod0126,sofa,living_room,60
prod0127,desk,office,83
prod0128,desk,office,62
prod0129,painting,living_room,38
prod0130,desk,office,65
prod0131,shed,yard,86
prod0132,table,dining_room,6
prod0133,shovel,yard,26
prod0134,chair,dining_room,26
prod0135,shovel,yard,90
prod0136,shovel,yard,1
prod0137,shovel,yard,41
prod0138,lawnmower,yard,87
prod0139,table,dining_room,79
prod0140,rug,living_room,69
prod0141,painting,living_room,73
prod0142,ladder,yard,91
prod0143,desk,office,36
prod0144,ladder,yard,54
prod0145,sofa,living_room,11
prod0146,rug,living_room,23
prod0147,lawnmower,yard,1
prod0148,shovel,yard,99
prod0149,sofa,living_room,47
prod0150,chair,dining_room,81
prod0151,desk,office,82
prod0152,painting,living_room,18
prod0153,shed,yard,46
prod0154,painting,living_room,53
prod0155,painting,living_room,62
prod0156,lamp,living_room,57
prod0157,table,dining_room,55
prod0158,shovel,yard,79
prod0159,table,dining_room,19
prod0160,painting,living_room,82
prod0161,shovel,yard,98
prod0162,ladder,yard,40
prod0163,lawnmower,yard,10
prod0164,desk,office,18
prod0165,sofa,living_room,57
prod0166,ladder,yard,61
prod0167,rug,living_room,3
prod0168,chair,dining_room,8
prod0169,lawnmower,yard,23
prod0170,painting,living_room,2
prod0171,ladder,yard,35
prod0172,shears,yard,96
prod0173,shovel,yard,67
prod0174,lawnmower,yard,96
prod0175,chair,dining_room,29
prod0176,sofa,living_room,48
prod0177,chair,dining_room,33
prod0178,table,dining_room,24
prod0179,shovel,yard,90
prod0180,shed,yard,85
prod0181,shovel,yard,4
prod0182,table,dining_room,68
prod0183,sofa,living_room,78
prod0184,lawnmower,yard,41
prod0185,table,dining_room,49
prod0186,desk,office,90
prod0187,sofa,living_room,56
prod0188,shed,yard,19
prod0189,sofa,living_room,76
prod0190,shovel,yard,81
prod0191,shovel,yard,85
prod0192,lawnmower,yard,51
prod0193,shed,yard,65
prod0194,desk,office,23
prod0195,sofa,living_room,25
prod0196,desk,office,61
prod0197,table,dining_room,54
prod0198,shears,yard,81
prod0199,painting,living_room,75
prod0200,painting,living_room,5
prod0201,lamp,living_room,81
prod0202,shovel,yard,49
prod0203,lawnmower,yard,31
prod0204,ladder,yard,99
prod0205,sofa,living_room,12
prod0206,sofa,living_room,53
prod0207,sofa,living_room,45
prod0208,table,dining_room,91
prod0209,lamp,living_room,5
prod0210,ladder,yard,22
prod0211,desk,office,84
prod0212,shears,yard,87
prod0213,lawnmower,yard,66
prod0214,lamp,living_room,54
prod0215,table,dining_room,41
prod0216,sofa,living_room,80
prod0217,sofa,living_room,4
prod0218,rug,living_room,91
prod0219,rug,living_room,12
prod0220,table,dining_room,62
prod0221,painting,living_room,22
prod0222,sofa,living_room,15
prod0223,shed,yard,40
prod0224,shovel,yard,4
prod0225,rug,living_room,0
prod0226,desk,office,15
prod0227,shovel,yard,68
prod0228,chair,dining_room,32
prod0229,lawnmower,yard,18
prod0230,rug,living_room,94
prod0231,shed,yard,73
prod0232,shed,yard,99
prod0233,ladder,yard,26
prod0234,shovel,yard,14
prod0235,painting,living_room,5
prod0236,shears,yard,3
prod0237,painting,living_room,78
prod0238,ladder,yard,44
prod0239,desk,office,99
prod0240,shovel,yard,71
prod0241,shovel,yard,82
prod0242,rug,living_room,41
prod0243,sofa,living_room,97
prod0244,lawnmower,yard,24
prod0245,lamp,living_room,41
prod0246,sofa,living_room,54
prod0247,sofa,living_room,97
prod0248,shed,yard,97
prod0249,sofa,living_room,31
prod0250,shovel,yard,60
prod0251,chair,dining_room,47
prod0252,shovel,yard,95
prod0253,shears,yard,22
prod0254,lawnmower,yard,50
prod0255,table,dining_room,54
prod0256,chair,dining_room,46
prod0257,shovel,yard,75
prod0258,lawnmower,yard,26
prod0259,table,dining_room,33
prod0260,rug,living_room,38
prod0261,sofa,living_room,37
prod0262,rug,living_room,74
prod0263,desk,office,10
prod0264,sofa,living_room,84
prod0265,shovel,yard,33
prod0266,sofa,living_room,40
prod0267,shears,yard,11
prod0268,shovel,yard,74
prod0269,shears,yard,89
prod0270,lamp,living_room,70
prod0271,chair,dining_room,22
prod0272,lawnmower,yard,83
prod0273,table,dining_room,13
prod0274,chair,dining_room,29
