product1,user1,2015-02-16,2017-09-09,10
product2,user2,2013-10-13,2017-06-05,4
product3,user3,2017-02-18,2012-11-02,6
product4,user4,2011-07-24,2017-02-23,5
product5,user5,2018-12-31,2014-03-05,8
product6,user6,2014-03-17,2010-05-18,2
product7,user7,2016-10-30,2018-09-28,4
product8,user8,2019-10-28,2011-10-28,2
product9,user9,2014-10-26,2014-03-06,1
product10,user10,2012-03-10,2019-08-20,4
product11,user11,2018-03-21,2016-02-22,4
product12,user12,2011-02-22,2010-06-24,7
product13,user13,2018-02-09,2012-01-25,3
product14,user14,2018-02-09,2016-05-20,6
product15,user15,2019-10-18,2014-10-23,9
product16,user16,2019-07-24,2010-06-29,6
product17,user17,2013-07-08,2019-11-11,8
product18,user18,2019-01-05,2015-01-04,3
product19,user19,2014-02-10,2011-06-13,8
product20,user20,2014-06-09,2018-03-17,2
product21,user21,2011-02-20,2010-07-28,2
product22,user22,2014-03-26,2012-10-14,2
product23,user23,2017-06-22,2010-08-17,8
product24,user24,2014-12-21,2012-03-20,7
product25,user25,2016-04-27,2019-06-15,9
product26,user26,2017-09-23,2014-04-06,6
product27,user27,2010-09-04,2010-03-07,7
product28,user28,2010-11-23,2016-06-12,1
product29,user29,2014-07-30,2012-10-17,7
product30,user30,2017-04-11,2015-08-14,5
product31,user31,2014-02-12,2012-02-24,1
product32,user32,2013-10-25,2017-06-17,9
product33,user33,2013-06-30,2011-03-26,8
product34,user34,2012-07-29,2012-03-23,7
product35,user35,2018-04-07,2016-01-06,4
product36,user36,2014-12-15,2013-04-26,7
product37,user37,2018-09-17,2017-08-30,4
product38,user38,2010-07-17,2017-06-09,2
product39,user39,2016-04-18,2014-07-07,5
product40,user40,2016-11-25,2014-06-05,10
product41,user41,2014-03-24,2017-02-17,3
product42,user42,2013-04-18,2014-07-08,5
product43,user43,2012-08-25,2019-08-17,8
product44,user44,2012-03-03,2010-11-17,5
product45,user45,2017-05-17,2017-03-02,10
product46,user46,2019-05-04,2013-01-16,3
product47,user47,2011-02-22,2018-08-19,5
product48,user48,2011-04-10,2018-03-31,7
product49,user49,2014-10-22,2017-02-15,4
product50,user50,2017-08-31,2016-11-30,4
product51,user51,2019-07-01,2018-07-16,6
product52,user52,2013-10-12,2011-03-09,6
product53,user53,2015-11-06,2019-07-02,2
product54,user54,2014-11-15,2019-05-18,6
product55,user55,2013-12-29,2017-12-14,9
product56,user56,2011-06-18,2012-06-08,6
product57,user57,2017-05-29,2019-02-06,5
product58,user58,2011-01-25,2017-04-11,1
product59,user59,2012-09-04,2014-09-12,9
product60,user60,2013-08-31,2015-07-05,6
product61,user61,2016-09-21,2012-09-07,5
product62,user62,2017-01-03,2010-11-05,4
product63,user63,2015-03-11,2018-07-08,6
product64,user64,2014-03-30,2016-04-09,4
product65,user65,2015-09-30,2015-03-25,6
product66,user66,2019-02-01,2011-07-19,10
product67,user67,2011-10-12,2012-05-13,1
product68,user68,2018-09-23,2016-09-08,7
product69,user69,2014-12-28,2011-04-08,9
product70,user70,2014-12-22,2013-12-14,7
product71,user71,2012-11-28,2014-11-13,7
product72,user72,2016-05-09,2013-07-16,1
product73,user73,2016-06-19,2019-06-05,9
product74,user74,2018-03-22,2015-08-01,4
product75,user75,2011-08-28,2018-06-21,8
product76,user76,2013-08-24,2010-12-05,8
product77,user77,2017-02-09,2017-12-11,4
product78,user78,2018-08-15,2011-06-17,7
product79,user79,2014-08-15,2018-04-04,1
product80,user80,2014-10-01,2011-08-10,2
product81,user81,2012-09-06,2017-05-17,1
product82,user82,2015-05-21,2011-12-19,10
product83,user83,2014-07-31,2016-02-22,9
product84,user84,2016-05-11,2014-04-18,2
product85,user85,2019-10-31,2011-05-03,1
product86,user86,2013-01-06,2013-07-29,2
product87,user87,2015-08-03,2010-02-01,8
product88,user88,2017-04-20,2014-02-13,8
product89,user89,2015-05-12,2013-10-23,6
product90,user90,2010-02-20,2019-03-23,6
product91,user91,2017-05-19,2018-11-22,5
product92,user92,2014-09-08,2011-05-12,2
product93,user93,2012-03-23,2010-11-24,6
product94,user94,2019-01-21,2010-02-01,4
product95,user95,2017-06-24,2016-09-27,9
product96,user96,2011-08-19,2016-11-26,7
product97,user97,2018-04-28,2012-08-17,4
product98,user98,2016-09-17,2011-11-01,6
product99,user99,2017-02-06,2010-07-10,5
product100,user100,2012-09-16,2012-04-22,3
product101,user101,2014-06-25,2013-02-12,6
product102,user102,2010-03-06,2011-11-13,2
product103,user103,2013-05-05,2011-07-15,5
product104,user104,2013-08-07,2015-07-10,8
product105,user105,2018-12-04,2018-02-24,10
product106,user106,2010-09-14,2017-12-08,10
product107,user107,2016-08-24,2012-03-25,7
product108,user108,2014-12-05,2014-03-02,8
product109,user109,2012-06-19,2010-01-29,10
product110,user110,2014-07-23,2012-09-11,5
product111,user111,2013-04-04,2016-12-25,5
product112,user112,2016-10-02,2019-06-19,4
product113,user113,2011-07-10,2011-12-15,6
product114,user114,2012-07-09,2018-08-01,8
product115,user115,2018-12-11,2017-07-13,2
product116,user116,2018-04-09,2019-10-27,9
product117,user117,2015-06-08,2015-02-21,7
product118,user118,2011-05-28,2014-07-06,10
product119,user119,2015-06-05,2011-11-13,2
product120,user120,2016-12-01,2017-03-01,2
product121,user121,2012-01-14,2019-09-27,5
product122,user122,2014-06-19,2019-10-08,5
product123,user123,2017-11-30,2017-02-03,4
product124,user124,2018-10-18,2012-03-27,10
product125,user125,2011-04-26,2016-08-15,6
product126,user126,2019-09-25,2010-03-06,2
product127,user127,2018-10-19,2011-04-15,5
product128,user128,2017-08-26,2011-01-26,3
product129,user129,2017-03-11,2010-08-23,3
product130,user130,2010-12-07,2016-05-17,10
product131,user131,2018-05-26,2015-12-31,6
product132,user132,2018-09-28,2019-10-12,9
product133,user133,2010-01-15,2013-12-06,8
