prod_id,description,prod_type,qty_avail
prod0001,"Sofa; size: M, color: red, finish: silver",bedroom,7
prod0002,"Dining table; size: S, color: bronze, finish: oil",livingroom,26
prod0003,"Bed frame; size: M, color: gold, finish: gold",kitchen,14
prod0004,"Coffee table; size: S, color: purple, finish: platinum",kitchen,26
prod0005,"L-shaped sofa; size: XL, color: silver, finish: lacquer",bedroom,21
prod0006,"End table; size: L, color: blue, finish: wood",livingroom,17
prod0007,"Bed frame; size: XL, color: brown, finish: chrome",bedroom,19
prod0008,"Sofa; size: L, color: white, finish: gold",livingroom,4
prod0009,"Desk; size: S, color: brown, finish: paint",bedroom,15
prod0010,"Dining table; size: L, color: brown, finish: paint",bedroom,6
prod0011,"Dining table; size: XL, color: green, finish: diamonds",kitchen,6
prod0012,"Sofa; size: XL, color: brown, finish: paint",livingroom,26
prod0013,"TV stand; size: M, color: blue, finish: wood",livingroom,24
prod0014,"Dining table; size: XL, color: silver, finish: silver",bedroom,13
prod0015,"Coffee table; size: S, color: white, finish: silver",kitchen,14
prod0016,"Book shelf; size: S, color: white, finish: platinum",kitchen,9
prod0017,"Stool; size: S, color: gold, finish: chrome",kitchen,22
prod0018,"End table; size: L, color: silver, finish: diamonds",kitchen,22
prod0019,"End table; size: XL, color: green, finish: oil",livingroom,17
prod0020,"Stand; size: M, color: gold, finish: diamonds",livingroom,5
prod0021,"Stand; size: L, color: purple, finish: platinum",bedroom,7
prod0022,"Book shelf; size: M, color: black, finish: diamonds",livingroom,24
prod0023,"End table; size: M, color: black, finish: silver",kitchen,4
prod0024,"Dining table; size: S, color: black, finish: oil",bedroom,18
prod0025,"Bar stool; size: S, color: silver, finish: diamonds",kitchen,29
prod0026,"End table; size: M, color: bronze, finish: lacquer",livingroom,27
prod0027,"Stool; size: L, color: silver, finish: lacquer",kitchen,16
prod0028,"TV stand; size: M, color: blue, finish: silver",bedroom,25
prod0029,"Stand; size: S, color: bronze, finish: diamonds",bedroom,11
prod0030,"Dresser; size: XL, color: brown, finish: platinum",bedroom,19
prod0031,"Stool; size: S, color: green, finish: lacquer",bedroom,15
prod0032,"TV stand; size: S, color: green, finish: gold",bedroom,11
prod0033,"Dining table; size: S, color: bronze, finish: platinum",bedroom,29
prod0034,"TV stand; size: L, color: bronze, finish: chrome",kitchen,29
prod0035,"TV stand; size: XL, color: red, finish: oil",kitchen,28
prod0036,"Coffee table; size: M, color: black, finish: chrome",livingroom,20
prod0037,"End table; size: L, color: bronze, finish: oil",bedroom,21
prod0038,"Bar stool; size: S, color: red, finish: varnish",livingroom,3
prod0039,"Stool; size: M, color: red, finish: silver",kitchen,2
prod0040,"L-shaped sofa; size: XL, color: gold, finish: chrome",kitchen,10
