prod_id,qty,user_id
prod2521,4,user0118
prod3203,1,user0297
prod1823,4,user1337
prod4132,4,user1882
prod4632,3,user1641
prod1849,1,user0963
prod2055,3,user3549
prod1380,3,user4175
prod0712,4,user0789
prod2860,2,user4446
prod2547,3,user4316
prod4383,2,user1985
prod2958,3,user0013
prod3662,2,user1221
prod3801,2,user1572
prod0481,3,user4192
prod3551,4,user1570
prod2370,4,user2609
prod3341,2,user2840
prod2061,3,user1425
prod2850,2,user3778
prod2179,2,user3573
prod0486,3,user0817
prod3787,3,user2144
prod4524,3,user3843
prod1608,2,user0515
prod3385,2,user4448
prod3226,2,user3408
prod3647,3,user1560
prod2416,3,user2936
prod3260,1,user3288
prod0937,1,user4689
prod1563,2,user1179
prod0129,4,user1848
prod2095,3,user3888
prod1085,2,user0203
prod2889,4,user3167
prod0085,4,user3171
prod0741,1,user1207
prod0354,1,user0468
prod1103,1,user1078
prod3479,4,user2531
prod2572,2,user1952
prod3564,4,user3036
prod2399,1,user1053
prod0297,4,user1977
prod1960,3,user4730
prod2437,2,user2945
prod0621,3,user4681
prod2715,4,user3345
prod0759,4,user1348
prod0616,2,user4420
prod0122,1,user4068
prod1337,1,user1357
prod2904,2,user4572
prod3765,1,user4998
prod1873,4,user3808
prod3897,2,user3374
prod4397,4,user1218
prod3374,3,user0577
prod2055,3,user4449
prod1357,1,user1117
prod3303,3,user4658
prod1877,2,user4856
prod0266,2,user1995
prod2036,1,user3088
prod0501,3,user3043
prod1536,1,user1043
prod4591,1,user3166
prod2556,1,user4546
prod1575,1,user4468
prod1671,1,user0426
prod0427,1,user2402
prod3998,1,user2057
prod0718,3,user3872
prod0030,3,user1861
prod0509,1,user0198
prod2910,2,user3521
prod2119,4,user1967
prod1388,2,user4026
prod3953,4,user0446
prod1035,2,user4606
prod1898,4,user4846
prod4522,1,user2835
prod3655,3,user0003
prod2950,3,user4556
prod3124,1,user2535
prod1408,3,user4823
prod0847,2,user1230
prod1970,3,user2980
prod2328,2,user4557
prod4391,2,user1073
prod3576,2,user0074
prod1244,2,user1929
prod4205,1,user0773
prod4103,3,user1056
prod2759,2,user0723
prod0055,3,user1398
prod3710,3,user1654
prod1152,1,user4181
prod1808,3,user3081
prod2825,1,user3853
prod1297,2,user3625
prod2388,2,user0609
prod2401,4,user2923
prod0660,4,user2682
prod1462,2,user3942
prod0174,2,user3336
prod3953,2,user0501
prod0358,1,user1735
prod1612,4,user2056
prod0603,1,user0725
prod0919,1,user4107
prod3217,1,user2748
prod2512,4,user3933
prod4305,4,user4021
prod4703,4,user2274
prod0208,2,user1760
prod1091,2,user0377
prod3716,1,user1058
prod4212,2,user1987
prod2690,1,user2325
prod1578,3,user1385
prod2251,3,user4673
prod2724,1,user2137
prod3344,1,user4537
prod0228,4,user4212
prod0406,3,user2701
prod3327,3,user3182
prod3458,2,user4522
prod2916,4,user0069
prod2349,1,user4160
prod1714,4,user3447
prod3477,1,user1491
prod0485,1,user3027
prod3740,1,user0481
prod2614,1,user3727
prod4870,1,user1581
prod1189,4,user0837
prod3862,3,user1785
prod1253,4,user2828
prod0781,2,user4724
prod1843,1,user3434
prod0645,3,user3927
prod4719,1,user4800
prod4792,3,user0356
prod3893,3,user0547
prod4492,3,user3284
prod3739,3,user1530
prod4493,3,user4659
prod3429,3,user3329
prod1821,3,user2496
prod3954,3,user0365
prod4511,2,user1684
prod2145,3,user2716
prod2337,2,user1427
prod0246,4,user2866
prod0841,2,user2487
prod3351,3,user1945
prod4421,2,user4977
prod2524,2,user1016
prod1056,4,user0058
prod2204,1,user0991
prod3399,1,user4129
prod4304,2,user1627
prod0601,2,user2707
prod3218,1,user2177
prod1919,1,user3525
prod0721,2,user0512
prod2027,1,user2955
prod2150,1,user2621
prod1772,3,user1404
prod3989,4,user1659
prod3778,2,user1092
prod0238,2,user0711
prod0168,4,user3160
prod2388,1,user3355
prod3622,3,user1776
prod3358,2,user4865
prod1671,3,user0564
prod4524,2,user1844
prod1242,2,user0986
prod4197,1,user3285
prod1433,2,user2518
prod4002,2,user2189
prod3484,1,user0101
prod4877,4,user2003
prod2057,3,user0533
prod0260,2,user4914
prod4030,1,user2216
prod2328,3,user4002
prod3963,4,user3667
prod1192,1,user2535
prod3404,3,user2465
prod2774,1,user0170
prod4902,3,user0296
prod2422,2,user3331
prod3535,2,user3683
prod4604,3,user3980
prod4684,3,user3922
prod1817,3,user2903
prod0888,4,user2176
prod2029,2,user4799
prod4028,2,user1732
prod4365,3,user1186
prod2953,2,user0064
prod4019,3,user0333
prod2079,2,user0484
prod2663,4,user1091
prod0230,3,user1113
prod2199,2,user3668
prod2171,4,user1105
prod1950,3,user0833
prod4439,3,user1210
prod0102,2,user3196
prod0232,4,user3205
prod1309,2,user4498
prod4053,4,user3159
prod0370,4,user0427
prod0944,4,user4405
prod3765,1,user1038
prod3873,1,user1883
prod2839,1,user2225
prod1014,4,user3601
prod4837,2,user3229
prod2451,3,user0337
prod4328,1,user1250
prod1319,2,user0253
prod4963,2,user0128
prod1496,4,user3887
prod4121,4,user4459
prod3502,4,user4567
prod2761,3,user1219
prod4223,1,user0407
prod1570,1,user2746
prod3744,2,user1811
prod3399,4,user0434
prod2732,2,user1100
prod4507,1,user0115
prod1503,1,user4759
prod0493,2,user2404
prod0188,4,user0268
prod2730,3,user2803
prod1917,4,user4291
prod3705,3,user4016
prod2131,3,user1571
prod4758,2,user2772
prod4737,1,user2730
prod4794,4,user3997
prod2766,3,user4139
prod0209,2,user2949
prod3965,3,user0717
prod3990,4,user1480
prod3825,1,user0949
prod1732,3,user3722
prod3848,4,user0535
prod0466,4,user0963
prod1820,1,user2405
prod2206,2,user2867
prod3292,2,user2937
prod4628,4,user0908
prod4923,4,user4043
prod0860,1,user2153
prod3506,4,user2460
prod3162,4,user2219
prod1133,4,user0626
prod0698,1,user4803
prod3800,2,user4062
prod3047,4,user2925
prod2061,2,user0068
prod3250,1,user2011
prod0406,3,user4329
prod4905,3,user4963
prod4856,3,user3829
prod2647,4,user3197
prod2269,3,user1188
prod3907,3,user0022
prod3686,4,user2384
prod1519,1,user4023
prod1060,3,user3994
prod1042,1,user4246
prod0700,3,user2043
prod3847,3,user3581
prod1562,4,user2624
prod2390,2,user3612
prod1541,4,user3161
prod3597,3,user0478
prod3921,3,user0315
prod3581,3,user4702
prod3855,3,user4192
prod4404,1,user4129
prod3942,4,user0019
prod3718,1,user0279
prod2323,1,user0519
prod2169,2,user2870
prod1780,3,user0928
prod1536,2,user0751
prod0809,2,user3045
prod2570,1,user2818
prod3074,3,user1278
prod3928,3,user3090
prod1577,2,user0124
prod3620,3,user0150
prod4711,1,user1521
prod3943,2,user1090
prod3181,4,user1049
prod3796,3,user1466
prod2766,1,user1757
prod4338,1,user2862
prod2863,3,user1367
prod0710,3,user4552
prod0847,1,user3472
prod1050,3,user4385
prod3758,4,user2563
prod4273,3,user3847
prod0140,1,user3163
prod2336,4,user1551
prod3009,1,user0804
prod0664,4,user4054
prod4169,2,user1910
prod0077,3,user2743
prod3058,3,user4043
prod4704,1,user2235
prod3244,4,user0102
prod2822,1,user3109
prod2124,1,user3642
prod1684,4,user1730
prod4421,3,user0953
prod0495,4,user2864
prod0178,3,user1743
prod3190,3,user2614
prod1779,1,user4685
prod0637,2,user3958
prod4683,2,user3072
prod1753,2,user2845
prod0536,3,user3985
prod4718,1,user2741
prod0420,3,user4522
prod4633,2,user0656
prod2918,4,user3740
prod1400,1,user4147
prod3759,1,user0512
prod1691,4,user1094
prod0283,3,user1608
prod0968,2,user0997
prod3351,2,user3038
prod2325,4,user2608
prod2467,1,user1606
prod3341,2,user2713
prod1753,1,user4997
prod4385,2,user1063
prod0473,2,user2610
prod4996,2,user1416
prod3129,1,user3102
prod3962,1,user1926
prod2252,3,user2929
prod4450,1,user0050
prod3318,3,user4322
prod1994,3,user2984
prod2181,2,user1805
prod3633,4,user3262
prod4326,3,user2836
prod3260,2,user0814
prod4468,3,user1065
prod3434,4,user4055
prod1405,1,user0552
prod3365,2,user3234
prod1140,4,user1808
prod2912,4,user0123
prod0864,3,user0770
prod2210,4,user4386
prod1372,1,user2769
prod2081,2,user2375
prod1383,3,user2782
prod2464,3,user4054
prod4242,1,user0197
prod0061,2,user4560
prod2381,2,user0164
prod2522,1,user1699
prod3947,1,user1245
prod4352,2,user1137
prod3104,1,user3644
prod3254,2,user0464
prod3705,3,user2622
prod2441,3,user0553
prod3123,1,user0854
prod3023,1,user1574
prod4449,2,user0753
prod2457,1,user2295
prod3126,4,user4224
prod2202,2,user3114
prod0567,4,user3073
prod4965,3,user4529
prod0282,2,user3409
prod3009,2,user4610
prod1661,4,user4390
prod0968,3,user0845
prod2678,3,user4432
prod3736,3,user1048
prod4565,3,user2686
prod1842,2,user3212
prod4640,1,user1818
prod0923,4,user3168
prod0544,3,user2644
prod1759,3,user2065
prod3268,2,user2782
prod2515,3,user4412
prod1361,2,user4671
prod4673,4,user0706
prod0557,3,user0719
prod3594,4,user0107
prod2516,2,user0120
prod4691,1,user0630
prod0061,3,user1283
prod0687,3,user0460
prod3122,1,user0905
prod1927,3,user0531
prod4750,4,user1670
prod0050,4,user0791
prod2786,1,user4665
prod3188,2,user0874
prod3903,2,user4032
prod4066,2,user1775
prod4948,4,user1399
prod1079,3,user2916
prod2806,4,user3068
prod0819,3,user4078
prod4142,3,user3204
prod1880,1,user1839
prod0913,1,user4321
prod3474,3,user0645
prod2791,1,user2070
prod4795,1,user3669
prod2951,4,user2127
prod0983,4,user3762
prod3825,1,user1238
prod2152,3,user3952
prod2727,4,user0760
prod0688,3,user1976
prod0164,2,user3856
prod1676,2,user4096
prod4177,3,user2643
prod3409,4,user3869
prod3313,4,user0615
prod3761,3,user1631
prod4683,3,user4267
prod4190,4,user3685
prod4184,2,user2501
prod3525,3,user4667
prod4364,2,user2055
prod0987,4,user2928
prod0891,4,user1630
prod2286,1,user4367
prod4283,3,user3849
prod0178,1,user2889
prod1509,1,user1483
prod1803,3,user2004
prod3659,3,user3459
prod2689,2,user2031
prod1049,3,user1745
prod2358,2,user0132
prod2789,4,user0433
prod1297,2,user3035
prod4604,1,user1355
prod4863,1,user2655
prod0293,2,user3029
prod3607,1,user4644
prod1041,4,user0783
prod1943,4,user1634
prod4523,1,user4162
prod3306,2,user3446
prod2920,2,user4861
prod1775,1,user3085
prod2379,1,user4879
prod4575,3,user3001
prod4215,2,user1369
prod2908,3,user0314
prod0894,2,user4265
prod4848,2,user0997
prod3789,1,user4211
prod4630,3,user0420
prod2426,2,user2752
prod1465,3,user4954
prod1018,4,user4030
prod2219,2,user2069
prod4959,3,user0267
prod3789,3,user4905
prod1797,3,user4881
prod1818,1,user3562
prod4672,3,user2567
prod4471,3,user1618
prod4947,4,user0997
prod0133,2,user2418
prod3274,4,user1787
prod1313,4,user3366
prod2241,3,user4609
prod0153,3,user0715
prod3264,3,user0348
prod3349,3,user3615
prod1535,1,user3857
prod2295,2,user0097
prod0076,2,user4578
prod3830,3,user4301
prod0657,3,user0735
prod4486,3,user3443
prod1624,1,user2772
prod3465,4,user1310
prod4402,1,user1173
prod2490,3,user0401
prod4290,2,user1491
prod2563,4,user1858
prod0752,2,user3808
prod4254,1,user1319
prod1363,2,user0272
prod3434,4,user0910
prod2493,2,user0324
prod4733,3,user2376
prod1356,2,user0273
prod3114,2,user0785
prod2409,2,user3401
prod0645,1,user1401
prod0643,3,user4064
prod3031,1,user1517
prod4448,2,user2179
prod1892,1,user0971
prod1340,4,user1157
prod2455,1,user1572
prod2994,4,user0446
prod0267,3,user3453
prod1216,2,user0723
prod4370,2,user4157
prod3440,4,user2540
prod0307,1,user3213
prod4673,3,user3604
prod4699,4,user2084
prod4063,3,user4341
prod3154,2,user0079
prod3830,2,user2527
prod3438,3,user4340
prod1598,1,user4543
prod4873,1,user0562
prod1436,2,user4505
prod4892,3,user2204
prod0684,2,user2456
prod0271,1,user3002
prod1716,3,user4318
prod3848,1,user1304
prod4447,2,user1370
prod1301,2,user4629
prod2627,4,user3082
prod3700,4,user1604
prod4515,4,user4552
prod2431,3,user0413
prod4994,2,user4473
prod1781,4,user4017
prod4697,3,user1573
prod0630,1,user1624
prod1892,1,user3879
prod3166,4,user0132
prod4204,3,user4377
prod3553,2,user4693
prod1134,4,user2186
prod3412,2,user3328
prod2614,3,user0363
prod3924,1,user4783
prod3671,2,user0826
prod2973,3,user4067
prod1306,1,user0821
prod1124,4,user0844
prod2182,2,user2024
prod4944,2,user3630
prod0326,3,user4928
prod0840,2,user3172
prod3976,4,user3329
prod1221,4,user0028
