prod_id,description,prod_type,qty_avail
prod0001,"Desk; size: M, color: white, finish: diamonds",livingroom,8
prod0002,"Desk; size: XL, color: white, finish: silver",bedroom,21
prod0003,"Sofa; size: L, color: bronze, finish: lacquer",bedroom,13
prod0004,"Coffee table; size: M, color: red, finish: lacquer",bedroom,2
prod0005,"End table; size: XL, color: brown, finish: resin",livingroom,26
prod0006,"Dresser; size: M, color: red, finish: bare",bedroom,9
prod0007,"Bed frame; size: XL, color: brown, finish: chrome",bedroom,28
prod0008,"Book shelf; size: L, color: white, finish: bare",kitchen,15
prod0009,"Desk; size: M, color: green, finish: resin",livingroom,16
prod0010,"Bar stool; size: M, color: white, finish: bare",kitchen,27
prod0011,"Bed frame; size: L, color: black, finish: resin",livingroom,25
prod0012,"Bed frame; size: XL, color: blue, finish: platinum",bedroom,10
prod0013,"End table; size: M, color: blue, finish: gold",kitchen,27
prod0014,"TV stand; size: XL, color: brown, finish: gold",bedroom,23
prod0015,"Dining table; size: L, color: red, finish: varnish",livingroom,20
prod0016,"Book shelf; size: S, color: silver, finish: paint",bedroom,28
prod0017,"Dresser; size: M, color: silver, finish: resin",livingroom,18
prod0018,"Bed frame; size: L, color: blue, finish: lacquer",bedroom,27
prod0019,"Sofa; size: L, color: purple, finish: silver",livingroom,11
prod0020,"Sofa; size: L, color: red, finish: gold",bedroom,26
prod0021,"Stool; size: XL, color: purple, finish: varnish",bedroom,10
prod0022,"Coffee table; size: XL, color: white, finish: varnish",kitchen,0
prod0023,"Bed frame; size: XL, color: red, finish: resin",kitchen,15
prod0024,"Bar stool; size: M, color: purple, finish: lacquer",bedroom,19
prod0025,"Stool; size: XL, color: red, finish: paint",bedroom,5
prod0026,"L-shaped sofa; size: L, color: gold, finish: wood",livingroom,0
prod0027,"Coffee table; size: L, color: white, finish: chrome",kitchen,26
prod0028,"Bar stool; size: S, color: bronze, finish: platinum",kitchen,0
prod0029,"Dining table; size: M, color: purple, finish: oil",bedroom,28
prod0030,"Coffee table; size: L, color: green, finish: chrome",livingroom,7
prod0031,"Dining table; size: XL, color: green, finish: paint",kitchen,3
prod0032,"Bar stool; size: S, color: gold, finish: oil",bedroom,2
prod0033,"Desk; size: XL, color: green, finish: chrome",kitchen,10
prod0034,"End table; size: XL, color: silver, finish: chrome",kitchen,20
prod0035,"TV stand; size: M, color: red, finish: wood",livingroom,15
prod0036,"Coffee table; size: M, color: black, finish: wood",bedroom,14
prod0037,"Book shelf; size: XL, color: black, finish: oil",livingroom,28
prod0038,"Sofa; size: M, color: gold, finish: varnish",bedroom,9
prod0039,"Coffee table; size: L, color: purple, finish: oil",bedroom,17
prod0040,"Coffee table; size: M, color: purple, finish: lacquer",bedroom,21
prod0041,"Stool; size: S, color: purple, finish: gold",kitchen,0
prod0042,"Stand; size: S, color: green, finish: lacquer",bedroom,20
prod0043,"Bed frame; size: S, color: white, finish: chrome",kitchen,28
prod0044,"L-shaped sofa; size: XL, color: gold, finish: resin",livingroom,26
prod0045,"Book shelf; size: S, color: brown, finish: platinum",livingroom,17
prod0046,"Dresser; size: XL, color: blue, finish: paint",bedroom,18
prod0047,"Stand; size: L, color: black, finish: silver",kitchen,11
prod0048,"Book shelf; size: XL, color: red, finish: varnish",kitchen,25
prod0049,"Bar stool; size: M, color: silver, finish: gold",kitchen,23
prod0050,"Dining table; size: XL, color: blue, finish: chrome",bedroom,15
prod0051,"Stool; size: S, color: gold, finish: varnish",livingroom,8
prod0052,"Stand; size: S, color: green, finish: silver",kitchen,20
prod0053,"Stand; size: M, color: black, finish: paint",kitchen,13
prod0054,"Bar stool; size: S, color: bronze, finish: bare",bedroom,6
prod0055,"Coffee table; size: S, color: purple, finish: diamonds",bedroom,24
prod0056,"Dresser; size: S, color: purple, finish: bare",kitchen,19
prod0057,"Sofa; size: L, color: white, finish: varnish",kitchen,15
prod0058,"Dresser; size: S, color: bronze, finish: gold",kitchen,19
prod0059,"Coffee table; size: M, color: blue, finish: silver",livingroom,20
prod0060,"Coffee table; size: XL, color: blue, finish: lacquer",livingroom,29
prod0061,"Dresser; size: XL, color: bronze, finish: resin",kitchen,29
prod0062,"Desk; size: XL, color: red, finish: oil",livingroom,10
prod0063,"Dining table; size: S, color: black, finish: wood",bedroom,4
prod0064,"TV stand; size: XL, color: blue, finish: bare",livingroom,1
prod0065,"Dining table; size: S, color: green, finish: oil",livingroom,4
prod0066,"Bar stool; size: S, color: blue, finish: bare",bedroom,10
prod0067,"TV stand; size: M, color: gold, finish: diamonds",bedroom,3
prod0068,"Book shelf; size: S, color: purple, finish: oil",livingroom,21
prod0069,"Coffee table; size: L, color: black, finish: silver",livingroom,15
prod0070,"Stool; size: M, color: brown, finish: oil",bedroom,29
prod0071,"Stool; size: L, color: purple, finish: varnish",bedroom,23
prod0072,"End table; size: S, color: bronze, finish: paint",livingroom,5
prod0073,"Coffee table; size: L, color: silver, finish: bare",kitchen,24
prod0074,"TV stand; size: M, color: silver, finish: gold",bedroom,9
prod0075,"End table; size: M, color: black, finish: silver",bedroom,16
prod0076,"TV stand; size: S, color: red, finish: oil",livingroom,5
prod0077,"End table; size: M, color: gold, finish: oil",kitchen,8
prod0078,"Sofa; size: M, color: blue, finish: bare",livingroom,24
prod0079,"Dresser; size: XL, color: black, finish: chrome",livingroom,2
prod0080,"Book shelf; size: S, color: green, finish: varnish",livingroom,0
prod0081,"Dresser; size: L, color: brown, finish: bare",bedroom,28
prod0082,"Stand; size: L, color: blue, finish: oil",bedroom,12
prod0083,"Book shelf; size: M, color: bronze, finish: gold",livingroom,16
prod0084,"Stool; size: S, color: brown, finish: silver",kitchen,9
prod0085,"Desk; size: L, color: red, finish: resin",livingroom,0
prod0086,"TV stand; size: XL, color: brown, finish: wood",livingroom,24
prod0087,"Bed frame; size: M, color: red, finish: gold",livingroom,13
prod0088,"Sofa; size: XL, color: purple, finish: gold",bedroom,29
prod0089,"TV stand; size: M, color: red, finish: diamonds",bedroom,16
prod0090,"Dresser; size: L, color: red, finish: chrome",livingroom,6
prod0091,"Desk; size: L, color: green, finish: diamonds",livingroom,9
prod0092,"Book shelf; size: M, color: white, finish: lacquer",livingroom,28
prod0093,"Desk; size: L, color: bronze, finish: silver",livingroom,20
prod0094,"Bar stool; size: XL, color: gold, finish: paint",bedroom,10
prod0095,"TV stand; size: XL, color: silver, finish: diamonds",bedroom,14
prod0096,"L-shaped sofa; size: S, color: blue, finish: bare",livingroom,16
prod0097,"TV stand; size: S, color: brown, finish: wood",bedroom,5
prod0098,"Dresser; size: S, color: red, finish: diamonds",kitchen,26
prod0099,"Stand; size: M, color: silver, finish: chrome",kitchen,3
prod0100,"Dining table; size: S, color: brown, finish: resin",kitchen,23
prod0101,"Dresser; size: L, color: gold, finish: wood",livingroom,29
prod0102,"Bed frame; size: XL, color: blue, finish: chrome",bedroom,2
prod0103,"Book shelf; size: L, color: white, finish: varnish",livingroom,12
prod0104,"L-shaped sofa; size: S, color: brown, finish: gold",bedroom,12
prod0105,"Bar stool; size: L, color: purple, finish: bare",livingroom,21
prod0106,"Stand; size: S, color: brown, finish: platinum",bedroom,10
prod0107,"Book shelf; size: M, color: gold, finish: chrome",bedroom,13
prod0108,"Bed frame; size: L, color: silver, finish: paint",bedroom,25
prod0109,"Book shelf; size: L, color: black, finish: paint",bedroom,15
prod0110,"Desk; size: M, color: bronze, finish: paint",bedroom,8
prod0111,"Book shelf; size: XL, color: green, finish: bare",livingroom,21
prod0112,"Bar stool; size: S, color: green, finish: resin",bedroom,29
prod0113,"Stool; size: XL, color: black, finish: platinum",bedroom,7
prod0114,"Stand; size: S, color: bronze, finish: diamonds",bedroom,24
prod0115,"Desk; size: XL, color: red, finish: gold",bedroom,17
prod0116,"Dresser; size: S, color: red, finish: chrome",kitchen,15
prod0117,"Dining table; size: M, color: blue, finish: lacquer",bedroom,1
prod0118,"Dresser; size: M, color: gold, finish: varnish",livingroom,15
prod0119,"Dining table; size: S, color: silver, finish: platinum",bedroom,3
prod0120,"Desk; size: S, color: brown, finish: varnish",bedroom,18
prod0121,"Coffee table; size: L, color: green, finish: oil",bedroom,8
prod0122,"Desk; size: M, color: bronze, finish: diamonds",kitchen,20
prod0123,"Sofa; size: S, color: silver, finish: paint",livingroom,24
prod0124,"Stool; size: M, color: gold, finish: chrome",livingroom,19
prod0125,"End table; size: S, color: brown, finish: diamonds",livingroom,18
prod0126,"Coffee table; size: M, color: silver, finish: gold",kitchen,20
prod0127,"TV stand; size: XL, color: brown, finish: paint",kitchen,27
