prod_id,qty,user_id
prod0769,1,user0785
prod0164,4,user0501
prod0619,1,user0340
prod0773,1,user0756
prod0587,4,user0382
prod0388,3,user0689
prod0671,4,user0238
prod0073,3,user0242
prod0955,4,user0949
prod0273,2,user0672
prod0532,4,user0899
prod0502,4,user0595
prod0220,3,user0759
prod0732,3,user0022
prod0811,4,user0334
prod0590,2,user0224
prod0303,2,user0387
prod0161,4,user0193
prod0199,1,user0052
prod0404,3,user0538
prod0011,2,user0414
prod0899,2,user0404
prod0080,4,user0145
prod0213,3,user0753
prod0145,3,user0890
prod0741,3,user0349
prod0720,3,user0839
prod0699,3,user0149
prod0996,4,user0396
prod0699,4,user0171
prod0439,4,user0689
prod0556,2,user0417
prod0489,1,user0594
prod0126,2,user0865
prod0228,4,user0323
prod0734,2,user0223
prod0247,3,user0916
prod0306,4,user0517
prod0102,2,user0883
prod0310,4,user0258
prod0575,3,user0005
prod0976,4,user0620
prod0733,2,user0776
prod0593,4,user0873
prod0415,4,user0059
prod0483,2,user0327
prod0246,3,user0327
prod0174,3,user0003
prod0271,2,user0173
prod0671,1,user0852
prod0267,1,user0075
prod0580,2,user0648
prod0258,1,user0903
prod0166,3,user0708
prod0342,2,user0137
prod0128,3,user0997
prod0249,3,user0492
prod0521,3,user0734
prod0592,4,user0717
prod0968,2,user0445
prod0424,4,user0315
prod0085,2,user0353
prod0608,2,user0387
prod0140,1,user0329
prod0151,2,user0326
prod0874,2,user0188
prod0418,1,user0714
prod0759,4,user0829
prod0905,2,user0334
prod0607,1,user0073
prod0116,3,user0700
prod0172,2,user0649
prod0799,1,user0825
prod0014,3,user0889
prod0122,3,user0726
prod0367,4,user0886
prod0261,1,user0403
prod0798,3,user0261
prod0228,1,user0732
prod0702,2,user0604
prod0705,2,user0744
prod0848,4,user0418
prod0001,1,user0283
prod0134,3,user0970
prod0717,4,user0697
prod0129,1,user0362
prod0414,3,user0258
prod0842,1,user0729
prod0655,2,user0062
prod0932,1,user0217
prod0026,2,user0976
prod0258,1,user0745
prod0233,4,user0356
prod0784,1,user0850
prod0985,2,user0570
prod0726,2,user0742
prod0984,4,user0041
prod0414,1,user0807
prod0167,1,user0285
prod0598,3,user0622
prod0506,2,user0711
prod0803,1,user0476
prod0163,3,user0046
prod0291,4,user0376
prod0399,3,user0212
prod0859,3,user0856
prod0487,4,user0346
prod0747,2,user0531
prod0646,3,user0983
prod0951,1,user0430
prod0700,3,user0744
prod0420,3,user0902
prod0587,1,user0467
prod0029,2,user0445
prod0483,1,user0317
prod0089,1,user0245
prod0314,1,user0128
prod0477,4,user0029
prod0320,4,user0292
prod0469,1,user0753
prod0645,1,user0807
prod0126,4,user0891
prod0914,1,user0554
prod0597,1,user0760
prod0720,3,user0332
prod0893,3,user0647
prod0061,4,user0451
prod0304,2,user0507
prod0155,1,user0661
prod0738,2,user0771
prod0898,4,user0413
prod0909,2,user0878
prod0626,3,user0380
prod0149,4,user0055
prod0860,4,user0127
prod0279,3,user0566
prod0392,1,user0120
prod0130,3,user0631
prod0089,2,user0116
prod0733,2,user0985
prod0223,1,user0875
prod0008,1,user0406
prod0532,4,user0888
prod0769,4,user0576
prod0017,1,user0858
prod0301,3,user0625
prod0701,2,user0163
prod0335,3,user0624
prod0395,4,user0733
prod0628,1,user0065
