prod_id,description,prod_type,qty_avail
prod0001,"Bed frame; size: L, color: black, finish: chrome",bedroom,27
prod0002,"End table; size: M, color: red, finish: wood",livingroom,0
prod0003,"Coffee table; size: S, color: purple, finish: paint",kitchen,15
prod0004,"Desk; size: XL, color: blue, finish: wood",bedroom,27
prod0005,"TV stand; size: L, color: silver, finish: gold",livingroom,18
prod0006,"Bed frame; size: M, color: green, finish: resin",livingroom,10
prod0007,"Stand; size: S, color: green, finish: chrome",kitchen,14
prod0008,"Dresser; size: XL, color: white, finish: wood",kitchen,0
prod0009,"Dining table; size: L, color: blue, finish: lacquer",kitchen,13
prod0010,"Sofa; size: L, color: blue, finish: chrome",kitchen,29
prod0011,"Bar stool; size: XL, color: blue, finish: chrome",kitchen,22
prod0012,"Sofa; size: XL, color: bronze, finish: diamonds",bedroom,4
prod0013,"Bar stool; size: M, color: red, finish: platinum",bedroom,20
prod0014,"L-shaped sofa; size: M, color: black, finish: silver",bedroom,12
prod0015,"Dining table; size: L, color: blue, finish: oil",bedroom,19
prod0016,"Stand; size: M, color: brown, finish: bare",livingroom,29
prod0017,"TV stand; size: S, color: blue, finish: lacquer",bedroom,20
prod0018,"Bed frame; size: L, color: purple, finish: diamonds",bedroom,4
prod0019,"Stool; size: XL, color: red, finish: oil",bedroom,18
prod0020,"Dining table; size: XL, color: white, finish: paint",livingroom,26
prod0021,"Stand; size: L, color: brown, finish: gold",bedroom,13
prod0022,"Desk; size: M, color: black, finish: gold",livingroom,8
prod0023,"TV stand; size: S, color: bronze, finish: gold",kitchen,6
prod0024,"Book shelf; size: L, color: red, finish: diamonds",bedroom,0
prod0025,"Coffee table; size: S, color: white, finish: platinum",bedroom,26
prod0026,"Desk; size: XL, color: brown, finish: diamonds",bedroom,6
prod0027,"Book shelf; size: S, color: black, finish: diamonds",livingroom,9
prod0028,"Dresser; size: S, color: white, finish: silver",livingroom,7
prod0029,"Desk; size: S, color: purple, finish: silver",bedroom,1
prod0030,"Book shelf; size: M, color: brown, finish: silver",livingroom,18
prod0031,"TV stand; size: S, color: white, finish: platinum",bedroom,22
prod0032,"TV stand; size: XL, color: black, finish: lacquer",livingroom,5
prod0033,"Dresser; size: S, color: black, finish: gold",livingroom,1
prod0034,"Bar stool; size: M, color: white, finish: bare",livingroom,12
prod0035,"Stool; size: S, color: bronze, finish: resin",kitchen,6
prod0036,"Book shelf; size: S, color: gold, finish: oil",kitchen,0
prod0037,"TV stand; size: XL, color: silver, finish: varnish",livingroom,7
prod0038,"TV stand; size: L, color: blue, finish: paint",kitchen,28
prod0039,"Sofa; size: S, color: brown, finish: wood",livingroom,22
