prod_id,qty,user_id
prod2093,1,user0423
prod0880,3,user1092
prod2390,4,user1822
prod1422,4,user0557
prod1903,2,user0848
prod1662,2,user0649
prod0562,3,user0242
prod0139,3,user1779
prod1680,2,user0736
prod2220,4,user1402
prod2215,1,user2036
prod2362,1,user2164
prod2436,2,user0480
prod0653,3,user1792
prod1807,1,user0916
prod1984,3,user1743
prod0631,2,user2339
prod0430,4,user0174
prod1386,1,user0224
prod1367,3,user0985
prod0505,4,user2085
prod2321,1,user2321
prod1750,2,user1066
prod1629,1,user1646
prod0325,2,user0516
prod0671,1,user0136
prod1390,3,user2189
prod0070,3,user1902
prod1701,3,user1608
prod0822,3,user0833
prod1205,2,user1874
prod0625,4,user2494
prod0497,3,user0499
prod1787,1,user0117
prod0125,3,user0561
prod1824,1,user2068
prod0824,1,user0249
prod0716,1,user1340
prod0758,1,user0014
prod1381,3,user1317
prod0499,4,user1362
prod0601,2,user0519
prod0740,1,user2421
prod1111,1,user2458
prod1243,2,user0938
prod2234,3,user1434
prod1186,1,user0253
prod1465,1,user1735
prod1755,4,user1165
prod2223,1,user0644
prod1743,2,user0501
prod2445,3,user0752
prod2204,1,user1008
prod0862,3,user0461
prod0246,3,user0060
prod1000,1,user2112
prod1334,2,user2339
prod1239,4,user2278
prod1662,2,user1030
prod0568,2,user2098
prod1088,2,user0612
prod1331,2,user2134
prod1677,1,user2148
prod0054,4,user0616
prod1932,2,user2257
prod2030,1,user0478
prod0646,1,user0871
prod2036,3,user1807
prod0395,1,user1515
prod1209,1,user0631
prod0523,4,user1577
prod0916,1,user1602
prod0117,2,user1326
prod1281,4,user1043
prod2366,4,user1419
prod0342,3,user2139
prod1107,4,user1179
prod2395,1,user2118
prod0659,1,user0699
prod0504,1,user2389
prod1988,3,user1645
prod1534,4,user2076
prod1244,4,user1274
prod0693,4,user0476
prod0530,4,user2212
prod0100,4,user0057
prod1479,1,user1700
prod0263,3,user1911
prod0189,4,user1232
prod1405,3,user0739
prod0124,4,user2423
prod0338,1,user1325
prod1155,3,user0447
prod1235,2,user2207
prod0342,2,user0208
prod1967,1,user0242
prod0735,3,user0260
prod0821,2,user0029
prod1924,2,user0158
prod1896,4,user0204
prod1357,2,user1357
prod0906,1,user1981
prod0338,4,user0655
prod0179,1,user0316
prod1511,1,user0656
prod1282,1,user2297
prod2470,1,user2142
prod1306,2,user1968
prod2443,1,user1890
prod1555,3,user0051
prod2361,1,user2477
prod1242,1,user0427
prod0214,3,user2412
prod2009,1,user2347
prod1268,1,user1589
