prod_id,qty,user_id
prod0045,2,user0020
prod0033,4,user0003
prod0062,4,user0079
prod0066,2,user0018
prod0037,1,user0033
prod0068,2,user0050
prod0084,1,user0065
prod0032,1,user0098
prod0045,1,user0013
prod0027,3,user0049
prod0033,3,user0015
prod0096,2,user0028
prod0010,3,user0047
prod0064,3,user0036
prod0069,1,user0014
prod0034,1,user0008
prod0068,3,user0044
prod0048,1,user0094
prod0017,1,user0032
prod0072,1,user0090
prod0016,1,user0082
prod0040,1,user0058
prod0037,4,user0044
prod0050,2,user0061
prod0085,2,user0054
prod0093,2,user0056
prod0042,1,user0032
prod0067,3,user0012
prod0063,1,user0035
prod0071,1,user0093
prod0078,4,user0022
prod0066,3,user0003
prod0087,3,user0041
prod0059,4,user0095
prod0095,3,user0070
prod0078,2,user0093
prod0079,4,user0024
prod0021,1,user0046
prod0049,1,user0016
prod0028,2,user0098
prod0037,4,user0018
prod0053,3,user0066
prod0040,2,user0092
prod0006,4,user0085
prod0089,1,user0076
prod0093,3,user0026
prod0002,3,user0037
prod0051,3,user0036
prod0095,1,user0047
prod0041,4,user0099
prod0046,3,user0097
prod0012,4,user0067
prod0073,4,user0028
prod0026,3,user0032
prod0093,3,user0052
prod0034,4,user0096
prod0091,2,user0062
prod0010,2,user0091
prod0017,4,user0010
prod0050,3,user0046
prod0043,1,user0014
prod0054,4,user0064
prod0054,1,user0099
prod0006,4,user0027
prod0060,2,user0056
prod0041,1,user0082
prod0033,1,user0099
prod0034,1,user0063
prod0067,4,user0079
prod0034,2,user0074
prod0028,1,user0050
prod0071,3,user0026
prod0021,4,user0089
prod0092,2,user0083
prod0028,4,user0083
prod0077,3,user0047
prod0044,1,user0058
prod0024,4,user0083
prod0057,4,user0038
prod0074,4,user0059
prod0006,2,user0088
prod0050,1,user0057
prod0096,4,user0070
prod0087,1,user0062
prod0047,4,user0072
prod0057,4,user0013
prod0082,1,user0017
prod0075,4,user0020
prod0025,3,user0027
prod0060,1,user0048
prod0040,1,user0066
prod0076,3,user0006
prod0053,4,user0023
prod0029,3,user0001
prod0081,2,user0064
prod0045,1,user0060
prod0074,4,user0095
prod0057,2,user0040
prod0070,4,user0032
prod0072,3,user0076
