prod_id,description,prod_type,qty_avail
prod0001,"Book shelf; size: XL, color: green, finish: bare",livingroom,19
prod0002,"Stool; size: S, color: green, finish: chrome",kitchen,5
prod0003,"Coffee table; size: L, color: green, finish: wood",kitchen,13
prod0004,"Bed frame; size: L, color: red, finish: gold",bedroom,5
prod0005,"Bed frame; size: S, color: red, finish: chrome",kitchen,0
prod0006,"Bed frame; size: XL, color: black, finish: varnish",livingroom,26
prod0007,"TV stand; size: M, color: purple, finish: varnish",kitchen,17
prod0008,"Sofa; size: M, color: brown, finish: paint",bedroom,21
prod0009,"Coffee table; size: L, color: gold, finish: chrome",livingroom,14
prod0010,"Stool; size: S, color: red, finish: lacquer",livingroom,28
prod0011,"Dining table; size: S, color: purple, finish: chrome",bedroom,18
prod0012,"End table; size: M, color: purple, finish: bare",kitchen,0
prod0013,"TV stand; size: S, color: green, finish: chrome",kitchen,9
prod0014,"Dresser; size: S, color: white, finish: diamonds",kitchen,11
prod0015,"Sofa; size: S, color: brown, finish: chrome",bedroom,0
prod0016,"Dresser; size: XL, color: bronze, finish: wood",kitchen,8
prod0017,"Dining table; size: S, color: bronze, finish: diamonds",kitchen,9
prod0018,"Dining table; size: XL, color: green, finish: wood",kitchen,24
prod0019,"Book shelf; size: S, color: gold, finish: oil",livingroom,7
prod0020,"Stand; size: M, color: white, finish: gold",bedroom,28
prod0021,"Bar stool; size: S, color: silver, finish: varnish",bedroom,9
prod0022,"Dresser; size: XL, color: black, finish: resin",kitchen,17
prod0023,"Bed frame; size: L, color: black, finish: diamonds",kitchen,25
prod0024,"Bed frame; size: S, color: green, finish: chrome",livingroom,14
prod0025,"Book shelf; size: M, color: black, finish: resin",bedroom,2
prod0026,"Desk; size: S, color: silver, finish: wood",bedroom,23
prod0027,"End table; size: S, color: silver, finish: platinum",livingroom,3
prod0028,"Desk; size: L, color: purple, finish: chrome",livingroom,16
prod0029,"TV stand; size: L, color: gold, finish: platinum",bedroom,4
prod0030,"Book shelf; size: XL, color: black, finish: oil",bedroom,1
prod0031,"Desk; size: XL, color: black, finish: lacquer",kitchen,1
prod0032,"Book shelf; size: M, color: brown, finish: silver",kitchen,27
prod0033,"Stand; size: L, color: green, finish: bare",kitchen,14
prod0034,"TV stand; size: S, color: gold, finish: varnish",bedroom,24
prod0035,"Sofa; size: M, color: bronze, finish: platinum",kitchen,16
prod0036,"Stool; size: XL, color: black, finish: bare",bedroom,25
prod0037,"Desk; size: XL, color: brown, finish: varnish",bedroom,4
prod0038,"Desk; size: L, color: bronze, finish: gold",bedroom,15
prod0039,"L-shaped sofa; size: S, color: black, finish: bare",livingroom,7
prod0040,"TV stand; size: L, color: black, finish: bare",bedroom,24
prod0041,"Dresser; size: L, color: black, finish: bare",bedroom,19
prod0042,"Sofa; size: S, color: black, finish: silver",kitchen,18
prod0043,"Book shelf; size: XL, color: black, finish: lacquer",kitchen,14
prod0044,"Book shelf; size: S, color: white, finish: gold",livingroom,6
prod0045,"Bar stool; size: L, color: bronze, finish: wood",bedroom,24
prod0046,"Dining table; size: L, color: red, finish: wood",bedroom,10
prod0047,"Coffee table; size: XL, color: white, finish: lacquer",bedroom,24
prod0048,"Stand; size: XL, color: blue, finish: resin",kitchen,10
prod0049,"Sofa; size: M, color: white, finish: silver",kitchen,16
prod0050,"Coffee table; size: S, color: bronze, finish: platinum",bedroom,7
prod0051,"Bar stool; size: S, color: green, finish: varnish",bedroom,24
prod0052,"TV stand; size: L, color: brown, finish: wood",kitchen,11
prod0053,"Desk; size: S, color: purple, finish: silver",kitchen,5
prod0054,"L-shaped sofa; size: XL, color: green, finish: lacquer",livingroom,19
prod0055,"Stool; size: M, color: black, finish: silver",kitchen,16
prod0056,"End table; size: L, color: purple, finish: lacquer",kitchen,25
prod0057,"Bar stool; size: S, color: brown, finish: platinum",livingroom,27
prod0058,"Desk; size: M, color: bronze, finish: wood",kitchen,28
prod0059,"Stand; size: S, color: white, finish: gold",kitchen,23
prod0060,"Bar stool; size: L, color: silver, finish: chrome",bedroom,9
prod0061,"Stool; size: L, color: silver, finish: gold",bedroom,7
prod0062,"Stool; size: XL, color: green, finish: paint",bedroom,6
prod0063,"Coffee table; size: M, color: purple, finish: oil",kitchen,13
prod0064,"Bar stool; size: M, color: black, finish: diamonds",bedroom,1
prod0065,"Stand; size: S, color: bronze, finish: chrome",livingroom,13
prod0066,"Stool; size: S, color: gold, finish: silver",bedroom,24
prod0067,"Desk; size: S, color: gold, finish: paint",kitchen,16
prod0068,"L-shaped sofa; size: L, color: blue, finish: paint",kitchen,21
prod0069,"End table; size: L, color: silver, finish: silver",livingroom,11
prod0070,"Dining table; size: XL, color: white, finish: diamonds",livingroom,19
prod0071,"Coffee table; size: S, color: red, finish: diamonds",kitchen,25
prod0072,"End table; size: M, color: blue, finish: chrome",bedroom,11
prod0073,"Book shelf; size: L, color: silver, finish: platinum",bedroom,6
prod0074,"Bed frame; size: XL, color: bronze, finish: varnish",kitchen,14
prod0075,"TV stand; size: XL, color: green, finish: lacquer",kitchen,20
prod0076,"Dresser; size: L, color: gold, finish: silver",livingroom,28
prod0077,"End table; size: XL, color: white, finish: gold",kitchen,25
prod0078,"Book shelf; size: L, color: brown, finish: chrome",bedroom,1
prod0079,"L-shaped sofa; size: L, color: blue, finish: resin",kitchen,19
prod0080,"Desk; size: S, color: black, finish: paint",kitchen,0
prod0081,"L-shaped sofa; size: L, color: purple, finish: silver",livingroom,9
prod0082,"L-shaped sofa; size: L, color: blue, finish: lacquer",livingroom,12
prod0083,"Desk; size: XL, color: bronze, finish: gold",kitchen,19
prod0084,"Stool; size: M, color: black, finish: silver",kitchen,0
prod0085,"TV stand; size: S, color: black, finish: paint",kitchen,22
prod0086,"Stand; size: XL, color: green, finish: wood",livingroom,29
prod0087,"Coffee table; size: M, color: green, finish: varnish",bedroom,4
prod0088,"Stand; size: S, color: red, finish: gold",bedroom,1
prod0089,"Bar stool; size: S, color: blue, finish: gold",bedroom,2
prod0090,"Book shelf; size: XL, color: green, finish: varnish",bedroom,8
prod0091,"Dining table; size: S, color: bronze, finish: gold",kitchen,17
prod0092,"Bed frame; size: S, color: silver, finish: bare",kitchen,19
prod0093,"Desk; size: XL, color: silver, finish: lacquer",livingroom,9
prod0094,"End table; size: L, color: purple, finish: gold",livingroom,0
prod0095,"Stand; size: XL, color: red, finish: wood",bedroom,6
prod0096,"Bed frame; size: M, color: gold, finish: diamonds",livingroom,18
prod0097,"L-shaped sofa; size: M, color: purple, finish: wood",bedroom,1
prod0098,"TV stand; size: M, color: gold, finish: gold",kitchen,22
prod0099,"Sofa; size: S, color: gold, finish: bare",bedroom,2
prod0100,"Dresser; size: L, color: blue, finish: varnish",kitchen,19
prod0101,"Bar stool; size: XL, color: brown, finish: chrome",livingroom,21
prod0102,"Stool; size: L, color: white, finish: resin",kitchen,29
prod0103,"Dining table; size: XL, color: bronze, finish: bare",livingroom,4
prod0104,"Dining table; size: L, color: bronze, finish: wood",kitchen,26
prod0105,"Sofa; size: M, color: bronze, finish: paint",bedroom,5
prod0106,"Coffee table; size: L, color: silver, finish: lacquer",bedroom,3
prod0107,"End table; size: S, color: black, finish: platinum",kitchen,21
prod0108,"TV stand; size: L, color: black, finish: bare",livingroom,1
prod0109,"Bar stool; size: XL, color: bronze, finish: varnish",kitchen,29
prod0110,"Stand; size: S, color: silver, finish: paint",livingroom,19
prod0111,"Bar stool; size: XL, color: brown, finish: platinum",bedroom,7
prod0112,"Dining table; size: M, color: brown, finish: oil",livingroom,16
prod0113,"L-shaped sofa; size: M, color: black, finish: oil",kitchen,4
prod0114,"Book shelf; size: M, color: bronze, finish: wood",kitchen,3
prod0115,"Bar stool; size: M, color: brown, finish: resin",kitchen,20
prod0116,"Stand; size: M, color: bronze, finish: diamonds",livingroom,2
prod0117,"Bed frame; size: XL, color: purple, finish: resin",bedroom,15
prod0118,"L-shaped sofa; size: L, color: green, finish: oil",livingroom,6
prod0119,"Book shelf; size: XL, color: brown, finish: bare",livingroom,20
prod0120,"Desk; size: L, color: gold, finish: bare",kitchen,21
prod0121,"End table; size: L, color: black, finish: oil",kitchen,20
prod0122,"Bed frame; size: S, color: green, finish: oil",livingroom,21
prod0123,"Stool; size: L, color: blue, finish: oil",bedroom,17
prod0124,"Dining table; size: M, color: white, finish: varnish",bedroom,18
prod0125,"L-shaped sofa; size: L, color: blue, finish: diamonds",livingroom,0
prod0126,"Sofa; size: XL, color: black, finish: varnish",livingroom,2
prod0127,"Bed frame; size: L, color: bronze, finish: paint",kitchen,21
prod0128,"Stool; size: M, color: green, finish: oil",bedroom,8
prod0129,"Stool; size: S, color: silver, finish: paint",bedroom,28
prod0130,"L-shaped sofa; size: L, color: silver, finish: diamonds",bedroom,13
prod0131,"End table; size: L, color: blue, finish: resin",kitchen,24
prod0132,"Sofa; size: XL, color: blue, finish: varnish",livingroom,4
prod0133,"Coffee table; size: S, color: purple, finish: paint",livingroom,28
prod0134,"TV stand; size: S, color: red, finish: varnish",bedroom,13
prod0135,"Stand; size: M, color: red, finish: platinum",livingroom,20
prod0136,"Sofa; size: XL, color: bronze, finish: resin",livingroom,25
prod0137,"Bar stool; size: M, color: brown, finish: varnish",kitchen,19
prod0138,"End table; size: L, color: purple, finish: oil",bedroom,6
prod0139,"Bar stool; size: XL, color: purple, finish: bare",bedroom,22
prod0140,"Bed frame; size: M, color: brown, finish: wood",livingroom,0
prod0141,"Sofa; size: S, color: black, finish: diamonds",livingroom,29
prod0142,"Bar stool; size: M, color: green, finish: silver",bedroom,0
prod0143,"Bed frame; size: XL, color: green, finish: wood",kitchen,23
prod0144,"Dining table; size: L, color: silver, finish: paint",livingroom,10
prod0145,"Stand; size: M, color: green, finish: chrome",kitchen,21
prod0146,"Bed frame; size: M, color: blue, finish: gold",livingroom,3
prod0147,"Stool; size: S, color: white, finish: oil",kitchen,2
prod0148,"Dining table; size: XL, color: brown, finish: oil",bedroom,28
prod0149,"Dresser; size: L, color: white, finish: bare",livingroom,8
prod0150,"Desk; size: S, color: black, finish: paint",livingroom,14
prod0151,"Dresser; size: S, color: blue, finish: gold",kitchen,14
prod0152,"Sofa; size: XL, color: blue, finish: diamonds",livingroom,6
prod0153,"Stool; size: L, color: black, finish: wood",kitchen,7
prod0154,"TV stand; size: M, color: purple, finish: paint",livingroom,3
prod0155,"Book shelf; size: XL, color: blue, finish: wood",livingroom,7
prod0156,"Coffee table; size: S, color: bronze, finish: gold",livingroom,21
prod0157,"Bed frame; size: XL, color: red, finish: platinum",bedroom,17
prod0158,"Book shelf; size: S, color: red, finish: lacquer",kitchen,24
prod0159,"Stool; size: M, color: silver, finish: wood",bedroom,3
prod0160,"Stool; size: XL, color: brown, finish: diamonds",livingroom,26
prod0161,"Coffee table; size: S, color: purple, finish: bare",livingroom,24
prod0162,"Stand; size: S, color: silver, finish: silver",kitchen,3
prod0163,"Coffee table; size: M, color: green, finish: resin",livingroom,1
prod0164,"End table; size: M, color: brown, finish: bare",bedroom,3
prod0165,"Sofa; size: M, color: red, finish: platinum",livingroom,3
prod0166,"L-shaped sofa; size: S, color: blue, finish: varnish",kitchen,15
prod0167,"Book shelf; size: XL, color: brown, finish: diamonds",livingroom,19
