id,description,product_type,quantity_available
prd00001,TV,livingroom,3
prd00002,Couch,livingroom,1
prd00003,Chair,livingroom,0
prd00004,something4,type4,4
prd00005,something5,type5,5
prd00006,something6,type6,6
prd00007,something7,type7,7
prd00008,something8,type8,8
prd00009,something9,type9,9
prd00010,something10,type10,10
prd00011,something11,type11,11
prd00012,something12,type12,12
prd00013,something13,type13,13
prd00014,something14,type14,14
prd00015,something15,type15,15
prd00016,something16,type16,16
prd00017,something17,type17,17
prd00018,something18,type18,18
prd00019,something19,type19,19
prd00020,something20,type20,20
prd00021,something21,type21,21
prd00022,something22,type22,22
prd00023,something23,type23,23
prd00024,something24,type24,24
prd00025,something25,type25,25
prd00026,something26,type26,26
prd00027,something27,type27,27
prd00028,something28,type28,28
prd00029,something29,type29,29
prd00030,something30,type30,30
prd00031,something31,type31,31
prd00032,something32,type32,32
prd00033,something33,type33,33
prd00034,something34,type34,34
prd00035,something35,type35,35
prd00036,something36,type36,36
prd00037,something37,type37,37
prd00038,something38,type38,38
prd00039,something39,type39,39
prd00040,something40,type40,40
prd00041,something41,type41,41
prd00042,something42,type42,42
prd00043,something43,type43,43
prd00044,something44,type44,44
prd00045,something45,type45,45
prd00046,something46,type46,46
prd00047,something47,type47,47
prd00048,something48,type48,48
prd00049,something49,type49,49
prd00050,something50,type50,50
prd00051,something51,type51,51
prd00052,something52,type52,52
prd00053,something53,type53,53
prd00054,something54,type54,54
prd00055,something55,type55,55
prd00056,something56,type56,56
prd00057,something57,type57,57
prd00058,something58,type58,58
prd00059,something59,type59,59
prd00060,something60,type60,60
prd00061,something61,type61,61
prd00062,something62,type62,62
prd00063,something63,type63,63
prd00064,something64,type64,64
prd00065,something65,type65,65
prd00066,something66,type66,66
prd00067,something67,type67,67
prd00068,something68,type68,68
prd00069,something69,type69,69
prd00070,something70,type70,70
prd00071,something71,type71,71
prd00072,something72,type72,72
prd00073,something73,type73,73
prd00074,something74,type74,74
prd00075,something75,type75,75
prd00076,something76,type76,76
prd00077,something77,type77,77
prd00078,something78,type78,78
prd00079,something79,type79,79
prd00080,something80,type80,80
prd00081,something81,type81,81
prd00082,something82,type82,82
prd00083,something83,type83,83
prd00084,something84,type84,84
prd00085,something85,type85,85
prd00086,something86,type86,86
prd00087,something87,type87,87
prd00088,something88,type88,88
prd00089,something89,type89,89
prd00090,something90,type90,90
prd00091,something91,type91,91
prd00092,something92,type92,92
prd00093,something93,type93,93
prd00094,something94,type94,94
prd00095,something95,type95,95
prd00096,something96,type96,96
prd00097,something97,type97,97
prd00098,something98,type98,98
prd00099,something99,type99,99
