rid,product_id,user_id
rid001,pid001,cid001
rid002,pid002,cid002
rid003,pid003,cid003
rid004,pid001,cid004
rid005,pid005,cid005
rid100,pid100,cid100
rid101,pid101,cid101
rid102,pid102,cid102
rid103,pid103,cid103
rid104,pid104,cid104
rid105,pid105,cid105
rid106,pid106,cid106
rid107,pid107,cid107
rid108,pid108,cid108
rid109,pid109,cid109
rid110,pid110,cid110
rid111,pid111,cid111
rid112,pid112,cid112
rid113,pid113,cid113
rid114,pid114,cid114
rid115,pid115,cid115
rid116,pid116,cid116
rid117,pid117,cid117
rid118,pid118,cid118
rid119,pid119,cid119
rid120,pid120,cid120
rid121,pid121,cid121
rid122,pid122,cid122
rid123,pid123,cid123
rid124,pid124,cid124
rid125,pid125,cid125
rid126,pid126,cid126
rid127,pid127,cid127
rid128,pid128,cid128
rid129,pid129,cid129
rid130,pid130,cid130
rid131,pid131,cid131
rid132,pid132,cid132
rid133,pid133,cid133
rid134,pid134,cid134
rid135,pid135,cid135
rid136,pid136,cid136
rid137,pid137,cid137
rid138,pid138,cid138
rid139,pid139,cid139
rid140,pid140,cid140
rid141,pid141,cid141
rid142,pid142,cid142
rid143,pid143,cid143
rid144,pid144,cid144
rid145,pid145,cid145
rid146,pid146,cid146
rid147,pid147,cid147
rid148,pid148,cid148
rid149,pid149,cid149
rid150,pid150,cid150
rid151,pid151,cid151
rid152,pid152,cid152
rid153,pid153,cid153
rid154,pid154,cid154
rid155,pid155,cid155
rid156,pid156,cid156
rid157,pid157,cid157
rid158,pid158,cid158
rid159,pid159,cid159
rid160,pid160,cid160
rid161,pid161,cid161
rid162,pid162,cid162
rid163,pid163,cid163
rid164,pid164,cid164
rid165,pid165,cid165
rid166,pid166,cid166
rid167,pid167,cid167
rid168,pid168,cid168
rid169,pid169,cid169
rid170,pid170,cid170
rid171,pid171,cid171
rid172,pid172,cid172
rid173,pid173,cid173
rid174,pid174,cid174
rid175,pid175,cid175
rid176,pid176,cid176
rid177,pid177,cid177
rid178,pid178,cid178
rid179,pid179,cid179
rid180,pid180,cid180
rid181,pid181,cid181
rid182,pid182,cid182
rid183,pid183,cid183
