r_id301,p_id421,c_id435
r_id416,p_id881,c_id576
r_id741,p_id453,c_id634
r_id720,p_id990,c_id649
r_id41,p_id123,c_id506
r_id478,p_id563,c_id351
r_id224,p_id830,c_id250
r_id35,p_id558,c_id197
r_id801,p_id598,c_id552
r_id920,p_id26,c_id832
r_id518,p_id620,c_id571
r_id210,p_id433,c_id983
r_id754,p_id375,c_id754
r_id204,p_id264,c_id52
r_id297,p_id705,c_id748
r_id645,p_id328,c_id696
r_id410,p_id222,c_id877
r_id830,p_id423,c_id847
r_id958,p_id626,c_id40
r_id942,p_id857,c_id757
r_id931,p_id287,c_id706
r_id931,p_id534,c_id469
r_id187,p_id189,c_id255
r_id824,p_id831,c_id109
r_id54,p_id860,c_id615
r_id765,p_id952,c_id573
r_id182,p_id531,c_id11
r_id209,p_id590,c_id124
r_id412,p_id513,c_id740
r_id336,p_id776,c_id502
r_id86,p_id772,c_id288
r_id337,p_id167,c_id979
r_id11,p_id363,c_id967
r_id298,p_id775,c_id783
r_id215,p_id385,c_id982
r_id808,p_id466,c_id417
r_id19,p_id433,c_id744
r_id980,p_id852,c_id989
r_id187,p_id926,c_id235
r_id717,p_id285,c_id70
r_id723,p_id115,c_id67
r_id593,p_id33,c_id379
r_id583,p_id857,c_id356
r_id588,p_id907,c_id541
r_id740,p_id860,c_id460
r_id546,p_id722,c_id924
r_id673,p_id780,c_id194
r_id373,p_id945,c_id621
r_id644,p_id510,c_id108
r_id581,p_id444,c_id438
r_id1,p_id396,c_id358
r_id638,p_id236,c_id518
r_id919,p_id514,c_id687
r_id437,p_id205,c_id332
r_id115,p_id77,c_id516
r_id813,p_id968,c_id993
r_id19,p_id51,c_id419
r_id144,p_id211,c_id344
r_id185,p_id981,c_id89
r_id80,p_id936,c_id73
r_id510,p_id818,c_id537
r_id17,p_id935,c_id800
r_id804,p_id787,c_id986
r_id445,p_id220,c_id743
r_id863,p_id682,c_id891
r_id190,p_id809,c_id734
r_id662,p_id838,c_id800
r_id924,p_id85,c_id369
r_id968,p_id207,c_id653
r_id138,p_id314,c_id121
r_id506,p_id370,c_id338
r_id787,p_id490,c_id732
r_id267,p_id40,c_id45
r_id734,p_id300,c_id786
r_id352,p_id300,c_id568
r_id285,p_id526,c_id620
r_id185,p_id78,c_id439
r_id812,p_id796,c_id867
r_id177,p_id2,c_id8
r_id641,p_id116,c_id148
r_id153,p_id553,c_id199
r_id223,p_id183,c_id985
r_id717,p_id757,c_id457
r_id946,p_id607,c_id45
r_id214,p_id534,c_id969
r_id776,p_id884,c_id192
r_id159,p_id166,c_id221
r_id811,p_id846,c_id652
r_id209,p_id585,c_id350
r_id365,p_id557,c_id381
r_id350,p_id322,c_id20
r_id550,p_id954,c_id58
r_id798,p_id328,c_id347
r_id143,p_id565,c_id235
r_id66,p_id915,c_id0
r_id142,p_id974,c_id17
r_id927,p_id696,c_id873
r_id544,p_id82,c_id645
r_id275,p_id621,c_id253
r_id347,p_id752,c_id615
r_id386,p_id745,c_id759
r_id621,p_id993,c_id888
r_id202,p_id233,c_id84
r_id415,p_id32,c_id703
r_id487,p_id795,c_id259
r_id142,p_id625,c_id900
r_id261,p_id298,c_id705
r_id387,p_id241,c_id868
r_id325,p_id915,c_id688
r_id825,p_id443,c_id551
r_id898,p_id550,c_id752
r_id758,p_id757,c_id684
r_id860,p_id300,c_id142
r_id789,p_id378,c_id348
r_id532,p_id219,c_id873
r_id604,p_id418,c_id774
r_id62,p_id186,c_id169
r_id745,p_id872,c_id757
r_id722,p_id462,c_id371
r_id27,p_id189,c_id715
r_id840,p_id981,c_id876
r_id990,p_id240,c_id935
r_id747,p_id640,c_id573
r_id275,p_id846,c_id446
r_id121,p_id206,c_id775
r_id508,p_id531,c_id794
r_id912,p_id332,c_id491
r_id408,p_id416,c_id910
r_id896,p_id398,c_id740
r_id992,p_id735,c_id806
r_id600,p_id239,c_id153
r_id332,p_id447,c_id928
r_id522,p_id281,c_id212
r_id637,p_id351,c_id538
r_id881,p_id986,c_id791
r_id35,p_id157,c_id791
r_id702,p_id899,c_id858
r_id740,p_id549,c_id277
r_id148,p_id906,c_id283
r_id138,p_id771,c_id139
r_id144,p_id709,c_id101
r_id836,p_id766,c_id176
r_id853,p_id690,c_id440
r_id797,p_id868,c_id675
r_id461,p_id408,c_id817
r_id851,p_id658,c_id123
r_id71,p_id85,c_id673
r_id92,p_id836,c_id978
r_id524,p_id2,c_id544
r_id131,p_id778,c_id67
r_id914,p_id861,c_id662
r_id443,p_id30,c_id924
r_id969,p_id944,c_id693
r_id806,p_id725,c_id975
r_id913,p_id477,c_id86
r_id204,p_id883,c_id644
r_id628,p_id42,c_id65
r_id684,p_id428,c_id327
r_id895,p_id773,c_id331
r_id274,p_id299,c_id188
r_id765,p_id668,c_id261
r_id341,p_id891,c_id118
r_id148,p_id414,c_id694
r_id956,p_id883,c_id961
r_id281,p_id530,c_id475
r_id840,p_id71,c_id314
r_id601,p_id16,c_id103
r_id178,p_id930,c_id173
r_id63,p_id710,c_id410
r_id549,p_id266,c_id954
r_id898,p_id793,c_id188
r_id649,p_id712,c_id709
r_id315,p_id37,c_id762
r_id85,p_id44,c_id276
r_id885,p_id440,c_id584
r_id63,p_id929,c_id700
r_id786,p_id5,c_id451
r_id533,p_id272,c_id34
r_id606,p_id239,c_id458
r_id543,p_id536,c_id60
r_id979,p_id404,c_id456
r_id576,p_id580,c_id497
r_id124,p_id533,c_id119
r_id167,p_id69,c_id109
r_id151,p_id94,c_id228
r_id843,p_id137,c_id773
r_id725,p_id846,c_id222
r_id908,p_id203,c_id275
r_id36,p_id391,c_id482
r_id681,p_id881,c_id806
r_id43,p_id179,c_id94
r_id829,p_id716,c_id321
r_id109,p_id712,c_id986
r_id416,p_id140,c_id565
r_id951,p_id338,c_id110
r_id762,p_id878,c_id635
r_id607,p_id899,c_id758
r_id372,p_id262,c_id861
r_id544,p_id428,c_id668
r_id824,p_id957,c_id903
r_id659,p_id551,c_id678
r_id61,p_id100,c_id46
r_id805,p_id327,c_id121
r_id102,p_id360,c_id656
r_id850,p_id19,c_id527
r_id727,p_id194,c_id403
r_id400,p_id384,c_id321
r_id179,p_id379,c_id572
r_id330,p_id76,c_id205
r_id477,p_id449,c_id186
r_id416,p_id102,c_id587
r_id966,p_id539,c_id303
r_id133,p_id226,c_id344
r_id791,p_id682,c_id405
r_id849,p_id127,c_id671
r_id951,p_id889,c_id520
r_id762,p_id795,c_id230
r_id787,p_id905,c_id851
r_id481,p_id236,c_id374
r_id258,p_id139,c_id598
r_id215,p_id808,c_id956
r_id377,p_id188,c_id855
r_id736,p_id937,c_id504
r_id230,p_id517,c_id730
r_id421,p_id172,c_id970
r_id533,p_id942,c_id728
r_id732,p_id370,c_id658
r_id115,p_id134,c_id277
r_id372,p_id492,c_id157
r_id581,p_id593,c_id774
r_id227,p_id508,c_id91
r_id923,p_id56,c_id968
r_id937,p_id505,c_id318
r_id488,p_id108,c_id484
r_id528,p_id15,c_id959
r_id765,p_id314,c_id453
r_id571,p_id477,c_id286
r_id790,p_id801,c_id819
r_id980,p_id704,c_id822
r_id615,p_id772,c_id373
r_id862,p_id612,c_id478
r_id719,p_id460,c_id839
r_id228,p_id732,c_id586
r_id629,p_id594,c_id192
r_id768,p_id178,c_id556
r_id757,p_id214,c_id227
r_id449,p_id148,c_id525
r_id426,p_id933,c_id126
r_id705,p_id289,c_id984
r_id162,p_id734,c_id546
r_id278,p_id946,c_id935
r_id309,p_id923,c_id910
r_id601,p_id978,c_id143
r_id373,p_id605,c_id904
r_id206,p_id31,c_id18
r_id378,p_id929,c_id601
r_id817,p_id794,c_id31
r_id398,p_id961,c_id448
r_id368,p_id42,c_id589
r_id26,p_id920,c_id662
r_id180,p_id933,c_id996
r_id272,p_id833,c_id78
r_id248,p_id930,c_id773
r_id784,p_id117,c_id882
r_id920,p_id621,c_id278
r_id533,p_id392,c_id534
r_id17,p_id420,c_id77
r_id898,p_id176,c_id224
r_id394,p_id952,c_id215
r_id535,p_id14,c_id490
r_id371,p_id692,c_id234
r_id591,p_id497,c_id490
r_id406,p_id950,c_id796
r_id290,p_id279,c_id65
r_id680,p_id834,c_id668
r_id551,p_id981,c_id228
r_id439,p_id829,c_id604
r_id764,p_id236,c_id899
r_id364,p_id104,c_id378
r_id707,p_id457,c_id25
r_id554,p_id45,c_id109
r_id724,p_id723,c_id662
r_id533,p_id956,c_id425
r_id749,p_id311,c_id230
r_id342,p_id931,c_id854
r_id811,p_id558,c_id762
r_id981,p_id877,c_id585
r_id501,p_id932,c_id483
r_id990,p_id765,c_id644
r_id832,p_id195,c_id402
r_id29,p_id187,c_id79
r_id278,p_id893,c_id325
r_id835,p_id302,c_id629
r_id346,p_id989,c_id743
r_id169,p_id623,c_id569
r_id72,p_id89,c_id786
r_id29,p_id142,c_id518
r_id947,p_id532,c_id324
r_id441,p_id937,c_id741
r_id736,p_id692,c_id335
r_id736,p_id591,c_id876
r_id375,p_id674,c_id762
r_id428,p_id647,c_id695
r_id626,p_id154,c_id145
r_id170,p_id342,c_id554
r_id684,p_id927,c_id414
r_id223,p_id613,c_id465
r_id837,p_id821,c_id80
r_id123,p_id525,c_id857
r_id221,p_id433,c_id687
r_id314,p_id956,c_id873
r_id177,p_id89,c_id978
r_id80,p_id658,c_id467
r_id354,p_id558,c_id595
r_id460,p_id319,c_id223
r_id973,p_id954,c_id566
r_id409,p_id348,c_id492
r_id38,p_id165,c_id142
r_id413,p_id875,c_id509
r_id279,p_id827,c_id221
