product_id,description,product_type,quantity_available
prd001,Dania Floating shelf,livingroom,30
prd002,Crate&Barrel Hammock,livingroom,11
prd003,Bernhardt Futon,kitchen,26
prd004,Crate&Barrel Headboard,bedroom,48
prd005,La-Z-Boy Nightstand,kitchen,12
prd006,Crate&Barrel Canopy bed,bedroom,32
prd007,Crate&Barrel A bedroom set,livingroom,25
prd008,Ashley Plant stand,livingroom,50
prd009,Dania Wardrobe,kitchen,43
prd010,Ashley Multiple seats,bedroom,36
prd011,Crate&Barrel Floating shelf,bedroom,39
prd012,Dania An umbrella,bedroom,21
prd013,Bernhardt Sideboard,livingroom,42
prd014,Crate&Barrel Dining set,kitchen,23
prd015,Dania Safe,bedroom,0
prd016,Crate&Barrel Fauteuil,bedroom,12
prd017,Dania Canopy bed,bedroom,37
prd018,La-Z-Boy A bedroom set,kitchen,1
prd019,Crate&Barrel Lift chair,livingroom,43
prd020,Bernhardt Sleigh bed,bedroom,33
prd021,La-Z-Boy Love seat,livingroom,45
prd022,Crate&Barrel Canopy bed,kitchen,3
prd023,Dania Chesterfield,bedroom,1
prd024,Bernhardt Bench,livingroom,9
prd025,Dania Waterbed,kitchen,15
prd026,La-Z-Boy Bench,kitchen,18
prd027,La-Z-Boy Toddler bed,kitchen,8
prd028,Bernhardt cradle,kitchen,44
prd029,Bernhardt Floating shelf,bedroom,33
prd030,Bernhardt Floating shelf,kitchen,23
prd031,La-Z-Boy Dining set,livingroom,23
prd032,Dania A coat rack,livingroom,36
prd033,La-Z-Boy Bunk bed,kitchen,0
prd034,Dania Bar chair,bedroom,3
prd035,La-Z-Boy A bedroom set,livingroom,41
prd036,Bernhardt Recliner,kitchen,15
prd037,Crate&Barrel Shelving,livingroom,12
prd038,Bernhardt Canopy bed,bedroom,26
prd039,Crate&Barrel Umbrella stand,kitchen,39
prd040,Bernhardt Filing cabinet,livingroom,40
prd041,Dania Dining set,kitchen,18
prd042,Bernhardt Bar Stool,kitchen,1
prd043,Dania Fainting couch,livingroom,14
prd044,La-Z-Boy cradle,livingroom,7
prd045,Bernhardt Sideboard,livingroom,1
prd046,Crate&Barrel Plan chest,kitchen,50
prd047,Ashley Hammock,bedroom,39
prd048,Dania Dining set,kitchen,5
prd049,Ashley Umbrella stand,livingroom,11
prd050,Dania Accubita,kitchen,32
prd051,Dania Plant stand,kitchen,0
prd052,Bernhardt Bunk bed,livingroom,41
prd053,La-Z-Boy Headboard,bedroom,43
prd054,Ashley Murphy bed,bedroom,32
prd055,La-Z-Boy Plan chest,kitchen,35
prd056,Crate&Barrel crib,kitchen,0
prd057,Dania Bean bag,bedroom,45
prd058,Dania Nightstand,livingroom,18
prd059,Bernhardt Recliner,bedroom,47
prd060,Crate&Barrel crib,bedroom,15
prd061,Bernhardt Filing cabinet,livingroom,50
prd062,Ashley Bar chair,kitchen,6
prd063,La-Z-Boy Accubita,bedroom,7
prd064,Dania Futon,livingroom,18
prd065,La-Z-Boy Umbrella stand,bedroom,11
prd066,Crate&Barrel Headboard,bedroom,5
