YT91,Tea,96.00
WM76,Village,38.00
EL24,Flag,45.00
BP71,Skirt,90.00
TQ20,Whale,63.00
DI52,Sun,58.00
ZP89,Watch,86.00
CY36,Hotel,20.00
FN58,Medicine,69.00
EV93,Shoulder,51.00
YK74,Soup,99.00
BJ68,Sandals,50.00
QV89,Chocolate,30.00
JY0,Supermarket,38.00
PD37,Pasta,24.00
IY22,Violin,51.00
VM2,Mall,50.00
SN46,Tunnel,9.00
RO34,Music,62.00
IE91,Hotel,89.00
DX23,Frock,44.00
EA68,Socks,58.00
YO79,Wolf,91.00
BD50,Tie,54.00
BM79,Scale,33.00
ZI94,Umbrella,56.00
IE73,Hospital,43.00
ZQ4,Desk,82.00
US73,Cap,77.00
IR27,Desktop,64.00
YM2,Violin,97.00
BQ81,Giraffe,64.00
JK15,Fork,62.00
GU6,Street,49.00
FD52,Table,14.00
GJ10,Stairs,15.00
DG81,Mall,6.00
GI7,Buffalo,65.00
WK87,Snowman,31.00
JB12,Lion,3.00
CG24,Jersey,74.00
TW13,Truck,57.00
KJ33,Wallet,89.00
UZ32,Cane,68.00
FD46,Buffalo,40.00
LI45,Suitcase,48.00
EC24,Book,13.00
WZ73,Villa,1.00
VC40,Purse,32.00
