RentalID, UserID, ProductID
rnt00001,user00933,prd00958
rnt00002,user00258,prd00973
rnt00003,user00498,prd00625
rnt00004,user00026,prd00812
rnt00005,user00398,prd00617
rnt00006,user00440,prd00560
rnt00007,user00173,prd00207
rnt00008,user00046,prd00327
rnt00009,user00557,prd00213
rnt00010,user00717,prd00043
rnt00011,user00661,prd00205
rnt00012,user00876,prd00265
rnt00013,user00894,prd00457
rnt00014,user00406,prd00461
rnt00015,user00839,prd00362
rnt00016,user00025,prd00510
rnt00017,user00481,prd00714
rnt00018,user00590,prd00620
rnt00019,user00764,prd00609
rnt00020,user00142,prd00681
rnt00021,user00834,prd00800
rnt00022,user00568,prd00664
rnt00023,user00701,prd00327
rnt00024,user00849,prd00487
rnt00025,user00359,prd00664
rnt00026,user00351,prd00106
rnt00027,user00390,prd00776
rnt00028,user00655,prd00338
rnt00029,user00948,prd00706
rnt00030,user00581,prd00805
rnt00031,user00085,prd00734
rnt00032,user00721,prd00326
rnt00033,user00247,prd00983
rnt00034,user00600,prd00442
rnt00035,user00885,prd00558
rnt00036,user00322,prd00167
rnt00037,user00850,prd00729
rnt00038,user00662,prd00234
rnt00039,user00953,prd00859
rnt00040,user00595,prd00345
rnt00041,user00107,prd00703
rnt00042,user00726,prd00906
rnt00043,user00530,prd00883
rnt00044,user00972,prd00432
rnt00045,user00875,prd00038
rnt00046,user00126,prd00489
rnt00047,user00895,prd00724
rnt00048,user00188,prd00854
rnt00049,user00695,prd00014
rnt00050,user00440,prd00034
rnt00051,user00712,prd00357
rnt00052,user00323,prd00866
rnt00053,user00120,prd00796
rnt00054,user00589,prd00506
rnt00055,user00883,prd00823
rnt00056,user00445,prd00498
rnt00057,user00606,prd00063
rnt00058,user00639,prd00543
rnt00059,user00592,prd00156
rnt00060,user00762,prd00558
rnt00061,user00262,prd00242
rnt00062,user00812,prd00290
rnt00063,user00576,prd00920
rnt00064,user00400,prd00898
rnt00065,user00819,prd00895
rnt00066,user00699,prd00213
rnt00067,user00726,prd00786
rnt00068,user00190,prd00848
rnt00069,user00236,prd00476
rnt00070,user00181,prd00146
rnt00071,user00393,prd00120
rnt00072,user00168,prd00543
rnt00073,user00922,prd00621
rnt00074,user00444,prd00670
rnt00075,user00273,prd00988
rnt00076,user00105,prd00007
rnt00077,user00232,prd00316
rnt00078,user00168,prd00775
rnt00079,user00469,prd00892
rnt00080,user00266,prd00772
rnt00081,user00333,prd00076
rnt00082,user00460,prd00779
rnt00083,user00301,prd00151
rnt00084,user00304,prd00738
rnt00085,user00767,prd00779
rnt00086,user00190,prd00612
rnt00087,user00627,prd00073
rnt00088,user00232,prd00164
rnt00089,user00993,prd00746
rnt00090,user00982,prd00427
rnt00091,user00328,prd00444
rnt00092,user00865,prd00076
rnt00093,user00193,prd00213
rnt00094,user00239,prd00084
rnt00095,user00447,prd00458
rnt00096,user00140,prd00563
rnt00097,user00332,prd00590
rnt00098,user00503,prd00097
rnt00099,user00387,prd00289
rnt00100,user00568,prd00226
rnt00101,user00987,prd00799
rnt00102,user00839,prd00104
rnt00103,user00573,prd00976
rnt00104,user00089,prd00637
rnt00105,user00850,prd00322
rnt00106,user00945,prd00639
rnt00107,user00913,prd00627
