prd1,description1,category1,6
prd2,description2,category2,2
prd3,description3,category3,0
prd4,description4,category4,4
prd5,description5,category5,0
prd6,description6,category6,4
prd7,description7,category7,9
prd8,description8,category8,5
prd9,description9,category9,8
prd10,description10,category10,3
prd11,description11,category11,6
prd12,description12,category12,8
prd13,description13,category13,1
prd14,description14,category14,2
prd15,description15,category15,2
prd16,description16,category16,0
prd17,description17,category17,4
prd18,description18,category18,3
prd19,description19,category19,8
prd20,description20,category20,3
prd21,description21,category21,4
prd22,description22,category22,3
prd23,description23,category23,3
prd24,description24,category24,9
prd25,description25,category25,9
prd26,description26,category26,1
prd27,description27,category27,8
prd28,description28,category28,2
prd29,description29,category29,0
prd30,description30,category30,1
prd31,description31,category31,6
prd32,description32,category32,7
prd33,description33,category33,2
prd34,description34,category34,9
prd35,description35,category35,5
prd36,description36,category36,6
prd37,description37,category37,1
prd38,description38,category38,0
prd39,description39,category39,1
prd40,description40,category40,7
prd41,description41,category41,9
prd42,description42,category42,8
prd43,description43,category43,7
prd44,description44,category44,4
prd45,description45,category45,3
prd46,description46,category46,8
prd47,description47,category47,4
prd48,description48,category48,8
prd49,description49,category49,4
prd50,description50,category50,2
prd51,description51,category51,3
prd52,description52,category52,0
prd53,description53,category53,1
prd54,description54,category54,6
prd55,description55,category55,0
prd56,description56,category56,5
prd57,description57,category57,6
prd58,description58,category58,0
prd59,description59,category59,8
prd60,description60,category60,1
prd61,description61,category61,9
prd62,description62,category62,4
prd63,description63,category63,1
prd64,description64,category64,6
prd65,description65,category65,6
prd66,description66,category66,8
prd67,description67,category67,0
prd68,description68,category68,8
prd69,description69,category69,6
prd70,description70,category70,9
prd71,description71,category71,5
prd72,description72,category72,1
prd73,description73,category73,0
prd74,description74,category74,4
prd75,description75,category75,2
prd76,description76,category76,4
prd77,description77,category77,0
prd78,description78,category78,9
prd79,description79,category79,1
prd80,description80,category80,9
prd81,description81,category81,8
prd82,description82,category82,8
prd83,description83,category83,7
prd84,description84,category84,7
prd85,description85,category85,0
prd86,description86,category86,1
prd87,description87,category87,2
prd88,description88,category88,8
prd89,description89,category89,0
prd90,description90,category90,9
prd91,description91,category91,6
prd92,description92,category92,3
prd93,description93,category93,8
prd94,description94,category94,5
prd95,description95,category95,0
prd96,description96,category96,0
prd97,description97,category97,3
prd98,description98,category98,0
prd99,description99,category99,0
prd100,description100,category100,9
prd101,description101,category101,5
prd102,description102,category102,8
prd103,description103,category103,8
prd104,description104,category104,5
prd105,description105,category105,8
prd106,description106,category106,7
prd107,description107,category107,2
prd108,description108,category108,8
prd109,description109,category109,3
prd110,description110,category110,3
prd111,description111,category111,2
prd112,description112,category112,4
prd113,description113,category113,7
prd114,description114,category114,5
prd115,description115,category115,3
prd116,description116,category116,4
prd117,description117,category117,5
