rental_id,user_id,product_id,quantity_rented,start_date,end_date
1,HI006,BD001,4,2018-01-02,2022-01-02
2,HI006,OF001,4,2018-01-02,2022-01-02
3,DE003,BD001,1,2017-08-01,
4,AB001,BD002,3,2019-07-15,2020-07-15
5,AB001,OF001,1,2019-07-15,2020-07-15
6,AB001,DN001,1,2019-07-15,2020-07-15
7,FB901,BD001,2,2020-01-05,2021-08-01
8,FB901,OF001,2,2020-01-05,2021-08-01
9,FB901,DN001,1,2020-01-05,2021-08-01
10,GH040,BD001,1,2020-02-01,2022-02-01
11,GH040,OF001,1,2020-02-01,2022-02-01
12,GH040,LR001,1,2020-02-01,2022-02-01
13,GH040,DN002,1,2020-02-01,2022-02-01
14,AB001,LR002,1,2019-07-30,2020-07-15
15,AB001,LR003,1,2019-07-30,2020-07-15
16,AB001,BD002,,2019-07-30,2020-07-15
16,CID2682,PID9838,11,2019-12-21,2021-06-24
17,CID0471,PID7204,4,2013-01-08,2019-05-12
18,CID4019,PID6218,4,2018-11-05,2020-06-06
19,CID4931,PID3505,2,2014-06-08,2021-08-24
20,CID4354,PID6172,22,2012-09-03,2018-09-06
21,CID1432,PID8531,4,2014-11-29,2022-10-03
22,CID4120,PID7344,16,2019-07-05,2021-07-05
23,CID1303,PID6162,14,2014-11-02,2021-02-15
24,CID3552,PID9672,21,2011-01-18,2022-07-14
25,CID9832,PID5423,10,2014-10-08,2018-09-07
26,CID4618,PID3750,17,2010-09-28,2023-03-22
27,CID6475,PID5064,2,2014-04-03,2017-12-31
28,CID0124,PID6096,20,2011-08-23,2014-11-05
29,CID4687,PID1871,4,2012-05-01,2013-09-23
30,CID4874,PID5759,12,2019-02-12,2021-01-30
31,CID5781,PID6048,24,2010-06-03,2021-09-06
32,CID0526,PID7683,4,2019-06-19,2021-03-11
33,CID6638,PID1336,20,2011-04-28,2014-10-10
34,CID5652,PID3309,2,2018-03-18,2019-08-23
35,CID7627,PID1014,17,2013-06-04,2023-04-01
36,CID9471,PID4477,3,2015-04-07,2021-03-28
37,CID9060,PID3613,24,2014-03-09,2018-05-26
38,CID0631,PID6539,14,2011-09-17,2012-10-31
39,CID0980,PID6269,16,2013-12-31,2020-08-22
40,CID5416,PID5529,15,2012-08-07,2013-04-29
41,CID1277,PID7162,14,2011-03-13,2014-01-07
42,CID9415,PID3936,4,2012-12-05,2021-04-28
43,CID5770,PID3092,4,2010-01-27,2016-08-18
44,CID0365,PID9682,3,2012-12-23,2015-08-29
45,CID6003,PID2600,10,2020-02-17,2022-12-11
46,CID4406,PID4616,25,2014-10-09,2022-05-23
47,CID7935,PID9005,20,2011-08-27,2015-08-12
48,CID6618,PID2970,21,2012-09-01,2021-09-22
49,CID8390,PID4517,1,2017-08-29,2018-04-02
50,CID6508,PID2632,1,2014-07-02,2015-08-06
51,CID7794,PID0526,1,2012-11-03,2016-08-19
52,CID1498,PID5856,2,2016-01-02,2017-05-05
53,CID0373,PID2220,3,2012-08-30,2018-03-11
54,CID5525,PID3127,24,2019-09-13,2021-01-27
55,CID9032,PID0166,2,2015-03-12,2018-07-10
56,CID2448,PID5691,1,2014-03-20,2021-07-07
57,CID9751,PID4470,1,2019-04-05,2022-03-08
58,CID2564,PID9207,15,2014-01-19,2017-03-29
59,CID2718,PID9939,2,2010-09-13,2022-05-06
60,CID9629,PID5687,19,2012-10-03,2020-08-05
61,CID6758,PID0203,15,2011-11-03,2020-01-03
62,CID4759,PID8780,2,2014-08-13,2020-12-24
63,CID4563,PID2086,1,2016-11-28,2020-09-18
64,CID9745,PID8765,15,2011-12-22,2012-04-21
65,CID3889,PID7939,15,2010-09-26,2016-05-25
66,CID7277,PID7263,16,2016-07-07,2021-09-28
67,CID7592,PID4045,16,2012-07-29,2021-01-12
68,CID6035,PID8232,20,2015-09-29,2019-06-12
69,CID2846,PID5797,2,2016-04-05,2017-08-19
70,CID9044,PID0295,24,2011-08-08,2018-03-19
71,CID8704,PID9236,1,2010-03-15,2018-11-26
72,CID7375,PID6831,3,2016-10-23,2017-11-17
73,CID5310,PID9286,14,2014-08-06,2020-01-21
74,CID6287,PID8867,22,2019-11-13,2021-11-29
75,CID2347,PID6800,10,2011-08-22,2016-05-23
76,CID6053,PID5534,3,2015-03-25,2020-01-24
77,CID3387,PID3033,15,2010-02-14,2012-05-13
78,CID0827,PID3463,3,2017-11-05,2019-07-30
79,CID0353,PID4705,4,2014-08-20,2015-04-11
80,CID1285,PID1256,21,2016-01-14,2020-06-22
81,CID3254,PID2858,18,2015-03-02,2016-08-10
82,CID6176,PID3666,19,2010-12-06,2022-03-01
83,CID2900,PID1714,2,2015-04-06,2015-09-23
84,CID6567,PID1604,25,2018-05-27,2021-03-16
85,CID3824,PID6214,10,2017-12-20,2023-03-10
86,CID6613,PID1034,4,2012-11-19,2014-10-25
87,CID3671,PID8234,23,2011-05-29,2016-01-16
88,CID7628,PID1369,4,2013-03-20,2017-05-15
89,CID2088,PID3481,19,2017-11-13,2019-09-27
90,CID3765,PID3247,13,2019-10-29,2021-08-27
91,CID2818,PID8159,4,2010-05-06,2015-08-22
92,CID9016,PID0152,21,2014-09-14,2016-06-04
93,CID2878,PID7003,17,2012-04-14,2018-07-12
94,CID2188,PID4361,3,2012-04-05,2022-10-27
95,CID4892,PID3282,2,2015-03-07,2015-12-16
96,CID8243,PID5943,10,2016-03-13,2021-03-10
97,CID4503,PID8432,13,2010-04-03,2020-01-21
98,CID7453,PID8032,14,2019-01-30,2019-09-01
99,CID1731,PID0526,20,2018-04-23,2022-10-09
100,CID3226,PID2752,15,2013-02-03,2018-10-13
101,CID0323,PID8984,11,2019-03-04,2020-05-13
102,CID8678,PID2844,25,2011-08-04,2014-11-12
103,CID5618,PID4566,14,2011-04-26,2015-11-05
104,CID2691,PID1618,25,2018-08-09,2019-12-23
105,CID9266,PID9801,16,2015-07-23,2018-09-24
106,CID8515,PID1434,23,2014-08-11,2016-11-12
107,CID8648,PID9702,3,2016-10-31,2020-02-13
108,CID8589,PID4011,11,2012-12-18,2021-12-13
109,CID2820,PID4940,11,2019-12-06,2021-11-12
110,CID8067,PID2620,20,2017-05-14,2021-07-06
111,CID6588,PID1725,3,2014-02-27,2017-01-30
112,CID9964,PID7339,25,2010-06-10,2011-04-04
113,CID8612,PID6014,24,2012-07-16,2012-07-21
114,CID0223,PID7138,12,2017-03-23,2023-03-30
115,CID7897,PID0197,12,2020-03-13,2021-07-28
116,CID9474,PID3708,18,2012-07-11,2021-03-28
117,CID2145,PID3683,2,2011-08-17,2018-06-29
118,CID3552,PID0611,14,2017-04-21,2020-05-02
119,CID8118,PID9565,19,2011-05-02,2019-04-21
120,CID5543,PID9452,1,2012-12-18,2016-02-02
121,CID4089,PID8253,21,2012-01-15,2014-11-27
122,CID3565,PID2921,3,2017-03-25,2019-12-09
123,CID1038,PID9803,3,2016-12-09,2019-11-01
124,CID3538,PID3718,2,2019-07-03,2020-07-13
125,CID4868,PID5477,4,2010-12-11,2018-04-22
126,CID2837,PID7959,16,2014-12-19,2021-10-15
127,CID9298,PID1428,4,2013-07-20,2023-03-19
128,CID1790,PID2519,4,2016-01-25,2017-01-25
129,CID9925,PID8433,20,2010-07-05,2022-06-10
130,CID2278,PID6407,2,2012-06-24,2022-07-26
131,CID8795,PID3194,4,2015-03-12,2019-04-23
132,CID7488,PID8330,10,2016-09-10,2018-10-18
133,CID4283,PID4240,2,2017-05-25,2018-06-09
134,CID5008,PID0826,1,2017-08-11,2017-10-27
135,CID3511,PID8629,21,2014-06-07,2018-04-19
136,CID7769,PID5632,4,2016-10-30,2019-09-05
137,CID3920,PID7434,2,2013-04-14,2013-09-01
138,CID6548,PID4977,25,2015-11-05,2022-06-29
139,CID2682,PID2303,1,2018-04-23,2022-01-19
140,CID9602,PID4594,25,2019-10-08,2020-05-29
141,CID0420,PID0094,15,2018-12-10,2020-06-27
142,CID7864,PID0319,25,2010-01-13,2022-05-15
143,CID0136,PID4267,1,2013-02-07,2020-04-26
144,CID2688,PID7473,4,2014-12-10,2015-12-26
145,CID7957,PID8913,19,2011-04-27,2021-01-30
146,CID8571,PID5887,4,2011-08-31,2013-03-06
147,CID9097,PID7926,1,2019-10-14,2019-12-29
148,CID3494,PID4526,11,2012-10-25,2016-07-09
149,CID3192,PID9791,3,2015-08-07,2016-01-03
150,CID2366,PID2824,13,2018-01-12,2021-09-18
151,CID2757,PID9357,22,2010-01-16,2012-08-14
152,CID4977,PID3617,16,2016-10-06,2016-12-31
153,CID5078,PID1204,2,2016-10-09,2016-11-12
154,CID3586,PID6536,15,2019-10-08,2023-01-18
155,CID3893,PID2515,3,2018-12-29,2019-11-24
156,CID2452,PID0467,19,2011-12-10,2012-06-25
157,CID5871,PID2927,24,2010-01-13,2022-06-20
158,CID8808,PID4879,4,2011-05-22,2012-07-21
159,CID8502,PID8632,25,2017-06-15,2022-04-11
160,CID0841,PID5166,2,2010-09-13,2017-10-03
161,CID0874,PID0718,19,2018-02-14,2019-10-31
162,CID6704,PID6362,12,2020-03-01,2021-06-03
163,CID9242,PID6338,1,2016-07-29,2022-01-31
