rental_id,user_id,product_id,quantity_rented,start_date,end_date
1,HI006,BD001,4,2018-01-02,2022-01-02
2,HI006,OF001,4,2018-01-02,2022-01-02
3,DE003,BD001,1,2017-08-01,
4,AB001,BD002,3,2019-07-15,2020-07-15
5,AB001,OF001,1,2019-07-15,2020-07-15
6,AB001,DN001,1,2019-07-15,2020-07-15
7,FB901,BD001,2,2020-01-05,2021-08-01
8,FB901,OF001,2,2020-01-05,2021-08-01
9,FB901,DN001,1,2020-01-05,2021-08-01
10,GH040,BD001,1,2020-02-01,2022-02-01
11,GH040,OF001,1,2020-02-01,2022-02-01
12,GH040,LR001,1,2020-02-01,2022-02-01
13,GH040,DN002,1,2020-02-01,2022-02-01
14,AB001,LR002,1,2019-07-30,2020-07-15
15,AB001,LR003,1,2019-07-30,2020-07-15
16,AB001,BD002,,2019-07-30,2020-07-15
