CMDLINE /anaconda3/bin/python poor_perf.py
MEM 0.007812 1560154224.4953
MEM 11.875000 1560154224.5984
MEM 19.726562 1560154224.7010
MEM 27.191406 1560154224.8013
MEM 37.316406 1560154224.9056
MEM 47.449219 1560154225.0091
MEM 57.285156 1560154225.1117
MEM 67.589844 1560154225.2154
MEM 78.207031 1560154225.3158
MEM 87.476562 1560154225.4194
MEM 97.531250 1560154225.5207
MEM 108.472656 1560154225.6211
MEM 116.859375 1560154225.7249
MEM 127.582031 1560154225.8290
MEM 138.312500 1560154225.9308
MEM 149.613281 1560154226.0336
MEM 159.730469 1560154226.1347
MEM 170.527344 1560154226.2362
MEM 180.980469 1560154226.3389
MEM 190.746094 1560154226.4391
MEM 201.515625 1560154226.5400
MEM 210.695312 1560154226.6444
MEM 222.964844 1560154226.7476
MEM 232.531250 1560154226.8499
MEM 239.226562 1560154226.9530
MEM 239.339844 1560154227.0583
MEM 239.460938 1560154227.1631
MEM 239.582031 1560154227.2650
MEM 239.710938 1560154227.3692
MEM 239.832031 1560154227.4697
MEM 239.941406 1560154227.5712
MEM 240.027344 1560154227.6754
MEM 240.148438 1560154227.7770
MEM 240.273438 1560154227.8804
MEM 240.382812 1560154227.9832
MEM 240.511719 1560154228.0860
MEM 240.632812 1560154228.1863
MEM 240.757812 1560154228.2900
MEM 240.882812 1560154228.3947
MEM 241.003906 1560154228.4993
MEM 241.125000 1560154228.6027
MEM 241.238281 1560154228.7080
MEM 241.363281 1560154228.8115
MEM 241.480469 1560154228.9119
MEM 241.593750 1560154229.0169
MEM 241.726562 1560154229.1196
MEM 241.859375 1560154229.2241
MEM 241.988281 1560154229.3282
MEM 242.117188 1560154229.4321
MEM 242.234375 1560154229.5342
MEM 242.343750 1560154229.6362
MEM 242.453125 1560154229.7382
MEM 242.570312 1560154229.8429
MEM 242.687500 1560154229.9447
MEM 242.812500 1560154230.0496
MEM 242.929688 1560154230.1530
MEM 243.050781 1560154230.2565
MEM 243.167969 1560154230.3583
MEM 243.300781 1560154230.4630
MEM 243.437500 1560154230.5681
MEM 243.542969 1560154230.6697
MEM 243.660156 1560154230.7748
MEM 243.785156 1560154230.8751
MEM 243.910156 1560154230.9796
MEM 244.023438 1560154231.0829
MEM 244.148438 1560154231.1876
MEM 244.273438 1560154231.2915
MEM 244.386719 1560154231.3962
MEM 244.496094 1560154231.4967
MEM 244.628906 1560154231.6014
MEM 244.730469 1560154231.7017
MEM 244.859375 1560154231.8021
MEM 244.988281 1560154231.9031
MEM 245.121094 1560154232.0069
MEM 245.242188 1560154232.1089
MEM 245.378906 1560154232.2103
MEM 245.507812 1560154232.3113
MEM 245.640625 1560154232.4130
MEM 245.765625 1560154232.5182
MEM 245.890625 1560154232.6206
MEM 246.007812 1560154232.7213
MEM 246.125000 1560154232.8255
MEM 246.253906 1560154232.9262
MEM 246.367188 1560154233.0264
MEM 246.488281 1560154233.1281
MEM 246.542969 1560154233.2327
MEM 246.542969 1560154233.3369
MEM 246.558594 1560154233.4423
MEM 246.558594 1560154233.5475
MEM 246.558594 1560154233.6528
MEM 246.558594 1560154233.7568
MEM 246.558594 1560154233.8620
MEM 246.558594 1560154233.9628
MEM 246.558594 1560154234.0680
MEM 246.558594 1560154234.1703
MEM 246.558594 1560154234.2707
MEM 246.558594 1560154234.3745
MEM 246.558594 1560154234.4773
MEM 246.558594 1560154234.5825
MEM 246.558594 1560154234.6831
MEM 246.558594 1560154234.7883
MEM 246.558594 1560154234.8935
MEM 246.558594 1560154234.9978
MEM 246.558594 1560154235.1013
MEM 246.558594 1560154235.2062
MEM 246.558594 1560154235.3069
MEM 246.558594 1560154235.4073
MEM 246.558594 1560154235.5090
MEM 246.558594 1560154235.6131
MEM 246.558594 1560154235.7149
MEM 246.558594 1560154235.8174
MEM 246.558594 1560154235.9185
MEM 246.558594 1560154236.0194
MEM 246.558594 1560154236.1201
MEM 246.558594 1560154236.2232
MEM 246.558594 1560154236.3268
MEM 246.558594 1560154236.4300
MEM 246.558594 1560154236.5304
MEM 246.558594 1560154236.6323
MEM 246.558594 1560154236.7349
MEM 246.558594 1560154236.8391
MEM 246.558594 1560154236.9432
MEM 246.558594 1560154237.0461
MEM 246.558594 1560154237.1489
MEM 246.558594 1560154237.2518
MEM 83.535156 1560154237.3553
