CMDLINE /anaconda3/bin/python poor_perf.py
MEM 0.007812 1560154280.4376
MEM 11.960938 1560154280.5383
MEM 19.957031 1560154280.6419
MEM 27.343750 1560154280.7438
MEM 37.957031 1560154280.8460
MEM 49.320312 1560154280.9508
MEM 60.183594 1560154281.0518
MEM 70.507812 1560154281.1554
MEM 82.144531 1560154281.2598
MEM 94.476562 1560154281.3637
MEM 106.992188 1560154281.4650
MEM 118.238281 1560154281.5690
MEM 127.589844 1560154281.6708
MEM 138.050781 1560154281.7743
MEM 149.214844 1560154281.8773
MEM 160.214844 1560154281.9812
MEM 171.695312 1560154282.0862
MEM 183.066406 1560154282.1907
MEM 192.792969 1560154282.2911
MEM 203.781250 1560154282.3926
MEM 214.800781 1560154282.4945
MEM 226.171875 1560154282.5978
MEM 235.328125 1560154282.7029
MEM 240.382812 1560154282.8070
MEM 241.871094 1560154282.9115
MEM 243.363281 1560154283.0148
MEM 244.855469 1560154283.1165
MEM 246.203125 1560154283.2202
MEM 246.867188 1560154283.3242
MEM 246.867188 1560154283.4279
MEM 246.867188 1560154283.5318
MEM 246.867188 1560154283.6352
MEM 246.867188 1560154283.7354
MEM 246.867188 1560154283.8362
MEM 246.867188 1560154283.9387
MEM 246.867188 1560154284.0438
MEM 246.867188 1560154284.1467
MEM 246.867188 1560154284.2487
MEM 246.867188 1560154284.3528
MEM 184.843750 1560154284.4535
MEM 34.242188 1560154284.5537
