id, description, type, available
001, Mafex Justice League Superman, 6 inch Action Figure, 25
002, One 12 Justice League Tactical Suit Batman, 6 inch Action Figure, 12
003, S.H. Figuarts Iron Man Mark LXXXV, 6 inch Action Figure, 1
004, Black Series Stormtrooper, 6 inch Action Figure, 15
005, S.H. Figuarts Hulk Buster Mark II, 6 inch Action Figure, 0
6, description5, type5, 58
7, description6, type6, 84
8, description7, type7, 53
9, description8, type8, 81
10, description9, type9, 9
11, description10, type10, 67
12, description11, type11, 25
13, description12, type12, 73
14, description13, type13, 49
15, description14, type14, 3
16, description15, type15, 47
17, description16, type16, 98
18, description17, type17, 56
19, description18, type18, 2
20, description19, type19, 18
21, description20, type20, 24
22, description21, type21, 60
23, description22, type22, 71
24, description23, type23, 44
25, description24, type24, 53
26, description25, type25, 78
27, description26, type26, 67
28, description27, type27, 87
29, description28, type28, 84
30, description29, type29, 100
31, description30, type30, 21
32, description31, type31, 20
33, description32, type32, 16
34, description33, type33, 74
35, description34, type34, 29
36, description35, type35, 81
37, description36, type36, 91
38, description37, type37, 81
39, description38, type38, 7
40, description39, type39, 10
41, description40, type40, 69
42, description41, type41, 97
43, description42, type42, 100
44, description43, type43, 6
45, description44, type44, 20
46, description45, type45, 60
47, description46, type46, 33
48, description47, type47, 90
49, description48, type48, 57
50, description49, type49, 95
51, description50, type50, 94
52, description51, type51, 31
53, description52, type52, 36
54, description53, type53, 92
55, description54, type54, 45
56, description55, type55, 86
57, description56, type56, 40
58, description57, type57, 5
59, description58, type58, 18
60, description59, type59, 27
61, description60, type60, 86
62, description61, type61, 99
63, description62, type62, 63
64, description63, type63, 35
65, description64, type64, 97
66, description65, type65, 43
67, description66, type66, 86
68, description67, type67, 62
69, description68, type68, 71
70, description69, type69, 57
71, description70, type70, 66
72, description71, type71, 88
73, description72, type72, 18
74, description73, type73, 75
75, description74, type74, 19
76, description75, type75, 84
77, description76, type76, 6
78, description77, type77, 92
79, description78, type78, 16
80, description79, type79, 6
81, description80, type80, 27
82, description81, type81, 26
83, description82, type82, 51
84, description83, type83, 52
85, description84, type84, 74
86, description85, type85, 17
87, description86, type86, 46
88, description87, type87, 84
89, description88, type88, 64
90, description89, type89, 63
91, description90, type90, 75
92, description91, type91, 22
93, description92, type92, 81
94, description93, type93, 60
95, description94, type94, 32
96, description95, type95, 62
97, description96, type96, 1
98, description97, type97, 47
99, description98, type98, 91
100, description99, type99, 87
101, description100, type100, 26
102, description101, type101, 80
103, description102, type102, 12
104, description103, type103, 82
105, description104, type104, 4
106, description105, type105, 11
107, description106, type106, 44
108, description107, type107, 60
109, description108, type108, 33
110, description109, type109, 79
111, description110, type110, 75
112, description111, type111, 9
113, description112, type112, 65
114, description113, type113, 72
115, description114, type114, 85
116, description115, type115, 9
117, description116, type116, 90
118, description117, type117, 58
119, description118, type118, 22
120, description119, type119, 9
121, description120, type120, 5
122, description121, type121, 80
123, description122, type122, 53
124, description123, type123, 90
125, description124, type124, 54
126, description125, type125, 52
127, description126, type126, 28
128, description127, type127, 44
129, description128, type128, 3
130, description129, type129, 43
131, description130, type130, 35
132, description131, type131, 13
133, description132, type132, 22
134, description133, type133, 12
135, description134, type134, 58
136, description135, type135, 84
137, description136, type136, 12
138, description137, type137, 87
139, description138, type138, 25
140, description139, type139, 35
141, description140, type140, 89
142, description141, type141, 73
143, description142, type142, 7
144, description143, type143, 70
145, description144, type144, 63
146, description145, type145, 27
147, description146, type146, 14
148, description147, type147, 21
149, description148, type148, 64
150, description149, type149, 34
151, description150, type150, 89
152, description151, type151, 40
153, description152, type152, 9
154, description153, type153, 16
155, description154, type154, 20
156, description155, type155, 22
157, description156, type156, 60
158, description157, type157, 40
159, description158, type158, 21
160, description159, type159, 44
161, description160, type160, 33
162, description161, type161, 11
163, description162, type162, 24
164, description163, type163, 88
165, description164, type164, 32
166, description165, type165, 53
167, description166, type166, 94
168, description167, type167, 36
169, description168, type168, 66
170, description169, type169, 59
171, description170, type170, 22
172, description171, type171, 17
173, description172, type172, 73
174, description173, type173, 18
175, description174, type174, 7
176, description175, type175, 29
177, description176, type176, 21
178, description177, type177, 70
179, description178, type178, 32
180, description179, type179, 32
181, description180, type180, 59
182, description181, type181, 75
183, description182, type182, 100
184, description183, type183, 84
185, description184, type184, 71
186, description185, type185, 97
187, description186, type186, 39
188, description187, type187, 18
189, description188, type188, 27
190, description189, type189, 100
191, description190, type190, 98
192, description191, type191, 94
193, description192, type192, 24
194, description193, type193, 97
195, description194, type194, 5
196, description195, type195, 34
197, description196, type196, 92
198, description197, type197, 75
199, description198, type198, 4
200, description199, type199, 99
201, description200, type200, 99
202, description201, type201, 32
203, description202, type202, 31
204, description203, type203, 89
205, description204, type204, 35
206, description205, type205, 58
207, description206, type206, 77
208, description207, type207, 91
209, description208, type208, 9
210, description209, type209, 84
211, description210, type210, 92
212, description211, type211, 58
213, description212, type212, 7
214, description213, type213, 74
215, description214, type214, 54
216, description215, type215, 62
217, description216, type216, 11
218, description217, type217, 78
219, description218, type218, 94
220, description219, type219, 50
221, description220, type220, 83
222, description221, type221, 54
223, description222, type222, 93
224, description223, type223, 74
225, description224, type224, 72
226, description225, type225, 66
227, description226, type226, 20
228, description227, type227, 26
229, description228, type228, 67
230, description229, type229, 14
231, description230, type230, 75
232, description231, type231, 69
233, description232, type232, 78
234, description233, type233, 44
235, description234, type234, 53
236, description235, type235, 91
237, description236, type236, 71
238, description237, type237, 100
239, description238, type238, 100
240, description239, type239, 91
241, description240, type240, 49
242, description241, type241, 48
243, description242, type242, 5
244, description243, type243, 17
245, description244, type244, 1
246, description245, type245, 33
247, description246, type246, 41
248, description247, type247, 70
249, description248, type248, 52
250, description249, type249, 27
251, description250, type250, 7
252, description251, type251, 79
253, description252, type252, 22
254, description253, type253, 62
255, description254, type254, 10
256, description255, type255, 36
257, description256, type256, 64
258, description257, type257, 74
259, description258, type258, 78
260, description259, type259, 27
261, description260, type260, 5
262, description261, type261, 95
263, description262, type262, 58
264, description263, type263, 50
265, description264, type264, 97
266, description265, type265, 37
267, description266, type266, 89
268, description267, type267, 78
269, description268, type268, 13
270, description269, type269, 77
271, description270, type270, 80
272, description271, type271, 99
273, description272, type272, 54
274, description273, type273, 5
275, description274, type274, 31
276, description275, type275, 27
277, description276, type276, 54
278, description277, type277, 25
279, description278, type278, 20
280, description279, type279, 46
281, description280, type280, 33
282, description281, type281, 77
283, description282, type282, 91
284, description283, type283, 43
285, description284, type284, 53
286, description285, type285, 55
287, description286, type286, 82
288, description287, type287, 77
289, description288, type288, 43
290, description289, type289, 39
291, description290, type290, 49
292, description291, type291, 25
293, description292, type292, 68
294, description293, type293, 60
295, description294, type294, 22
296, description295, type295, 56
297, description296, type296, 21
298, description297, type297, 59
299, description298, type298, 54
300, description299, type299, 64
301, description300, type300, 92
302, description301, type301, 39
303, description302, type302, 13
304, description303, type303, 66
305, description304, type304, 60
306, description305, type305, 38
307, description306, type306, 36
308, description307, type307, 86
309, description308, type308, 68
310, description309, type309, 56
311, description310, type310, 10
312, description311, type311, 50
313, description312, type312, 51
314, description313, type313, 67
315, description314, type314, 59
316, description315, type315, 25
317, description316, type316, 95
318, description317, type317, 79
319, description318, type318, 13
320, description319, type319, 79
321, description320, type320, 96
322, description321, type321, 38
323, description322, type322, 49
324, description323, type323, 58
325, description324, type324, 68
326, description325, type325, 27
327, description326, type326, 58
328, description327, type327, 62
329, description328, type328, 33
330, description329, type329, 70
331, description330, type330, 68
332, description331, type331, 82
333, description332, type332, 41
334, description333, type333, 88
335, description334, type334, 94
336, description335, type335, 49
337, description336, type336, 19
338, description337, type337, 85
339, description338, type338, 41
340, description339, type339, 70
341, description340, type340, 76
342, description341, type341, 2
343, description342, type342, 19
344, description343, type343, 10
345, description344, type344, 61
346, description345, type345, 65
347, description346, type346, 19
348, description347, type347, 73
349, description348, type348, 45
350, description349, type349, 90
351, description350, type350, 80
352, description351, type351, 71
353, description352, type352, 27
354, description353, type353, 96
355, description354, type354, 70
356, description355, type355, 54
357, description356, type356, 52
358, description357, type357, 91
359, description358, type358, 81
360, description359, type359, 85
361, description360, type360, 73
362, description361, type361, 5
363, description362, type362, 27
364, description363, type363, 64
365, description364, type364, 99
366, description365, type365, 5
367, description366, type366, 26
368, description367, type367, 52
369, description368, type368, 14
370, description369, type369, 65
371, description370, type370, 34
372, description371, type371, 14
373, description372, type372, 46
374, description373, type373, 44
375, description374, type374, 92
376, description375, type375, 52
377, description376, type376, 32
378, description377, type377, 31
379, description378, type378, 26
380, description379, type379, 23
381, description380, type380, 53
382, description381, type381, 88
383, description382, type382, 2
384, description383, type383, 45
385, description384, type384, 52
386, description385, type385, 54
387, description386, type386, 43
388, description387, type387, 44
389, description388, type388, 10
390, description389, type389, 28
391, description390, type390, 54
392, description391, type391, 57
393, description392, type392, 44
394, description393, type393, 33
395, description394, type394, 24
396, description395, type395, 43
397, description396, type396, 99
398, description397, type397, 59
399, description398, type398, 37
400, description399, type399, 27
401, description400, type400, 53
402, description401, type401, 86
403, description402, type402, 8
404, description403, type403, 42
405, description404, type404, 37
406, description405, type405, 64
407, description406, type406, 90
408, description407, type407, 83
409, description408, type408, 22
410, description409, type409, 39
411, description410, type410, 23
412, description411, type411, 17
413, description412, type412, 14
414, description413, type413, 88
415, description414, type414, 18
416, description415, type415, 18
417, description416, type416, 65
418, description417, type417, 90
419, description418, type418, 1
420, description419, type419, 91
421, description420, type420, 95
422, description421, type421, 99
423, description422, type422, 82
424, description423, type423, 70
425, description424, type424, 65
426, description425, type425, 85
427, description426, type426, 87
428, description427, type427, 34
429, description428, type428, 11
430, description429, type429, 58
431, description430, type430, 99
432, description431, type431, 21
433, description432, type432, 20
434, description433, type433, 1
435, description434, type434, 64
436, description435, type435, 19
437, description436, type436, 6
438, description437, type437, 90
439, description438, type438, 24
440, description439, type439, 12
441, description440, type440, 51
442, description441, type441, 44
443, description442, type442, 43
444, description443, type443, 91
445, description444, type444, 88
446, description445, type445, 41
447, description446, type446, 58
448, description447, type447, 95
449, description448, type448, 39
450, description449, type449, 86
451, description450, type450, 96
452, description451, type451, 59
453, description452, type452, 3
454, description453, type453, 84
455, description454, type454, 100
456, description455, type455, 21
457, description456, type456, 69
458, description457, type457, 26
459, description458, type458, 50
460, description459, type459, 67
461, description460, type460, 10
462, description461, type461, 84
463, description462, type462, 62
464, description463, type463, 98
465, description464, type464, 75
466, description465, type465, 99
467, description466, type466, 51
468, description467, type467, 16
469, description468, type468, 48
470, description469, type469, 77
471, description470, type470, 8
472, description471, type471, 50
473, description472, type472, 88
474, description473, type473, 57
475, description474, type474, 58
476, description475, type475, 34
477, description476, type476, 90
478, description477, type477, 66
479, description478, type478, 52
480, description479, type479, 37
481, description480, type480, 35
482, description481, type481, 33
483, description482, type482, 13
484, description483, type483, 38
485, description484, type484, 2
486, description485, type485, 30
487, description486, type486, 98
488, description487, type487, 38
489, description488, type488, 36
