rental_id,customer_id,product_id,quantity
r001,user983,prd131,903
r002,user994,prd321,936
r003,user210,prd966,863
r004,user697,prd591,291
r005,user911,prd902,153
r006,user360,prd277,629
r007,user817,prd34,958
r008,user71,prd581,744
r009,user510,prd324,620
r010,user550,prd911,162
r011,user714,prd212,693
r012,user436,prd13,277
r013,user242,prd527,910
r014,user909,prd914,375
r015,user510,prd224,613
r016,user587,prd48,539
r017,user723,prd437,542
r018,user67,prd751,774
r019,user827,prd21,849
r020,user524,prd271,62
r021,user305,prd576,18
r022,user402,prd12,903
r023,user277,prd294,55
r024,user68,prd286,128
r025,user973,prd271,41
r026,user708,prd724,407
r027,user435,prd590,613
r028,user907,prd913,129
r029,user235,prd90,948
r030,user319,prd186,61
r031,user40,prd773,348
r032,user608,prd935,949
r033,user250,prd432,195
r034,user561,prd242,119
r035,user505,prd828,804
r036,user627,prd458,543
r037,user695,prd250,765
r038,user483,prd923,693
r039,user944,prd636,55
r040,user932,prd40,204
r041,user975,prd838,569
r042,user335,prd859,832
r043,user729,prd226,897
r044,user833,prd155,853
r045,user585,prd888,909
r046,user407,prd158,309
r047,user747,prd370,295
r048,user758,prd679,718
r049,user278,prd553,730
r050,user740,prd444,104
r051,user632,prd831,89
r052,user877,prd467,362
r053,user679,prd191,891
r054,user461,prd371,904
r055,user969,prd981,321
r056,user644,prd633,381
r057,user481,prd163,101
r058,user676,prd620,4
r059,user828,prd657,409
r060,user852,prd918,964
r061,user635,prd256,678
r062,user748,prd588,716
r063,user358,prd919,855
r064,user694,prd305,254
r065,user578,prd180,203
r066,user667,prd800,774
r067,user176,prd421,265
r068,user594,prd357,769
r069,user54,prd69,344
r070,user130,prd992,869
r071,user398,prd432,346
r072,user449,prd322,981
r073,user392,prd907,268
r074,user494,prd24,67
r075,user663,prd502,344
r076,user833,prd350,724
r077,user641,prd436,128
r078,user239,prd515,493
r079,user616,prd667,585
r080,user969,prd24,535
r081,user266,prd134,367
r082,user459,prd315,845
r083,user444,prd583,570
r084,user747,prd636,24
r085,user436,prd906,386
r086,user859,prd355,363
r087,user227,prd321,687
r088,user948,prd843,114
r089,user433,prd336,380
r090,user50,prd7,162
r091,user991,prd243,949
r092,user700,prd391,413
r093,user632,prd69,505
r094,user352,prd624,228
r095,user668,prd405,922
r096,user620,prd179,443
r097,user824,prd307,438
r098,user8,prd757,972
r099,user110,prd478,359
r100,user161,prd722,727
r101,user331,prd382,409
r102,user850,prd373,928
r103,user513,prd170,628
r104,user753,prd536,307
r105,user967,prd623,628
r106,user447,prd557,106
r107,user444,prd518,245
r108,user872,prd572,163
r109,user518,prd746,865
r110,user726,prd409,950
r111,user897,prd40,854
r112,user2,prd890,565
r113,user118,prd572,350
r114,user565,prd332,606
r115,user461,prd847,84
r116,user565,prd547,531
r117,user771,prd681,433
r118,user957,prd789,922
r119,user896,prd71,194
r120,user574,prd565,25
r121,user881,prd582,929
r122,user552,prd6,279
r123,user620,prd865,592
r124,user293,prd205,587
r125,user826,prd9,925
r126,user22,prd519,290
r127,user233,prd443,228
r128,user423,prd845,153
r129,user411,prd857,49
r130,user265,prd687,553
r131,user996,prd648,233
r132,user489,prd805,265
r133,user170,prd458,993
r134,user161,prd207,1
r135,user447,prd732,309
r136,user598,prd17,130
r137,user15,prd831,677
r138,user262,prd185,288
r139,user405,prd10,594
r140,user675,prd432,540
r141,user372,prd502,910
r142,user546,prd512,403
r143,user905,prd780,121
r144,user171,prd888,506
r145,user119,prd688,213
r146,user339,prd415,868
r147,user302,prd272,600
r148,user786,prd129,622
r149,user190,prd361,936
r150,user478,prd527,912
r151,user810,prd439,121
r152,user912,prd176,717
r153,user736,prd794,424
r154,user649,prd486,15
r155,user596,prd7,321
r156,user213,prd500,287
r157,user655,prd262,193
r158,user68,prd962,350
r159,user458,prd83,261
r160,user736,prd984,416
r161,user465,prd555,27
r162,user615,prd400,830
r163,user313,prd199,924
r164,user593,prd926,125
r165,user444,prd943,802
r166,user266,prd523,238
r167,user810,prd138,398
r168,user672,prd38,811
r169,user38,prd508,375
r170,user788,prd409,883
r171,user330,prd611,128
r172,user121,prd942,924
r173,user223,prd232,692
r174,user774,prd579,926
r175,user920,prd765,316
r176,user819,prd882,185
r177,user787,prd686,567
r178,user876,prd470,495
r179,user167,prd553,789
r180,user399,prd743,90
r181,user707,prd993,481
r182,user422,prd947,488
r183,user162,prd819,498
r184,user798,prd155,863
r185,user31,prd828,741
r186,user624,prd376,661
r187,user166,prd438,500
r188,user944,prd802,546
r189,user171,prd652,25
r190,user734,prd169,159
r191,user530,prd687,916
r192,user983,prd340,81
r193,user344,prd747,673
r194,user252,prd750,462
r195,user973,prd533,196
r196,user95,prd568,845
r197,user233,prd480,670
r198,user631,prd630,721
r199,user794,prd833,963
r200,user173,prd119,972
r201,user541,prd525,62
r202,user610,prd59,799
r203,user337,prd138,942
r204,user156,prd492,115
r205,user7,prd392,781
r206,user114,prd410,391
r207,user404,prd137,865
r208,user76,prd303,320
r209,user159,prd708,411
r210,user168,prd188,501
r211,user995,prd911,567
r212,user611,prd488,847
r213,user435,prd589,2
r214,user359,prd840,693
r215,user62,prd431,499
r216,user811,prd417,27
r217,user407,prd101,986
r218,user345,prd182,125
r219,user710,prd270,557
r220,user674,prd329,718
r221,user352,prd142,430
r222,user2,prd205,976
r223,user813,prd331,95
r224,user74,prd340,493
r225,user86,prd821,852
r226,user849,prd312,205
r227,user453,prd221,455
r228,user260,prd500,400
r229,user213,prd952,964
r230,user2,prd318,388
r231,user228,prd400,215
r232,user877,prd924,503
r233,user773,prd248,266
r234,user365,prd333,980
r235,user882,prd100,822
r236,user140,prd381,286
r237,user190,prd483,609
r238,user799,prd392,932
r239,user677,prd490,863
r240,user688,prd882,730
r241,user504,prd109,265
r242,user901,prd511,720
r243,user462,prd529,328
r244,user428,prd512,647
r245,user181,prd966,739
r246,user852,prd725,397
r247,user355,prd368,93
r248,user178,prd15,311
r249,user494,prd184,193
r250,user866,prd556,608
r251,user260,prd286,231
r252,user702,prd609,417
r253,user838,prd835,781
r254,user10,prd487,652
r255,user282,prd995,988
r256,user839,prd506,453
r257,user191,prd430,203
r258,user193,prd898,272
r259,user720,prd269,366
r260,user222,prd534,600
r261,user515,prd347,730
r262,user249,prd125,210
r263,user351,prd37,601
r264,user882,prd584,739
r265,user29,prd689,909
r266,user777,prd243,100
r267,user358,prd735,26
r268,user589,prd14,22
r269,user57,prd847,582
r270,user341,prd881,296
r271,user615,prd841,919
r272,user82,prd167,344
r273,user340,prd85,312
r274,user713,prd266,244
r275,user238,prd506,179
r276,user988,prd798,584
r277,user771,prd987,212
r278,user891,prd98,70
r279,user79,prd701,419
r280,user649,prd784,14
r281,user613,prd258,445
r282,user263,prd971,21
r283,user495,prd678,717
r284,user805,prd927,540
r285,user872,prd304,993
r286,user800,prd263,184
r287,user616,prd580,528
r288,user652,prd62,892
r289,user438,prd33,287
r290,user284,prd275,922
r291,user127,prd811,216
r292,user903,prd920,597
r293,user694,prd815,205
r294,user753,prd822,805
r295,user330,prd906,276
r296,user212,prd464,269
r297,user826,prd203,858
r298,user295,prd750,686
r299,user237,prd150,545
r300,user707,prd235,865
r301,user671,prd556,959
r302,user715,prd155,729
r303,user490,prd515,282
r304,user457,prd205,232
r305,user973,prd830,113
r306,user132,prd558,109
r307,user305,prd850,495
r308,user651,prd374,492
r309,user878,prd955,606
r310,user251,prd433,357
r311,user50,prd777,726
r312,user641,prd512,867
r313,user667,prd937,89
r314,user830,prd101,507
r315,user631,prd4,83
r316,user112,prd443,401
r317,user225,prd10,747
r318,user556,prd541,279
r319,user772,prd237,932
r320,user931,prd712,894
r321,user784,prd298,519
r322,user373,prd896,523
r323,user537,prd326,35
r324,user167,prd253,287
r325,user91,prd16,111
r326,user154,prd839,320
r327,user418,prd906,606
r328,user124,prd446,979
r329,user501,prd474,362
r330,user418,prd472,871
r331,user148,prd526,341
r332,user184,prd865,707
r333,user303,prd584,250
r334,user636,prd463,231
r335,user672,prd327,180
r336,user298,prd860,561
r337,user965,prd173,840
r338,user705,prd744,739
r339,user201,prd843,188
r340,user591,prd208,802
r341,user771,prd992,624
r342,user649,prd57,64
r343,user265,prd282,785
r344,user74,prd270,788
r345,user717,prd372,268
r346,user321,prd942,444
r347,user487,prd399,278
r348,user463,prd30,545
r349,user26,prd54,250
r350,user457,prd356,476
r351,user124,prd697,430
r352,user553,prd101,962
r353,user307,prd518,259
r354,user745,prd203,913
r355,user185,prd397,979
r356,user629,prd10,275
r357,user336,prd980,793
r358,user472,prd67,95
r359,user847,prd85,685
r360,user974,prd86,860
r361,user107,prd165,813
r362,user87,prd250,150
r363,user672,prd915,955
r364,user485,prd893,491
r365,user59,prd884,353
r366,user197,prd706,815
r367,user343,prd933,550
r368,user49,prd928,580
r369,user724,prd574,336
r370,user6,prd474,933
r371,user759,prd164,557
r372,user495,prd167,630
r373,user738,prd592,945
r374,user431,prd437,720
r375,user683,prd971,339
r376,user530,prd346,416
r377,user334,prd69,997
r378,user447,prd54,986
r379,user764,prd882,508
r380,user638,prd177,266
r381,user651,prd505,586
r382,user425,prd919,96
r383,user666,prd383,448
r384,user202,prd690,151
r385,user515,prd164,600
r386,user806,prd980,690
r387,user59,prd431,225
r388,user224,prd111,862
r389,user557,prd69,39
r390,user665,prd351,984
r391,user590,prd716,170
r392,user67,prd995,539
r393,user136,prd127,858
r394,user414,prd720,630
r395,user145,prd861,955
r396,user722,prd422,645
r397,user212,prd358,770
r398,user16,prd172,885
r399,user964,prd26,449
r400,user887,prd440,563
r401,user242,prd854,317
r402,user197,prd946,963
r403,user669,prd186,863
r404,user799,prd435,918
r405,user63,prd652,87
r406,user240,prd963,546
r407,user121,prd60,696
r408,user972,prd368,36
r409,user131,prd686,120
r410,user690,prd504,217
r411,user732,prd130,895
r412,user239,prd690,709
r413,user829,prd524,965
r414,user983,prd433,777
r415,user630,prd564,35
r416,user680,prd808,558
r417,user945,prd596,511
r418,user798,prd293,352
r419,user288,prd723,489
r420,user913,prd141,759
r421,user903,prd332,930
r422,user742,prd38,31
r423,user134,prd989,479
r424,user640,prd445,466
r425,user618,prd61,286
r426,user438,prd150,778
r427,user221,prd246,61
r428,user50,prd232,447
r429,user796,prd912,32
r430,user480,prd727,463
r431,user314,prd787,169
r432,user900,prd932,499
r433,user386,prd374,616
r434,user280,prd139,678
r435,user163,prd428,168
r436,user582,prd114,871
r437,user245,prd210,987
r438,user491,prd253,365
r439,user24,prd462,594
r440,user857,prd719,766
r441,user498,prd185,317
r442,user730,prd323,861
