product_id,description,product_type,quantity_available
prd6,dishwasher,kithen,5
prd7,queen size bed,bedroom,8
prd8,microwave oven,kitchen,7
prd9,L-shaped sofa,livingroom,4
prd10,dishwasher,kithen,8
prd11,queen size bed,bedroom,2
prd12,queen size bed,bedroom,7
prd13,60-inch TV stand,livingroom,2
prd14,L-shaped sofa,livingroom,5
prd15,queen size bed,bedroom,5
prd16,queen size bed,bedroom,3
prd17,60-inch TV stand,livingroom,7
prd18,L-shaped sofa,livingroom,0
prd19,L-shaped sofa,livingroom,5
prd20,60-inch TV stand,livingroom,2
prd21,L-shaped sofa,livingroom,1
prd22,dishwasher,kithen,7
prd23,microwave oven,kitchen,8
prd24,microwave oven,kitchen,2
prd25,queen size bed,bedroom,9
prd26,microwave oven,kitchen,1
prd27,dishwasher,kithen,1
prd28,queen size bed,bedroom,4
prd29,queen size bed,bedroom,2
prd30,microwave oven,kitchen,6
prd31,queen size bed,bedroom,9
prd32,60-inch TV stand,livingroom,4
prd33,queen size bed,bedroom,2
prd34,microwave oven,kitchen,1
prd35,L-shaped sofa,livingroom,2
prd36,microwave oven,kitchen,5
prd37,queen size bed,bedroom,2
prd38,queen size bed,bedroom,0
prd39,queen size bed,bedroom,5
prd40,microwave oven,kitchen,2
prd41,microwave oven,kitchen,2
prd42,dishwasher,kithen,5
prd43,L-shaped sofa,livingroom,4
prd44,dishwasher,kithen,9
prd45,queen size bed,bedroom,2
prd46,L-shaped sofa,livingroom,5
prd47,microwave oven,kitchen,8
prd48,microwave oven,kitchen,2
prd49,queen size bed,bedroom,4
prd50,queen size bed,bedroom,0
prd51,60-inch TV stand,livingroom,3
prd52,60-inch TV stand,livingroom,0
prd53,queen size bed,bedroom,9
prd54,60-inch TV stand,livingroom,1
prd55,dishwasher,kithen,0
prd56,queen size bed,bedroom,9
prd57,L-shaped sofa,livingroom,9
prd58,60-inch TV stand,livingroom,6
prd59,L-shaped sofa,livingroom,6
prd60,microwave oven,kitchen,4
prd61,dishwasher,kithen,0
prd62,L-shaped sofa,livingroom,7
prd63,queen size bed,bedroom,0
prd64,60-inch TV stand,livingroom,4
prd65,60-inch TV stand,livingroom,4
prd66,microwave oven,kitchen,6
prd67,60-inch TV stand,livingroom,9
prd68,60-inch TV stand,livingroom,7
prd69,queen size bed,bedroom,3
prd70,60-inch TV stand,livingroom,8
prd71,queen size bed,bedroom,3
prd72,L-shaped sofa,livingroom,8
prd73,queen size bed,bedroom,7
prd74,dishwasher,kithen,7
prd75,queen size bed,bedroom,6
prd76,dishwasher,kithen,0
prd77,60-inch TV stand,livingroom,8
prd78,dishwasher,kithen,8
prd79,queen size bed,bedroom,9
prd80,microwave oven,kitchen,7
prd81,60-inch TV stand,livingroom,8
prd82,L-shaped sofa,livingroom,6
prd83,dishwasher,kithen,6
prd84,queen size bed,bedroom,2
prd85,queen size bed,bedroom,1
prd86,60-inch TV stand,livingroom,7
prd87,microwave oven,kitchen,7
prd88,dishwasher,kithen,5
prd89,dishwasher,kithen,4
prd90,dishwasher,kithen,4
prd91,L-shaped sofa,livingroom,5
prd92,L-shaped sofa,livingroom,9
prd93,dishwasher,kithen,9
prd94,microwave oven,kitchen,8
prd95,queen size bed,bedroom,5
prd96,60-inch TV stand,livingroom,4
prd97,60-inch TV stand,livingroom,2
prd98,queen size bed,bedroom,8
prd99,60-inch TV stand,livingroom,4
prd100,L-shaped sofa,livingroom,9
prd101,microwave oven,kitchen,4
prd102,L-shaped sofa,livingroom,7
prd103,queen size bed,bedroom,0
prd104,queen size bed,bedroom,8
prd105,queen size bed,bedroom,7
prd106,L-shaped sofa,livingroom,0
prd107,dishwasher,kithen,7
prd108,L-shaped sofa,livingroom,7
prd109,microwave oven,kitchen,0
prd110,60-inch TV stand,livingroom,6
prd111,queen size bed,bedroom,2
prd112,microwave oven,kitchen,9
prd113,microwave oven,kitchen,0
prd114,queen size bed,bedroom,2
prd115,microwave oven,kitchen,2
prd116,60-inch TV stand,livingroom,5
prd117,L-shaped sofa,livingroom,4
prd118,queen size bed,bedroom,8
prd119,L-shaped sofa,livingroom,2
prd120,queen size bed,bedroom,0
prd121,60-inch TV stand,livingroom,0
prd122,L-shaped sofa,livingroom,7
prd123,microwave oven,kitchen,3
prd124,microwave oven,kitchen,3
prd125,microwave oven,kitchen,0
prd126,L-shaped sofa,livingroom,2
prd127,L-shaped sofa,livingroom,0
prd128,60-inch TV stand,livingroom,9
prd129,dishwasher,kithen,7
prd130,L-shaped sofa,livingroom,4
prd131,L-shaped sofa,livingroom,5
prd132,60-inch TV stand,livingroom,3
prd133,queen size bed,bedroom,1
prd134,microwave oven,kitchen,6
prd135,dishwasher,kithen,8
prd136,60-inch TV stand,livingroom,6
prd137,microwave oven,kitchen,3
prd138,dishwasher,kithen,7
prd139,microwave oven,kitchen,1
prd140,queen size bed,bedroom,9
prd141,microwave oven,kitchen,5
prd142,microwave oven,kitchen,6
prd143,queen size bed,bedroom,1
prd144,dishwasher,kithen,5
prd145,queen size bed,bedroom,9
prd146,queen size bed,bedroom,4
prd147,dishwasher,kithen,9
prd148,microwave oven,kitchen,3
prd149,queen size bed,bedroom,9
prd150,microwave oven,kitchen,6
prd151,L-shaped sofa,livingroom,4
prd152,60-inch TV stand,livingroom,5
prd153,L-shaped sofa,livingroom,1
prd154,dishwasher,kithen,0
prd155,L-shaped sofa,livingroom,2
prd156,L-shaped sofa,livingroom,1
prd157,dishwasher,kithen,4
prd158,dishwasher,kithen,7
prd159,queen size bed,bedroom,9
prd160,microwave oven,kitchen,6
prd161,L-shaped sofa,livingroom,7
prd162,queen size bed,bedroom,1
prd163,queen size bed,bedroom,9
prd164,L-shaped sofa,livingroom,4
prd165,microwave oven,kitchen,5
prd166,60-inch TV stand,livingroom,2
prd167,dishwasher,kithen,2
prd168,60-inch TV stand,livingroom,6
prd169,queen size bed,bedroom,8
prd170,L-shaped sofa,livingroom,2
prd171,queen size bed,bedroom,5
prd172,L-shaped sofa,livingroom,6
prd173,dishwasher,kithen,8
prd174,dishwasher,kithen,4
prd175,60-inch TV stand,livingroom,3
prd176,queen size bed,bedroom,3
prd177,microwave oven,kitchen,4
prd178,dishwasher,kithen,9
prd179,60-inch TV stand,livingroom,8
prd180,dishwasher,kithen,5
