product_id,description,product_type,quantity_available
prd6,60-inch TV stand,livingroom,7
prd7,microwave oven,kitchen,7
prd8,L-shaped sofa,livingroom,7
prd9,60-inch TV stand,livingroom,6
prd10,dishwasher,kithen,1
prd11,L-shaped sofa,livingroom,2
prd12,dishwasher,kithen,0
prd13,queen size bed,bedroom,1
prd14,dishwasher,kithen,5
prd15,60-inch TV stand,livingroom,9
prd16,dishwasher,kithen,7
prd17,queen size bed,bedroom,2
prd18,60-inch TV stand,livingroom,3
prd19,dishwasher,kithen,9
prd20,60-inch TV stand,livingroom,4
prd21,60-inch TV stand,livingroom,9
prd22,microwave oven,kitchen,7
prd23,queen size bed,bedroom,6
prd24,L-shaped sofa,livingroom,1
prd25,60-inch TV stand,livingroom,3
prd26,microwave oven,kitchen,0
prd27,dishwasher,kithen,3
prd28,60-inch TV stand,livingroom,5
prd29,microwave oven,kitchen,5
prd30,60-inch TV stand,livingroom,8
prd31,queen size bed,bedroom,6
prd32,queen size bed,bedroom,3
prd33,60-inch TV stand,livingroom,5
prd34,queen size bed,bedroom,6
prd35,60-inch TV stand,livingroom,6
prd36,queen size bed,bedroom,5
prd37,queen size bed,bedroom,2
prd38,60-inch TV stand,livingroom,8
prd39,60-inch TV stand,livingroom,2
prd40,dishwasher,kithen,1
prd41,microwave oven,kitchen,0
prd42,dishwasher,kithen,8
prd43,queen size bed,bedroom,8
prd44,L-shaped sofa,livingroom,0
prd45,L-shaped sofa,livingroom,2
prd46,microwave oven,kitchen,3
prd47,queen size bed,bedroom,3
prd48,60-inch TV stand,livingroom,1
prd49,queen size bed,bedroom,5
prd50,dishwasher,kithen,3
prd51,60-inch TV stand,livingroom,2
prd52,queen size bed,bedroom,3
prd53,queen size bed,bedroom,6
prd54,L-shaped sofa,livingroom,6
prd55,60-inch TV stand,livingroom,6
prd56,60-inch TV stand,livingroom,0
prd57,60-inch TV stand,livingroom,6
prd58,60-inch TV stand,livingroom,2
prd59,60-inch TV stand,livingroom,6
prd60,60-inch TV stand,livingroom,1
prd61,L-shaped sofa,livingroom,2
prd62,microwave oven,kitchen,2
prd63,queen size bed,bedroom,8
prd64,L-shaped sofa,livingroom,9
prd65,dishwasher,kithen,5
prd66,60-inch TV stand,livingroom,3
prd67,queen size bed,bedroom,6
prd68,microwave oven,kitchen,9
prd69,L-shaped sofa,livingroom,2
prd70,dishwasher,kithen,2
prd71,microwave oven,kitchen,0
prd72,dishwasher,kithen,6
prd73,microwave oven,kitchen,1
prd74,queen size bed,bedroom,4
prd75,60-inch TV stand,livingroom,7
prd76,L-shaped sofa,livingroom,6
prd77,microwave oven,kitchen,5
prd78,L-shaped sofa,livingroom,8
prd79,60-inch TV stand,livingroom,6
prd80,queen size bed,bedroom,1
prd81,queen size bed,bedroom,8
prd82,microwave oven,kitchen,7
prd83,microwave oven,kitchen,7
prd84,dishwasher,kithen,1
prd85,60-inch TV stand,livingroom,3
prd86,60-inch TV stand,livingroom,2
prd87,L-shaped sofa,livingroom,8
prd88,60-inch TV stand,livingroom,5
prd89,queen size bed,bedroom,0
prd90,L-shaped sofa,livingroom,0
prd91,queen size bed,bedroom,5
prd92,dishwasher,kithen,6
prd93,L-shaped sofa,livingroom,8
prd94,60-inch TV stand,livingroom,8
prd95,L-shaped sofa,livingroom,4
prd96,60-inch TV stand,livingroom,1
prd97,L-shaped sofa,livingroom,5
prd98,microwave oven,kitchen,3
prd99,L-shaped sofa,livingroom,1
prd100,queen size bed,bedroom,9
prd101,L-shaped sofa,livingroom,1
prd102,microwave oven,kitchen,5
prd103,L-shaped sofa,livingroom,2
prd104,L-shaped sofa,livingroom,1
prd105,queen size bed,bedroom,4
