product_id,description,product_type,quantity_available
prd001,Dummy Product 1,Dummy Type 2,48
prd002,Dummy Product 2,Dummy Type 2,36
prd003,Dummy Product 3,Dummy Type 2,3
prd004,Dummy Product 4,Dummy Type 3,61
prd005,Dummy Product 5,Dummy Type 1,53
prd006,Dummy Product 6,Dummy Type 3,31
prd007,Dummy Product 7,Dummy Type 5,91
prd008,Dummy Product 8,Dummy Type 2,91
prd009,Dummy Product 9,Dummy Type 1,15
prd010,Dummy Product 10,Dummy Type 3,42
prd011,Dummy Product 11,Dummy Type 1,13
prd012,Dummy Product 12,Dummy Type 1,9
prd013,Dummy Product 13,Dummy Type 4,5
prd014,Dummy Product 14,Dummy Type 5,5
prd015,Dummy Product 15,Dummy Type 5,66
prd016,Dummy Product 16,Dummy Type 1,20
prd017,Dummy Product 17,Dummy Type 5,56
prd018,Dummy Product 18,Dummy Type 3,22
prd019,Dummy Product 19,Dummy Type 1,47
prd020,Dummy Product 20,Dummy Type 2,89
prd021,Dummy Product 21,Dummy Type 1,27
prd022,Dummy Product 22,Dummy Type 1,44
prd023,Dummy Product 23,Dummy Type 5,81
prd024,Dummy Product 24,Dummy Type 4,18
prd025,Dummy Product 25,Dummy Type 2,44
prd026,Dummy Product 26,Dummy Type 5,50
prd027,Dummy Product 27,Dummy Type 4,95
prd028,Dummy Product 28,Dummy Type 4,3
prd029,Dummy Product 29,Dummy Type 5,58
prd030,Dummy Product 30,Dummy Type 1,76
prd031,Dummy Product 31,Dummy Type 2,56
prd032,Dummy Product 32,Dummy Type 2,87
prd033,Dummy Product 33,Dummy Type 1,28
prd034,Dummy Product 34,Dummy Type 1,15
prd035,Dummy Product 35,Dummy Type 2,36
prd036,Dummy Product 36,Dummy Type 2,79
prd037,Dummy Product 37,Dummy Type 2,46
prd038,Dummy Product 38,Dummy Type 2,96
prd039,Dummy Product 39,Dummy Type 3,10
prd040,Dummy Product 40,Dummy Type 3,53
prd041,Dummy Product 41,Dummy Type 1,23
prd042,Dummy Product 42,Dummy Type 4,41
prd043,Dummy Product 43,Dummy Type 2,24
prd044,Dummy Product 44,Dummy Type 4,26
