product_id,description,product_type,quantity_available
prod_1,Brown Leather Sofa,Furniture,18
prod_2,Gray Cloth Recliner,Furniture,0
prod_3,Wood Dining Table,Furniture,10
prod_4,Standard Oven,ElectricAppliance,6
prod_5,50cc Moped,Other,1
prod_6,Orange Floor Lamp,Other,707
prod_7,Violet Dining Table,Furniture,792
prod_8,Cyan Oven,ElectricAppliance,329
prod_9,Blue Refrigerator,ElectricAppliance,589
prod_10,Hot Pink Picture Frame,Other,918
prod_11,Orange Dishwasher,ElectricAppliance,271
prod_12,Gray Dishwasher,ElectricAppliance,845
prod_13,Yellow Refrigerator,ElectricAppliance,592
prod_14,Mint Salad Plate,Other,414
prod_15,Maroon Recliner,Furniture,392
prod_16,Gray Barstool,Furniture,929
prod_17,Yellow Bowl,Other,694
prod_18,Gray Bowl,Other,821
prod_19,Blue Armoire,Furniture,664
prod_20,Burgundy China Cabinet,Furniture,615
prod_21,Yellow Refrigerator,ElectricAppliance,593
prod_22,Gray Bed,Furniture,966
prod_23,Mint Washer,ElectricAppliance,853
prod_24,Gray Table Lamp,Other,164
prod_25,Red Fake Flowers,Other,195
prod_26,Blue Coffee Table,Furniture,906
prod_27,Green Washer,ElectricAppliance,683
prod_28,Yellow Barstool,Furniture,586
prod_29,Orange Serving Dish,Other,868
prod_30,Yellow Curio Cabinet,Furniture,320
prod_31,Indigo Dishwasher,ElectricAppliance,739
prod_32,Yellow Fake Flowers,Other,305
prod_33,Yellow Refrigerator,ElectricAppliance,245
prod_34,Blue Oven,ElectricAppliance,565
prod_35,Indigo Bed,Furniture,732
prod_36,Purple Dining Table,Furniture,865
prod_37,Brown Vase,Other,777
prod_38,Cyan Dryer,ElectricAppliance,165
prod_39,Green Dryer,ElectricAppliance,175
prod_40,Green Fake Flowers,Other,453
prod_41,Violet Dresser,Furniture,170
prod_42,Burgundy Recliner,Furniture,766
prod_43,Indigo Picture Frame,Other,321
prod_44,Violet Dryer,ElectricAppliance,889
prod_45,Maroon Oven,ElectricAppliance,841
prod_46,Purple Microwave,ElectricAppliance,212
prod_47,Hot Pink Coffee Table,Furniture,551
prod_48,Yellow Bowl,Other,285
prod_49,Violet Dining Chair,Furniture,292
prod_50,Gray Fake Flowers,Other,225
prod_51,Maroon Dryer,ElectricAppliance,632
prod_52,Cyan Oven,ElectricAppliance,427
prod_53,Brown Washer,ElectricAppliance,669
prod_54,Violet Serving Dish,Other,190
prod_55,Gray Armoire,Furniture,886
prod_56,Gray Fake Flowers,Other,883
prod_57,Brown Bed,Furniture,196
prod_58,Maroon Vase,Other,756
prod_59,Cyan Fake Flowers,Other,496
prod_60,Orange Oven,ElectricAppliance,354
prod_61,Gray Oven,ElectricAppliance,877
prod_62,Maroon End Table,Furniture,929
prod_63,Red Serving Dish,Other,982
prod_64,Hot Pink Bowl,Other,808
prod_65,Cyan Fake Grass,Other,951
prod_66,Gray Microwave,ElectricAppliance,634
prod_67,Hot Pink Recliner,Furniture,787
prod_68,Mint Table Lamp,Other,721
prod_69,Mint Microwave,ElectricAppliance,798
prod_70,Blue Barstool,Furniture,196
prod_71,Gray Refrigerator,ElectricAppliance,637
prod_72,Maroon Recliner,Furniture,551
prod_73,Brown Dryer,ElectricAppliance,169
prod_74,Red Dinner Plate,Other,479
prod_75,Yellow Curio Cabinet,Furniture,662
prod_76,Burgundy Dishwasher,ElectricAppliance,185
prod_77,Green Dining Chair,Furniture,300
prod_78,Orange Dryer,ElectricAppliance,347
prod_79,Green Dryer,ElectricAppliance,684
prod_80,Green Curio Cabinet,Furniture,928
prod_81,Orange Bowl,Other,750
prod_82,Yellow Floor Lamp,Other,985
prod_83,Hot Pink Refrigerator,ElectricAppliance,893
prod_84,Burgundy Armoire,Furniture,541
prod_85,Red Dryer,ElectricAppliance,574
prod_86,Green Dinner Plate,Other,494
prod_87,Yellow Dryer,ElectricAppliance,370
prod_88,Violet Dinner Plate,Other,758
prod_89,Brown Picture Frame,Other,392
prod_90,Cyan Fake Grass,Other,956
prod_91,Burgundy Floor Lamp,Other,844
prod_92,Purple Dining Table,Furniture,645
prod_93,Cyan Coffee Table,Furniture,751
prod_94,Gray Serving Dish,Other,360
prod_95,Indigo Fake Grass,Other,560
prod_96,Indigo Salad Plate,Other,375
prod_97,Burgundy Salad Plate,Other,457
prod_98,Red Dining Chair,Furniture,589
prod_99,Green Washer,ElectricAppliance,738
prod_100,Burgundy Table Lamp,Other,112
prod_101,Yellow Picture Frame,Other,563
prod_102,Yellow Dresser,Furniture,715
prod_103,Maroon Dinner Plate,Other,162
prod_104,Gray Nightstand,Furniture,629
prod_105,Burgundy Oven,ElectricAppliance,771
prod_106,Mint End Table,Furniture,374
prod_107,Hot Pink Coffee Table,Furniture,535
prod_108,Burgundy Nightstand,Furniture,559
prod_109,Orange Curio Cabinet,Furniture,168
prod_110,Cyan Curio Cabinet,Furniture,929
prod_111,Green Microwave,ElectricAppliance,901
prod_112,Hot Pink Vase,Other,882
prod_113,Orange Recliner,Furniture,766
prod_114,Indigo Recliner,Furniture,438
prod_115,Burgundy Serving Dish,Other,610
prod_116,Cyan Dinner Plate,Other,320
prod_117,Maroon Nightstand,Furniture,935
prod_118,Orange Refrigerator,ElectricAppliance,976
prod_119,Indigo Dishwasher,ElectricAppliance,792
prod_120,Red Floor Lamp,Other,344
prod_121,Brown Sofa,Furniture,281
prod_122,Hot Pink End Table,Furniture,320
prod_123,Orange Coffee Table,Furniture,701
prod_124,Hot Pink Bed,Furniture,634
prod_125,Violet Dining Table,Furniture,444
prod_126,Maroon China Cabinet,Furniture,760
prod_127,Indigo China Cabinet,Furniture,264
prod_128,Yellow Dining Chair,Furniture,568
prod_129,Yellow Serving Dish,Other,866
prod_130,Brown Dryer,ElectricAppliance,186
prod_131,Indigo Dresser,Furniture,917
prod_132,Brown Floor Lamp,Other,691
prod_133,Green Refrigerator,ElectricAppliance,825
prod_134,Maroon Washer,ElectricAppliance,160
prod_135,Green Microwave,ElectricAppliance,548
prod_136,Cyan Refrigerator,ElectricAppliance,636
prod_137,Indigo Bed,Furniture,534
prod_138,Brown Refrigerator,ElectricAppliance,107
prod_139,Violet Floor Lamp,Other,947
prod_140,Gray Serving Dish,Other,194
prod_141,Cyan Microwave,ElectricAppliance,229
prod_142,Green Recliner,Furniture,178
prod_143,Hot Pink Microwave,ElectricAppliance,846
prod_144,Indigo Refrigerator,ElectricAppliance,896
prod_145,Hot Pink Microwave,ElectricAppliance,254
prod_146,Burgundy Refrigerator,ElectricAppliance,612
prod_147,Indigo Oven,ElectricAppliance,961
prod_148,Orange Curio Cabinet,Furniture,624
prod_149,Mint Table Lamp,Other,809
prod_150,Mint Dining Chair,Furniture,569
prod_151,Hot Pink Salad Plate,Other,535
prod_152,Hot Pink Dryer,ElectricAppliance,778
prod_153,Yellow Refrigerator,ElectricAppliance,458
prod_154,Cyan Dinner Plate,Other,254
prod_155,Purple Dishwasher,ElectricAppliance,443
prod_156,Green Bowl,Other,501
prod_157,Blue Refrigerator,ElectricAppliance,704
prod_158,Cyan Bed,Furniture,178
prod_159,Green Fake Grass,Other,612
prod_160,Cyan Refrigerator,ElectricAppliance,628
prod_161,Red Vase,Other,440
prod_162,Purple Table Lamp,Other,360
prod_163,Mint Vase,Other,686
prod_164,Blue Dryer,ElectricAppliance,130
prod_165,Gray Washer,ElectricAppliance,443
prod_166,Burgundy Fake Flowers,Other,963
prod_167,Hot Pink Dryer,ElectricAppliance,956
prod_168,Indigo Nightstand,Furniture,502
prod_169,Yellow Serving Dish,Other,331
prod_170,Red Picture Frame,Other,852
prod_171,Mint Floor Lamp,Other,847
prod_172,Cyan End Table,Furniture,571
prod_173,Purple Fake Flowers,Other,857
prod_174,Brown Fake Grass,Other,159
prod_175,Indigo Refrigerator,ElectricAppliance,597
prod_176,Green Barstool,Furniture,203
prod_177,Red Refrigerator,ElectricAppliance,175
prod_178,Green Sofa,Furniture,626
prod_179,Purple China Cabinet,Furniture,793
prod_180,Green Recliner,Furniture,865
prod_181,Hot Pink Salad Plate,Other,366
