1,3641,973,11/25/2019,None
2,9819,391,06/17/2010,None
3,3907,575,01/19/2010,None
4,4023,846,12/06/2010,None
5,2535,406,01/04/2015,None
6,3300,582,04/29/2012,None
7,3477,591,12/23/2014,None
8,4228,524,03/22/2011,None
9,4673,644,01/01/2014,02/16/2019
10,1284,413,03/05/2010,10/25/2015
11,2896,362,06/14/2013,02/02/2016
12,1914,468,12/18/2017,03/07/2019
13,5726,176,12/23/2014,11/14/2017
14,3232,439,11/27/2014,None
15,8313,454,05/19/2010,03/27/2013
16,1556,989,01/26/2015,01/27/2019
17,4169,877,07/11/2016,06/04/2019
18,8537,443,07/24/2016,04/29/2017
19,1333,658,12/01/2016,None
20,1590,208,06/22/2017,06/27/2018
21,9185,206,11/19/2018,None
22,7308,859,06/23/2016,None
23,2858,868,01/28/2011,None
24,193,886,05/21/2017,05/29/2017
25,6610,698,07/20/2015,None
26,8670,329,05/20/2016,None
27,7468,217,03/16/2019,None
28,3171,12,03/26/2018,08/30/2018
29,1071,610,08/09/2017,04/19/2018
30,1143,569,01/18/2014,02/17/2014
31,3472,353,07/16/2013,None
32,3640,320,09/21/2013,None
33,4351,365,04/10/2013,01/28/2016
34,8260,849,10/18/2015,None
35,567,539,11/26/2012,None
36,7967,535,01/29/2016,None
37,4174,396,04/26/2012,08/24/2015
38,8700,944,08/06/2011,09/04/2012
39,5238,217,11/21/2012,None
40,3585,453,08/31/2012,10/02/2018
41,3171,461,07/22/2016,02/07/2017
42,4548,112,05/12/2014,04/20/2019
43,8311,228,12/14/2016,09/24/2019
44,968,177,05/28/2012,None
45,3133,260,06/15/2011,None
46,8933,654,05/22/2016,03/27/2017
47,2762,109,01/15/2017,None
48,1484,872,09/13/2013,06/11/2018
49,5979,37,08/29/2019,None
50,1489,330,07/09/2014,11/01/2014
51,402,174,03/12/2017,08/11/2017
52,8133,171,06/14/2016,None
53,6293,571,12/05/2015,05/29/2019
54,9363,94,01/02/2011,None
55,1685,425,11/23/2011,None
56,2176,322,09/26/2016,10/15/2017
57,3753,52,05/18/2017,None
58,5539,843,03/26/2015,08/25/2015
59,9851,570,12/18/2017,09/02/2018
60,7088,520,03/29/2015,11/28/2017
61,4534,597,09/17/2016,06/05/2017
62,2217,403,01/11/2014,None
63,5990,505,12/04/2014,None
64,7391,474,12/20/2010,None
65,1333,759,12/14/2016,02/07/2019
66,5703,215,04/17/2016,None
67,6252,486,08/06/2016,11/05/2018
68,3567,594,05/03/2010,12/18/2015
