rental_id,customer_id,product_id,quantity
r1,user697,prd516,7
r2,user487,prd531,4
r3,user899,prd120,5
r4,user740,prd144,3
r5,user115,prd502,1
r6,user679,prd626,2
r7,user230,prd543,7
r8,user598,prd437,1
r9,user199,prd37,4
r10,user586,prd628,5
r11,user964,prd798,6
r12,user292,prd714,1
r13,user488,prd663,1
r14,user618,prd384,7
r15,user250,prd186,5
r16,user208,prd670,7
r17,user737,prd549,5
r18,user196,prd992,7
r19,user431,prd853,5
r20,user979,prd244,5
r21,user921,prd373,2
r22,user354,prd536,6
r23,user227,prd518,5
r24,user840,prd730,6
r25,user622,prd990,2
r26,user194,prd469,4
r27,user312,prd235,3
r28,user260,prd396,5
r29,user377,prd330,1
r30,user997,prd533,2
r31,user272,prd557,6
r32,user960,prd369,5
r33,user160,prd801,4
r34,user777,prd416,4
r35,user657,prd72,7
r36,user110,prd379,5
r37,user315,prd897,2
r38,user124,prd731,6
r39,user408,prd376,4
r40,user744,prd19,5
r41,user169,prd68,4
r42,user784,prd618,1
r43,user880,prd462,2
r44,user999,prd453,2
r45,user114,prd482,4
r46,user619,prd993,2
r47,user229,prd43,3
r48,user940,prd803,4
r49,user516,prd920,2
r50,user22,prd290,1
r51,user456,prd384,7
r52,user998,prd371,4
r53,user252,prd24,4
r54,user414,prd989,7
r55,user593,prd363,2
r56,user356,prd574,4
r57,user844,prd190,1
r58,user998,prd321,6
r59,user848,prd78,3
r60,user906,prd896,2
r61,user375,prd24,5
r62,user443,prd83,5
r63,user940,prd289,5
r64,user283,prd387,6
r65,user349,prd126,1
r66,user706,prd784,4
r67,user3,prd516,7
r68,user683,prd263,4
r69,user149,prd45,7
r70,user729,prd591,5
r71,user717,prd145,5
r72,user817,prd292,6
r73,user725,prd168,7
r74,user253,prd308,2
r75,user361,prd408,5
r76,user49,prd209,5
r77,user203,prd654,3
r78,user996,prd342,2
r79,user50,prd855,4
r80,user474,prd559,6
r81,user442,prd712,1
r82,user292,prd697,7
r83,user702,prd601,7
r84,user870,prd30,4
r85,user750,prd452,7
r86,user339,prd440,4
r87,user885,prd657,3
r88,user985,prd67,1
r89,user697,prd636,5
r90,user993,prd517,5
r91,user194,prd989,3
r92,user953,prd553,6
r93,user470,prd532,4
r94,user158,prd384,1
r95,user200,prd429,7
r96,user169,prd957,3
r97,user856,prd761,2
r98,user111,prd536,6
r99,user994,prd788,4
r100,user971,prd477,1
r101,user219,prd149,1
r102,user134,prd593,5
r103,user230,prd477,4
r104,user557,prd704,1
r105,user164,prd489,6
r106,user987,prd715,5
r107,user154,prd280,6
r108,user250,prd96,5
r109,user626,prd495,3
r110,user698,prd321,6
r111,user475,prd278,4
r112,user682,prd135,3
r113,user146,prd331,5
r114,user893,prd733,2
r115,user327,prd189,1
r116,user500,prd710,5
r117,user383,prd135,5
r118,user815,prd871,5
r119,user2,prd737,5
r120,user265,prd796,3
r121,user654,prd478,3
r122,user917,prd160,1
r123,user256,prd782,2
r124,user554,prd893,6
r125,user532,prd669,6
r126,user435,prd141,3
r127,user451,prd497,5
r128,user640,prd938,5
r129,user661,prd895,7
r130,user84,prd493,1
r131,user636,prd531,3
r132,user36,prd907,1
r133,user684,prd553,1
r134,user743,prd316,3
r135,user361,prd262,4
r136,user832,prd159,1
r137,user293,prd106,3
r138,user239,prd353,6
r139,user405,prd441,7
r140,user471,prd638,1
r141,user987,prd969,4
r142,user495,prd858,5
r143,user202,prd534,5
r144,user982,prd109,7
r145,user245,prd823,5
r146,user38,prd86,5
r147,user841,prd47,2
r148,user249,prd811,6
r149,user623,prd907,4
r150,user244,prd988,7
r151,user470,prd808,3
r152,user952,prd691,6
r153,user992,prd770,7
r154,user752,prd518,1
r155,user754,prd460,3
r156,user56,prd923,5
r157,user992,prd202,2
r158,user156,prd828,6
r159,user908,prd906,7
r160,user168,prd662,5
r161,user528,prd591,5
r162,user897,prd174,7
r163,user899,prd138,7
r164,user690,prd969,4
r165,user390,prd996,6
r166,user160,prd270,7
r167,user608,prd357,3
r168,user260,prd274,7
r169,user533,prd174,3
r170,user667,prd935,3
r171,user198,prd258,3
r172,user946,prd154,3
r173,user731,prd405,5
r174,user377,prd34,3
r175,user673,prd296,2
r176,user244,prd240,3
r177,user174,prd61,7
r178,user2,prd938,7
r179,user853,prd925,2
r180,user568,prd714,4
r181,user662,prd476,5
r182,user79,prd7,7
r183,user77,prd854,1
r184,user574,prd851,4
r185,user822,prd585,5
r186,user891,prd808,3
r187,user629,prd761,2
r188,user995,prd942,4
r189,user804,prd853,2
r190,user396,prd273,5
r191,user998,prd904,1
r192,user998,prd40,3
r193,user753,prd826,4
r194,user499,prd211,5
r195,user752,prd258,6
r196,user624,prd196,5
r197,user71,prd353,6
r198,user263,prd420,4
r199,user673,prd151,3
r200,user42,prd7,6
r201,user596,prd243,1
r202,user830,prd763,2
r203,user758,prd558,7
r204,user996,prd899,3
r205,user285,prd56,3
r206,user159,prd149,1
r207,user919,prd31,4
r208,user685,prd498,7
r209,user616,prd117,2
r210,user551,prd553,7
r211,user953,prd205,6
r212,user152,prd193,1
r213,user18,prd314,2
r214,user591,prd694,2
r215,user481,prd748,3
r216,user710,prd460,3
r217,user532,prd324,1
r218,user509,prd152,6
r219,user924,prd765,7
r220,user154,prd326,1
r221,user407,prd354,3
r222,user916,prd931,6
r223,user971,prd575,6
r224,user251,prd47,7
r225,user618,prd136,3
r226,user866,prd727,5
r227,user499,prd206,2
r228,user723,prd738,7
r229,user827,prd167,1
r230,user760,prd292,4
r231,user426,prd426,2
r232,user983,prd448,2
r233,user288,prd305,5
r234,user935,prd427,1
r235,user533,prd204,7
r236,user838,prd396,2
r237,user459,prd291,4
r238,user952,prd365,3
r239,user195,prd485,6
r240,user381,prd512,6
r241,user935,prd754,5
r242,user427,prd111,3
r243,user860,prd263,1
r244,user312,prd439,5
r245,user935,prd969,6
r246,user240,prd670,1
r247,user525,prd497,1
r248,user95,prd10,1
r249,user737,prd152,5
r250,user853,prd592,6
r251,user697,prd207,4
r252,user194,prd270,3
r253,user527,prd192,3
r254,user913,prd789,4
r255,user445,prd997,7
r256,user123,prd400,6
r257,user797,prd566,3
r258,user521,prd367,7
r259,user503,prd36,7
r260,user356,prd244,1
r261,user483,prd540,5
r262,user195,prd267,3
r263,user435,prd870,2
r264,user57,prd852,3
r265,user174,prd889,2
r266,user313,prd426,1
r267,user129,prd345,5
r268,user362,prd773,6
r269,user740,prd127,2
r270,user419,prd768,6
r271,user591,prd497,2
r272,user534,prd127,3
r273,user239,prd414,2
r274,user938,prd13,2
r275,user201,prd719,6
r276,user878,prd853,1
r277,user250,prd928,3
r278,user312,prd450,4
r279,user685,prd595,7
r280,user484,prd417,4
r281,user281,prd292,6
r282,user397,prd346,1
r283,user954,prd458,5
r284,user917,prd536,4
r285,user423,prd354,1
r286,user528,prd608,3
r287,user496,prd441,1
r288,user701,prd402,3
r289,user613,prd284,2
r290,user621,prd184,1
r291,user84,prd704,2
r292,user970,prd429,4
r293,user666,prd723,4
r294,user102,prd606,7
r295,user504,prd954,4
r296,user379,prd994,2
r297,user269,prd542,5
r298,user540,prd150,1
r299,user985,prd641,1
r300,user684,prd984,4
r301,user910,prd408,7
r302,user526,prd414,4
r303,user52,prd649,2
r304,user220,prd327,1
r305,user749,prd890,5
r306,user563,prd922,2
r307,user74,prd235,5
r308,user580,prd211,2
r309,user200,prd516,6
r310,user162,prd850,4
r311,user194,prd264,4
r312,user745,prd651,1
r313,user70,prd621,1
