customer_id1,product_id1
customer_id2,product_id2
customer_id3,product_id3
customer_id4,product_id4
customer_id5,product_id5
customer_id6,product_id6
customer_id7,product_id7
customer_id8,product_id8
customer_id9,product_id9
customer_id10,product_id10
customer_id11,product_id11
customer_id12,product_id12
customer_id13,product_id13
customer_id14,product_id14
customer_id15,product_id15
customer_id16,product_id16
customer_id17,product_id17
customer_id18,product_id18
customer_id19,product_id19
customer_id20,product_id20
customer_id21,product_id21
customer_id22,product_id22
customer_id23,product_id23
customer_id24,product_id24
customer_id25,product_id25
customer_id26,product_id26
customer_id27,product_id27
customer_id28,product_id28
customer_id29,product_id29
customer_id30,product_id30
customer_id31,product_id31
customer_id32,product_id32
customer_id33,product_id33
customer_id34,product_id34
customer_id35,product_id35
customer_id36,product_id36
customer_id37,product_id37
customer_id38,product_id38
customer_id39,product_id39
customer_id40,product_id40
customer_id41,product_id41
customer_id42,product_id42
customer_id43,product_id43
customer_id44,product_id44
customer_id45,product_id45
customer_id46,product_id46
customer_id47,product_id47
customer_id48,product_id48
customer_id49,product_id49
customer_id50,product_id50
customer_id51,product_id51
customer_id52,product_id52
customer_id53,product_id53
customer_id54,product_id54
customer_id55,product_id55
customer_id56,product_id56
customer_id57,product_id57
customer_id58,product_id58
customer_id59,product_id59
customer_id60,product_id60
customer_id61,product_id61
customer_id62,product_id62
customer_id63,product_id63
customer_id64,product_id64
customer_id65,product_id65
customer_id66,product_id66
customer_id67,product_id67
customer_id68,product_id68
customer_id69,product_id69
customer_id70,product_id70
customer_id71,product_id71
customer_id72,product_id72
customer_id73,product_id73
customer_id74,product_id74
customer_id75,product_id75
customer_id76,product_id76
customer_id77,product_id77
customer_id78,product_id78
customer_id79,product_id79
customer_id80,product_id80
customer_id81,product_id81
customer_id82,product_id82
customer_id83,product_id83
customer_id84,product_id84
customer_id85,product_id85
customer_id86,product_id86
customer_id87,product_id87
customer_id88,product_id88
customer_id89,product_id89
customer_id90,product_id90
customer_id91,product_id91
customer_id92,product_id92
customer_id93,product_id93
customer_id94,product_id94
customer_id95,product_id95
customer_id96,product_id96
customer_id97,product_id97
customer_id98,product_id98
customer_id99,product_id99
customer_id100,product_id100
customer_id101,product_id101
customer_id102,product_id102
customer_id103,product_id103
customer_id104,product_id104
customer_id105,product_id105
customer_id106,product_id106
customer_id107,product_id107
customer_id108,product_id108
customer_id109,product_id109
customer_id110,product_id110
customer_id111,product_id111
customer_id112,product_id112
customer_id113,product_id113
customer_id114,product_id114
customer_id115,product_id115
customer_id116,product_id116
customer_id117,product_id117
customer_id118,product_id118
customer_id119,product_id119
customer_id120,product_id120
customer_id121,product_id121
customer_id122,product_id122
customer_id123,product_id123
customer_id124,product_id124
customer_id125,product_id125
customer_id126,product_id126
customer_id127,product_id127
customer_id128,product_id128
customer_id129,product_id129
customer_id130,product_id130
customer_id131,product_id131
customer_id132,product_id132
customer_id133,product_id133
customer_id134,product_id134
customer_id135,product_id135
customer_id136,product_id136
customer_id137,product_id137
customer_id138,product_id138
customer_id139,product_id139
customer_id140,product_id140
customer_id141,product_id141
customer_id142,product_id142
customer_id143,product_id143
customer_id144,product_id144
customer_id145,product_id145
customer_id146,product_id146
customer_id147,product_id147
customer_id148,product_id148
customer_id149,product_id149
customer_id150,product_id150
customer_id151,product_id151
customer_id152,product_id152
customer_id153,product_id153
customer_id154,product_id154
customer_id155,product_id155
customer_id156,product_id156
customer_id157,product_id157
customer_id158,product_id158
customer_id159,product_id159
customer_id160,product_id160
customer_id161,product_id161
customer_id162,product_id162
customer_id163,product_id163
customer_id164,product_id164
customer_id165,product_id165
customer_id166,product_id166
customer_id167,product_id167
customer_id168,product_id168
customer_id169,product_id169
customer_id170,product_id170
customer_id171,product_id171
customer_id172,product_id172
customer_id173,product_id173
customer_id174,product_id174
customer_id175,product_id175
customer_id176,product_id176
customer_id177,product_id177
customer_id178,product_id178
customer_id179,product_id179
customer_id180,product_id180
customer_id181,product_id181
customer_id182,product_id182
customer_id183,product_id183
customer_id184,product_id184
customer_id185,product_id185
customer_id186,product_id186
customer_id187,product_id187
customer_id188,product_id188
customer_id189,product_id189
customer_id190,product_id190
customer_id191,product_id191
customer_id192,product_id192
customer_id193,product_id193
customer_id194,product_id194
customer_id195,product_id195
customer_id196,product_id196
customer_id197,product_id197
customer_id198,product_id198
customer_id199,product_id199
customer_id200,product_id200
customer_id201,product_id201
customer_id202,product_id202
customer_id203,product_id203
customer_id204,product_id204
customer_id205,product_id205
customer_id206,product_id206
customer_id207,product_id207
customer_id208,product_id208
customer_id209,product_id209
customer_id210,product_id210
customer_id211,product_id211
customer_id212,product_id212
customer_id213,product_id213
customer_id214,product_id214
customer_id215,product_id215
customer_id216,product_id216
customer_id217,product_id217
customer_id218,product_id218
customer_id219,product_id219
customer_id220,product_id220
customer_id221,product_id221
customer_id222,product_id222
customer_id223,product_id223
customer_id224,product_id224
customer_id225,product_id225
customer_id226,product_id226
customer_id227,product_id227
customer_id228,product_id228
customer_id229,product_id229
customer_id230,product_id230
customer_id231,product_id231
customer_id232,product_id232
customer_id233,product_id233
customer_id234,product_id234
customer_id235,product_id235
customer_id236,product_id236
customer_id237,product_id237
customer_id238,product_id238
customer_id239,product_id239
customer_id240,product_id240
customer_id241,product_id241
customer_id242,product_id242
customer_id243,product_id243
customer_id244,product_id244
customer_id245,product_id245
customer_id246,product_id246
customer_id247,product_id247
customer_id248,product_id248
customer_id249,product_id249
customer_id250,product_id250
customer_id251,product_id251
customer_id252,product_id252
customer_id253,product_id253
customer_id254,product_id254
customer_id255,product_id255
customer_id256,product_id256
customer_id257,product_id257
customer_id258,product_id258
customer_id259,product_id259
customer_id260,product_id260
customer_id261,product_id261
customer_id262,product_id262
customer_id263,product_id263
customer_id264,product_id264
customer_id265,product_id265
customer_id266,product_id266
customer_id267,product_id267
customer_id268,product_id268
customer_id269,product_id269
customer_id270,product_id270
customer_id271,product_id271
customer_id272,product_id272
customer_id273,product_id273
customer_id274,product_id274
customer_id275,product_id275
customer_id276,product_id276
customer_id277,product_id277
customer_id278,product_id278
customer_id279,product_id279
customer_id280,product_id280
customer_id281,product_id281
customer_id282,product_id282
customer_id283,product_id283
customer_id284,product_id284
customer_id285,product_id285
customer_id286,product_id286
customer_id287,product_id287
customer_id288,product_id288
customer_id289,product_id289
customer_id290,product_id290
customer_id291,product_id291
customer_id292,product_id292
customer_id293,product_id293
customer_id294,product_id294
customer_id295,product_id295
customer_id296,product_id296
customer_id297,product_id297
customer_id298,product_id298
customer_id299,product_id299
customer_id300,product_id300
customer_id301,product_id301
customer_id302,product_id302
customer_id303,product_id303
customer_id304,product_id304
customer_id305,product_id305
customer_id306,product_id306
customer_id307,product_id307
customer_id308,product_id308
customer_id309,product_id309
customer_id310,product_id310
customer_id311,product_id311
customer_id312,product_id312
customer_id313,product_id313
customer_id314,product_id314
customer_id315,product_id315
customer_id316,product_id316
customer_id317,product_id317
customer_id318,product_id318
customer_id319,product_id319
customer_id320,product_id320
customer_id321,product_id321
customer_id322,product_id322
customer_id323,product_id323
customer_id324,product_id324
customer_id325,product_id325
customer_id326,product_id326
customer_id327,product_id327
customer_id328,product_id328
customer_id329,product_id329
customer_id330,product_id330
customer_id331,product_id331
customer_id332,product_id332
customer_id333,product_id333
customer_id334,product_id334
customer_id335,product_id335
customer_id336,product_id336
customer_id337,product_id337
customer_id338,product_id338
customer_id339,product_id339
customer_id340,product_id340
customer_id341,product_id341
customer_id342,product_id342
customer_id343,product_id343
customer_id344,product_id344
customer_id345,product_id345
customer_id346,product_id346
customer_id347,product_id347
customer_id348,product_id348
customer_id349,product_id349
customer_id350,product_id350
customer_id351,product_id351
customer_id352,product_id352
customer_id353,product_id353
customer_id354,product_id354
customer_id355,product_id355
customer_id356,product_id356
customer_id357,product_id357
customer_id358,product_id358
customer_id359,product_id359
customer_id360,product_id360
customer_id361,product_id361
customer_id362,product_id362
customer_id363,product_id363
customer_id364,product_id364
customer_id365,product_id365
customer_id366,product_id366
customer_id367,product_id367
customer_id368,product_id368
customer_id369,product_id369
customer_id370,product_id370
customer_id371,product_id371
customer_id372,product_id372
customer_id373,product_id373
customer_id374,product_id374
customer_id375,product_id375
customer_id376,product_id376
customer_id377,product_id377
customer_id378,product_id378
customer_id379,product_id379
customer_id380,product_id380
customer_id381,product_id381
customer_id382,product_id382
customer_id383,product_id383
customer_id384,product_id384
customer_id385,product_id385
customer_id386,product_id386
customer_id387,product_id387
customer_id388,product_id388
customer_id389,product_id389
customer_id390,product_id390
customer_id391,product_id391
customer_id392,product_id392
customer_id393,product_id393
customer_id394,product_id394
customer_id395,product_id395
customer_id396,product_id396
customer_id397,product_id397
customer_id398,product_id398
customer_id399,product_id399
customer_id400,product_id400
customer_id401,product_id401
customer_id402,product_id402
customer_id403,product_id403
customer_id404,product_id404
customer_id405,product_id405
customer_id406,product_id406
