product_id,user_id
prd001,user002
prd001,user003
prd002,user001
prd002,user004
prd002,user005
prd003,user005
prd004,user002
prd004,user005
prd005,user003
prd005,user004
prd006,user005
prd007,user006
prd008,user007
prd002,user008
prd002,user009
prd002,user010
prd002,user011
prd002,user012
prd002,user013
prd002,user014
prd002,user015
prd002,user016
prd002,user017
prd002,user018
prd002,user019
prd002,user020
prd002,user021
prd002,user022
prd002,user023
prd002,user024
prd002,user025
prd002,user026
prd002,user027
prd002,user028
prd002,user029
prd002,user030
prd002,user031
prd002,user032
prd002,user033
prd002,user034
prd002,user035
prd002,user036
prd002,user037
prd002,user038
prd002,user039
prd002,user040
prd002,user041
prd002,user042
prd002,user043
prd002,user044
prd002,user045
prd002,user046
prd002,user047
prd002,user048
prd002,user049
prd002,user050
prd002,user051
prd002,user052
prd002,user053
prd002,user054
prd002,user055
prd002,user056
prd002,user057
prd002,user058
prd002,user059
prd002,user060
prd002,user061
prd002,user062
prd002,user063
prd002,user064
prd002,user065
prd002,user066
prd002,user067
prd002,user068
prd002,user069
prd002,user070
prd002,user071
prd002,user072
prd002,user073
prd002,user074
prd002,user075
prd002,user076
prd002,user077
prd002,user078
prd002,user079
prd002,user080
prd002,user081
prd002,user082
prd002,user083
prd002,user084
prd002,user085
prd002,user086
prd002,user087
prd002,user088
prd002,user089
prd002,user090
prd002,user091
prd002,user092
prd002,user093
prd002,user094
prd002,user095
prd002,user096
prd002,user097
prd002,user098
prd002,user099
prd002,user100
prd002,user101
prd002,user102
prd002,user103
prd002,user104
prd002,user105
prd002,user106
prd002,user107
prd002,user108
prd002,user109
prd002,user110
prd002,user111
prd002,user112
prd002,user113
prd002,user114
prd002,user115
prd002,user116
prd002,user117
prd002,user118
prd002,user119
prd002,user120
prd002,user121
prd002,user122
prd002,user123
prd002,user124
prd002,user125
prd002,user126
prd002,user127
prd002,user128
prd002,user129
prd002,user130
prd002,user131
prd002,user132
prd002,user133
prd002,user134
prd002,user135
prd002,user136
prd002,user137
prd002,user138
prd002,user139
prd002,user140
prd002,user141
prd002,user142
prd002,user143
prd002,user144
prd002,user145
prd002,user146
prd002,user147
prd002,user148
prd002,user149
prd002,user150
prd002,user151
prd002,user152
prd002,user153
prd002,user154
prd002,user155
prd002,user156
prd002,user157
prd002,user158
prd002,user159
prd002,user160
prd002,user161
prd002,user162
prd002,user163
prd002,user164
prd002,user165
prd002,user166
prd002,user167
prd002,user168
prd002,user169
prd002,user170
prd002,user171
prd002,user172
prd002,user173
prd002,user174
prd002,user175
prd002,user176
prd002,user177
prd002,user178
prd002,user179
prd002,user180
prd002,user181
prd002,user182
prd002,user183
prd002,user184
prd002,user185
prd002,user186
prd002,user187
prd002,user188
prd002,user189
prd002,user190
prd002,user191
prd002,user192
prd002,user193
prd002,user194
prd002,user195
prd002,user196
prd002,user197
prd002,user198
prd002,user199
prd002,user200
prd002,user201
prd002,user202
prd002,user203
prd002,user204
prd002,user205
prd002,user206
prd002,user207
prd002,user208
prd002,user209
prd002,user210
prd002,user211
prd002,user212
