1,2,3,4,2010-10-25,2010-10-25,1
2,3,4,5,2018-01-20,2018-01-20,2
3,4,5,6,2016-03-07,2016-03-07,3
4,5,6,7,2016-04-21,2016-04-21,4
5,6,7,8,2016-04-14,2016-04-14,5
6,7,8,9,2012-01-11,2012-01-11,6
7,8,9,10,2017-04-01,2017-04-01,7
8,9,10,11,2011-11-05,2011-11-05,8
9,10,11,12,2016-12-14,2016-12-14,9
10,11,12,13,2015-10-29,2015-10-29,10
11,12,13,14,2018-12-26,2018-12-26,11
12,13,14,15,2013-03-04,2013-03-04,12
13,14,15,16,2014-07-17,2014-07-17,13
14,15,16,17,2015-07-02,2015-07-02,14
15,16,17,18,2015-11-25,2015-11-25,15
16,17,18,19,2010-10-16,2010-10-16,16
17,18,19,20,2017-12-19,2017-12-19,17
18,19,20,21,2011-10-12,2011-10-12,18
19,20,21,22,2018-07-12,2018-07-12,19
20,21,22,23,2016-09-30,2016-09-30,20
21,22,23,24,2011-03-13,2011-03-13,21
22,23,24,25,2017-01-01,2017-01-01,22
23,24,25,26,2014-05-06,2014-05-06,23
24,25,26,27,2015-11-15,2015-11-15,24
25,26,27,28,2012-11-15,2012-11-15,25
26,27,28,29,2010-10-11,2010-10-11,26
27,28,29,30,2014-02-17,2014-02-17,27
28,29,30,31,2010-04-15,2010-04-15,28
29,30,31,32,2014-08-15,2014-08-15,29
30,31,32,33,2018-09-15,2018-09-15,30
31,32,33,34,2018-03-29,2018-03-29,31
32,33,34,35,2018-08-02,2018-08-02,32
33,34,35,36,2011-09-01,2011-09-01,33
34,35,36,37,2018-01-17,2018-01-17,34
35,36,37,38,2011-04-03,2011-04-03,35
36,37,38,39,2014-11-11,2014-11-11,36
37,38,39,40,2013-07-03,2013-07-03,37
38,39,40,41,2013-10-24,2013-10-24,38
39,40,41,42,2016-06-13,2016-06-13,39
40,41,42,43,2015-05-06,2015-05-06,40
41,42,43,44,2012-08-05,2012-08-05,41
42,43,44,45,2015-06-27,2015-06-27,42
43,44,45,46,2016-05-06,2016-05-06,43
44,45,46,47,2018-09-01,2018-09-01,44
45,46,47,48,2013-07-18,2013-07-18,45
46,47,48,49,2012-10-24,2012-10-24,46
47,48,49,50,2010-04-29,2010-04-29,47
48,49,50,51,2015-07-26,2015-07-26,48
49,50,51,52,2017-02-13,2017-02-13,49
50,51,52,53,2012-06-01,2012-06-01,50
51,52,53,54,2013-01-25,2013-01-25,51
52,53,54,55,2016-09-14,2016-09-14,52
53,54,55,56,2015-06-19,2015-06-19,53
54,55,56,57,2010-10-07,2010-10-07,54
55,56,57,58,2016-04-18,2016-04-18,55
56,57,58,59,2013-05-06,2013-05-06,56
57,58,59,60,2013-10-18,2013-10-18,57
58,59,60,61,2014-08-03,2014-08-03,58
59,60,61,62,2013-12-14,2013-12-14,59
60,61,62,63,2013-05-26,2013-05-26,60
61,62,63,64,2014-10-26,2014-10-26,61
62,63,64,65,2015-09-20,2015-09-20,62
63,64,65,66,2013-06-17,2013-06-17,63
64,65,66,67,2013-03-09,2013-03-09,64
65,66,67,68,2016-11-06,2016-11-06,65
66,67,68,69,2015-12-18,2015-12-18,66
67,68,69,70,2015-05-21,2015-05-21,67
68,69,70,71,2010-10-30,2010-10-30,68
69,70,71,72,2010-06-25,2010-06-25,69
70,71,72,73,2016-07-04,2016-07-04,70
71,72,73,74,2014-07-10,2014-07-10,71
72,73,74,75,2015-04-22,2015-04-22,72
73,74,75,76,2017-10-03,2017-10-03,73
74,75,76,77,2018-03-26,2018-03-26,74
75,76,77,78,2012-01-12,2012-01-12,75
76,77,78,79,2017-09-17,2017-09-17,76
77,78,79,80,2016-07-24,2016-07-24,77
78,79,80,81,2013-04-25,2013-04-25,78
79,80,81,82,2010-10-22,2010-10-22,79
80,81,82,83,2017-05-12,2017-05-12,80
81,82,83,84,2011-04-20,2011-04-20,81
82,83,84,85,2018-06-02,2018-06-02,82
83,84,85,86,2010-12-30,2010-12-30,83
84,85,86,87,2010-10-05,2010-10-05,84
85,86,87,88,2018-03-31,2018-03-31,85
86,87,88,89,2016-07-02,2016-07-02,86
87,88,89,90,2013-09-05,2013-09-05,87
88,89,90,91,2015-12-12,2015-12-12,88
89,90,91,92,2017-04-25,2017-04-25,89
90,91,92,93,2016-04-05,2016-04-05,90
91,92,93,94,2014-10-27,2014-10-27,91
92,93,94,95,2017-09-30,2017-09-30,92
93,94,95,96,2016-03-04,2016-03-04,93
94,95,96,97,2017-11-12,2017-11-12,94
95,96,97,98,2010-02-12,2010-02-12,95
96,97,98,99,2013-07-23,2013-07-23,96
97,98,99,100,2017-06-15,2017-06-15,97
98,99,100,101,2014-10-05,2014-10-05,98
99,100,101,102,2016-01-14,2016-01-14,99
100,101,102,103,2011-02-12,2011-02-12,100
