020-08-11 01:17:10,951 charges_calc.py:163 DEBUG [RNT051] Value 'units_rented' read as 6
2020-08-11 01:17:10,952 charges_calc.py:177 DEBUG [RNT051] Value total_days set as 517
2020-08-11 01:17:10,952 charges_calc.py:177 DEBUG [RNT051] Value total_price set as 17061.0
2020-08-11 01:17:10,954 charges_calc.py:177 DEBUG [RNT051] Value total_sqrt set as 130.61776295741709
2020-08-11 01:17:10,958 charges_calc.py:177 DEBUG [RNT051] Value unit_cost set as 2843.5
2020-08-11 01:17:10,958 charges_calc.py:163 DEBUG [RNT052] Value 'product_code' read as PRD53
2020-08-11 01:17:10,959 charges_calc.py:163 DEBUG [RNT052] Value 'rental_start' read as 10/30/16
2020-08-11 01:17:10,959 charges_calc.py:163 DEBUG [RNT052] Value 'rental_end' read as 3/13/17
2020-08-11 01:17:10,960 charges_calc.py:163 DEBUG [RNT052] Value 'price_per_day' read as 9
2020-08-11 01:17:10,961 charges_calc.py:163 DEBUG [RNT052] Value 'units_rented' read as 7
2020-08-11 01:17:10,962 charges_calc.py:177 DEBUG [RNT052] Value total_days set as 134
2020-08-11 01:17:10,963 charges_calc.py:177 DEBUG [RNT052] Value total_price set as 1206.0
2020-08-11 01:17:10,963 charges_calc.py:177 DEBUG [RNT052] Value total_sqrt set as 34.72751070837067
2020-08-11 01:17:10,963 charges_calc.py:177 DEBUG [RNT052] Value unit_cost set as 172.28571428571428
2020-08-11 01:17:10,964 charges_calc.py:163 DEBUG [RNT053] Value 'product_code' read as PRD17
2020-08-11 01:17:10,964 charges_calc.py:163 DEBUG [RNT053] Value 'rental_start' read as 12/12/16
2020-08-11 01:17:10,965 charges_calc.py:163 DEBUG [RNT053] Value 'rental_end' read as 9/20/17
2020-08-11 01:17:10,965 charges_calc.py:163 DEBUG [RNT053] Value 'price_per_day' read as 10
2020-08-11 01:17:10,966 charges_calc.py:163 DEBUG [RNT053] Value 'units_rented' read as 7
2020-08-11 01:17:10,966 charges_calc.py:177 DEBUG [RNT053] Value total_days set as 282
2020-08-11 01:17:10,967 charges_calc.py:177 DEBUG [RNT053] Value total_price set as 2820.0
2020-08-11 01:17:10,968 charges_calc.py:177 DEBUG [RNT053] Value total_sqrt set as 53.103672189407014
2020-08-11 01:17:10,969 charges_calc.py:177 DEBUG [RNT053] Value unit_cost set as 402.85714285714283
2020-08-11 01:17:10,969 charges_calc.py:163 DEBUG [RNT054] Value 'product_code' read as PRD62
2020-08-11 01:17:10,970 charges_calc.py:163 DEBUG [RNT054] Value 'rental_start' read as 12/31/16
2020-08-11 01:17:10,971 charges_calc.py:163 DEBUG [RNT054] Value 'rental_end' read as 12/21/17
2020-08-11 01:17:10,971 charges_calc.py:163 DEBUG [RNT054] Value 'price_per_day' read as 6
2020-08-11 01:17:10,971 charges_calc.py:163 DEBUG [RNT054] Value 'units_rented' read as 1
2020-08-11 01:17:10,972 charges_calc.py:177 DEBUG [RNT054] Value total_days set as 355
2020-08-11 01:17:10,972 charges_calc.py:177 DEBUG [RNT054] Value total_price set as 2130.0
2020-08-11 01:17:10,973 charges_calc.py:177 DEBUG [RNT054] Value total_sqrt set as 46.151923036857305
2020-08-11 01:17:10,973 charges_calc.py:177 DEBUG [RNT054] Value unit_cost set as 2130.0
2020-08-11 01:17:10,973 charges_calc.py:163 DEBUG [RNT055] Value 'product_code' read as PRD16
2020-08-11 01:17:10,974 charges_calc.py:163 DEBUG [RNT055] Value 'rental_start' read as 2/4/18
2020-08-11 01:17:10,974 charges_calc.py:163 DEBUG [RNT055] Value 'rental_end' read as 9/14/18
2020-08-11 01:17:10,974 charges_calc.py:163 DEBUG [RNT055] Value 'price_per_day' read as 33
